decoy                                  RMSD         CONTACT      R_GYRATION       AB_ENERGY           ANGLE            BOND           DIHED             EEL           EELEC             EGB           ESURF              NB         VDWAALS
decoy13_122_A_AMBER_minimized.pdb     8.0900    -39.0000000      46.3936640      -0.1325340   10122.1640000      86.1883000     492.2656000    1018.4200000   -1919.3703000    -916.4061000      29.2406000     158.7045000    -117.3939000 
decoy9_6_A_AMBER_minimized.pdb        4.3600    -52.0000000      37.2245377      -0.1495481   10142.7675000     139.1143000     502.0953000    1022.3243000   -1928.2470000    -892.7979000      30.3495000     156.3569000    -115.0979000 
decoy59_157_A_AMBER_minimized.pdb     9.3600    -31.0000000      49.0453160      -0.1461176   10151.5213000     123.6002000     582.3294000    1042.8955000   -2027.9366000    -808.6016000      30.2575000     159.7713000    -115.3390000 
decoy4_27_A_AMBER_minimized.pdb       6.2800    -51.0000000      28.9208637      -0.1520087   10114.0255000     107.1369000     510.8803000    1007.3669000   -1849.8481000    -931.8591000      28.8904000     164.8265000    -123.8566000 
decoy34_3_A_AMBER_minimized.pdb       8.0700    -14.0000000      54.9207974      -2.1582557 30516726.5143000  767658.6064000    2053.7307000    -266.7054000    -731.6441000   -1742.7004000      37.0844000 1136504.7517000 1829225.9726000 
decoy50_9_A_AMBER_minimized.pdb       7.9000    -31.0000000      27.5764794      -0.1076704   10130.3510000      56.9104000     535.7097000    1016.0740000   -1954.3981000    -875.3430000      27.3092000     153.2312000    -142.4027000 
decoy11_21_A_AMBER_minimized.pdb      4.5200    -46.0000000      36.3355751      -0.1171519   10107.6401000      64.2476000     485.4733000    1035.0960000   -1690.4300000   -1124.9095000      30.3328000     161.5511000    -136.5582000 
decoy45_65_A_AMBER_minimized.pdb     11.4000    -29.0000000      14.1026217      -0.1676800   10156.8150000     148.9180000     599.4561000     978.1181000   -1770.5715000    -955.7108000      27.9234000     169.9223000     -38.8274000 
decoy5_100_A_AMBER_minimized.pdb      6.4200    -40.0000000      14.0717279      -0.1850528   10132.7055000     129.4488000     482.9982000    1016.0270000   -1923.0701000    -881.5392000      29.4493000     158.9880000    -116.0480000 
decoy18_1_A_AMBER_minimized.pdb       8.0200    -46.0000000      29.4901059      -0.1305923   10120.3633000     124.1409000     560.0552000    1062.2611000   -1896.3874000    -999.4755000      33.0818000     150.2802000    -126.0902000 
decoy27_1_A_AMBER_minimized.pdb       5.4500    -36.0000000      17.9506864      -0.0934399   10126.5886000     122.5349000     536.3804000     982.4287000   -1863.5178000    -901.9026000      32.1320000     166.6841000    -113.8477000 
decoy7_21_A_AMBER_minimized.pdb       6.2600    -40.0000000      25.8208336      -0.1586873   10116.3434000     128.9681000     544.4193000    1034.7433000   -2027.3840000    -826.5565000      30.8184000     161.0634000     -87.3997000 
decoy24_74_A_AMBER_minimized.pdb      4.3100    -45.0000000      20.6996597      -0.1144903   10110.0033000      85.5954000     546.4954000    1009.9034000   -1921.5185000    -893.3634000      31.2509000     150.1812000    -119.5827000 
decoy23_69_A_AMBER_minimized.pdb      6.2800    -40.0000000      43.7806025      -0.1459120   10143.9004000     131.4897000     562.0782000    1019.0031000   -1975.2160000    -828.7913000      30.7930000     172.5791000    -156.5216000 
