NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.24
decoy1_43.pdb         0.99
decoy1_45.pdb         0.94
decoy1_51.pdb         0.89
decoy1_54.pdb         0.88
decoy1_55.pdb         0.96
decoy1_34.pdb         0.81
decoy1_56.pdb         0.68
decoy1_58.pdb         0.75
decoy1_59.pdb         0.92
decoy1_61.pdb         0.68
decoy1_62.pdb         0.89
decoy1_63.pdb         0.81
decoy1_64.pdb         0.87
decoy1_65.pdb         0.90
decoy1_17.pdb         0.94
decoy1_18.pdb         0.98
decoy1_22.pdb         1.01
decoy1_27.pdb         0.85
decoy1_44.pdb         1.01
decoy1_47.pdb         1.04
decoy1_52.pdb         0.92
decoy1_57.pdb         0.88
decoy1_60.pdb         0.88
decoy1_19.pdb         0.93
decoy1_23.pdb         0.90
decoy1_28.pdb         0.95
decoy1_32.pdb         0.89
decoy1_42.pdb         0.89
decoy1_49.pdb         0.67
decoy1_50.pdb         0.71
decoy1_66.pdb         0.73
decoy1_2.pdb          0.82
decoy1_4.pdb          0.95
decoy1_111.pdb        1.37
decoy1_127.pdb        1.47
decoy1_70.pdb         1.40
decoy1_71.pdb         1.47
decoy1_80.pdb         1.48
decoy1_81.pdb         1.37
decoy1_82.pdb         1.80
decoy1_97.pdb         1.34
decoy1_115.pdb        1.43
decoy1_68.pdb         1.18
decoy1_77.pdb         1.90
decoy1_79.pdb         1.09
decoy1_88.pdb         1.07
decoy1_89.pdb         1.09
decoy1_90.pdb         1.08
decoy1_94.pdb         1.04
decoy1_95.pdb         1.12
decoy1_99.pdb         1.87
decoy1_100.pdb        1.04
decoy1_103.pdb        1.33
decoy1_105.pdb        1.00
decoy1_107.pdb        1.19
decoy1_108.pdb        1.22
decoy1_110.pdb        1.02
decoy1_112.pdb        1.24
decoy1_116.pdb        1.46
decoy1_117.pdb        1.00
decoy1_118.pdb        1.07
decoy1_124.pdb        1.32
decoy1_132.pdb        1.09
decoy1_67.pdb         1.92
decoy1_69.pdb         1.87
decoy3_253.pdb       11.78
decoy4_248.pdb        8.99
decoy4_244.pdb        8.54
decoy4_242.pdb        8.83
decoy4_262.pdb        8.60
decoy5_53.pdb         9.10
decoy5_55.pdb         8.78
decoy5_198.pdb       11.73
decoy5_195.pdb       11.80
decoy6_4.pdb          3.45
decoy6_181.pdb        8.66
