NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.41
decoy1_1.pdb          0.99
decoy1_13.pdb         1.01
decoy1_14.pdb         0.90
decoy1_15.pdb         1.00
decoy1_16.pdb         0.92
decoy1_2.pdb          0.90
decoy1_17.pdb         1.00
decoy1_5.pdb          0.94
decoy1_6.pdb          0.98
decoy1_4.pdb          1.02
decoy1_7.pdb          0.96
decoy1_11.pdb         0.97
decoy1_9.pdb          1.04
decoy1_10.pdb         0.98
decoy1_3.pdb          1.06
decoy1_8.pdb          1.01
decoy1_12.pdb         0.85
decoy2_12.pdb         1.71
decoy2_38.pdb         1.99
decoy2_23.pdb         1.65
decoy2_31.pdb         2.01
decoy3_49.pdb         8.58
decoy3_50.pdb         8.64
decoy3_65.pdb         8.51
decoy3_139.pdb        9.55
decoy3_94.pdb         9.06
decoy3_103.pdb        9.49
decoy3_142.pdb        9.33
decoy3_145.pdb        9.35
decoy3_117.pdb        9.45
decoy3_114.pdb        9.26
decoy3_127.pdb        9.54
decoy3_147.pdb        9.24
decoy3_152.pdb       10.41
decoy3_165.pdb       10.38
decoy3_154.pdb       10.47
decoy3_155.pdb       10.36
decoy3_163.pdb       10.68
decoy3_192.pdb       11.84
decoy4_61.pdb         2.04
decoy4_108.pdb        3.00
decoy4_116.pdb        3.04
decoy4_129.pdb        3.11
decoy5_3.pdb          2.75
decoy5_4.pdb          2.72
decoy5_137.pdb        4.19
decoy5_179.pdb        4.27
decoy5_186.pdb        4.27
decoy5_143.pdb        4.17
decoy5_166.pdb        4.27
decoy5_136.pdb        4.13
decoy5_142.pdb        4.40
decoy5_153.pdb        4.31
decoy5_155.pdb        4.15
decoy5_160.pdb        4.31
decoy5_161.pdb        4.45
decoy5_174.pdb        4.17
decoy5_196.pdb        4.08
decoy6_127.pdb        4.79
decoy6_180.pdb        4.06
decoy6_213.pdb        5.34
decoy6_183.pdb        5.92
decoy6_210.pdb        5.34
decoy6_195.pdb        4.93
decoy6_198.pdb        5.92
decoy6_215.pdb        6.16
decoy7_71.pdb         9.82
decoy7_98.pdb         9.93
decoy7_168.pdb       10.66
decoy7_183.pdb       11.51
decoy7_207.pdb       11.43
decoy7_232.pdb       11.10
decoy7_210.pdb       11.16
decoy7_185.pdb       11.49
decoy7_187.pdb       11.45
decoy7_214.pdb       11.19
decoy8_86.pdb         2.96
decoy8_95.pdb         2.97
decoy8_85.pdb         3.25
decoy8_92.pdb         2.94
decoy8_99.pdb         3.04
decoy8_106.pdb        3.19
decoy8_109.pdb        2.97
decoy8_110.pdb        2.93
decoy9_214.pdb        6.12
decoy9_225.pdb        6.03
decoy10_83.pdb        3.00
decoy10_80.pdb        3.03
decoy10_217.pdb       6.31
decoy11_45.pdb        1.76
decoy11_3.pdb         1.78
decoy11_4.pdb         1.82
decoy11_5.pdb         1.77
decoy11_7.pdb         1.74
decoy11_8.pdb         1.80
decoy11_10.pdb        1.92
decoy11_12.pdb        1.84
decoy11_16.pdb        1.92
decoy11_20.pdb        1.90
decoy11_25.pdb        1.74
decoy11_58.pdb        1.75
decoy11_13.pdb        1.70
decoy11_1.pdb         1.76
decoy11_2.pdb         1.66
decoy11_6.pdb         1.76
decoy11_9.pdb         1.67
decoy11_11.pdb        2.00
decoy11_21.pdb        1.73
decoy11_28.pdb        1.93
decoy11_29.pdb        1.83
decoy11_31.pdb        1.89
decoy11_34.pdb        1.79
decoy11_44.pdb        1.61
decoy11_52.pdb        1.76
decoy11_53.pdb        1.95
decoy11_54.pdb        1.78
decoy11_60.pdb        1.77
decoy11_33.pdb        1.87
decoy11_46.pdb        1.86
decoy11_77.pdb        2.31
decoy11_67.pdb        1.79
decoy11_69.pdb        2.29
decoy11_106.pdb       2.26
decoy11_68.pdb        2.03
decoy11_70.pdb        1.82
decoy11_73.pdb        2.05
decoy11_75.pdb        1.80
decoy11_80.pdb        2.05
decoy11_84.pdb        2.12
decoy11_85.pdb        2.16
decoy11_90.pdb        2.05
decoy11_91.pdb        2.02
decoy11_92.pdb        2.01
decoy11_93.pdb        2.16
decoy11_101.pdb       2.01
decoy11_104.pdb       2.13
decoy11_111.pdb       2.12
decoy13_141.pdb       4.21
decoy15_123.pdb       3.21
decoy15_138.pdb       4.11
decoy15_133.pdb       4.08
decoy15_134.pdb       3.97
decoy15_135.pdb       4.06
decoy15_137.pdb       3.98
decoy16_35.pdb        2.35
decoy16_11.pdb        2.30
decoy16_22.pdb        2.32
decoy16_31.pdb        2.26
decoy16_66.pdb        2.07
decoy16_4.pdb         2.63
decoy16_28.pdb        2.30
decoy16_44.pdb        2.12
decoy16_52.pdb        2.23
decoy16_54.pdb        2.15
decoy16_6.pdb         2.16
decoy16_19.pdb        2.42
decoy16_80.pdb        3.07
decoy16_101.pdb       2.92
decoy18_177.pdb       5.15
decoy18_169.pdb       5.18
decoy18_182.pdb       5.02
decoy18_186.pdb       5.20
decoy18_187.pdb       5.13
decoy18_191.pdb       5.05
decoy18_168.pdb       5.05
decoy18_171.pdb       5.12
decoy18_189.pdb       5.13
decoy19_207.pdb       7.83
decoy21_90.pdb        7.62
decoy21_175.pdb      10.01
decoy21_236.pdb      10.07
decoy23_15.pdb        3.87
decoy24_150.pdb       5.17
decoy24_147.pdb       5.23
decoy24_148.pdb       5.24
decoy24_149.pdb       5.19
decoy24_152.pdb       5.09
decoy25_39.pdb        3.02
decoy29_8.pdb         8.59
decoy29_16.pdb        8.44
decoy29_48.pdb       10.25
decoy32_3.pdb         3.93
decoy32_35.pdb        3.92
decoy32_48.pdb        3.65
decoy32_52.pdb        3.93
decoy32_55.pdb        3.72
decoy32_131.pdb       3.96
decoy32_93.pdb        4.17
decoy32_72.pdb        3.96
decoy32_78.pdb        4.00
decoy32_122.pdb       4.05
decoy32_134.pdb       4.11
decoy32_106.pdb       4.04
decoy32_121.pdb       3.95
decoy33_44.pdb        3.53
decoy33_62.pdb        3.61
decoy33_22.pdb        3.17
decoy33_120.pdb       4.07
decoy33_139.pdb       5.09
decoy34_4.pdb         2.96
decoy34_6.pdb         2.95
decoy34_35.pdb        3.54
decoy34_49.pdb        3.09
decoy34_63.pdb        3.02
decoy35_1.pdb         3.40
decoy35_12.pdb        3.42
decoy35_183.pdb       5.47
decoy36_25.pdb        3.49
decoy36_33.pdb        3.55
decoy36_32.pdb        3.53
decoy36_52.pdb        3.56
decoy36_88.pdb        3.98
decoy36_92.pdb        3.95
decoy36_93.pdb        4.00
decoy36_85.pdb        4.13
decoy36_100.pdb       3.96
decoy36_139.pdb       5.39
decoy36_134.pdb       5.27
decoy36_141.pdb       5.01
decoy36_142.pdb       5.13
decoy36_155.pdb       5.88
decoy36_143.pdb       5.00
decoy36_161.pdb       5.89
decoy36_164.pdb       6.95
decoy37_86.pdb        5.31
decoy37_83.pdb        5.25
decoy37_125.pdb       5.26
decoy37_181.pdb       8.16
decoy38_114.pdb       9.97
decoy39_17.pdb        7.39
decoy39_42.pdb        8.93
decoy39_31.pdb        8.97
decoy39_48.pdb        8.88
decoy39_90.pdb        8.75
decoy39_47.pdb        9.08
decoy39_71.pdb        8.73
decoy39_60.pdb        9.04
decoy39_69.pdb        8.96
decoy39_75.pdb        8.90
decoy39_84.pdb        8.40
decoy39_85.pdb        8.89
decoy39_98.pdb        9.15
decoy39_107.pdb       9.89
decoy39_108.pdb       9.04
decoy39_208.pdb      10.22
decoy41_75.pdb        6.75
decoy41_82.pdb        7.40
decoy41_123.pdb       7.32
decoy41_126.pdb       7.35
decoy41_163.pdb       8.01
decoy41_156.pdb       8.06
decoy41_206.pdb       9.24
decoy41_211.pdb       9.59
decoy42_158.pdb       5.85
decoy42_181.pdb       6.39
decoy42_174.pdb       6.67
decoy42_201.pdb       6.61
decoy42_170.pdb       6.67
decoy42_178.pdb       6.57
decoy42_200.pdb       6.50
decoy42_169.pdb       6.45
decoy42_189.pdb       6.70
decoy42_208.pdb       6.40
decoy42_210.pdb       6.27
decoy42_226.pdb       6.46
decoy42_173.pdb       6.80
decoy42_182.pdb       6.36
decoy42_183.pdb       6.54
decoy42_184.pdb       6.52
decoy42_187.pdb       6.40
decoy42_232.pdb       6.30
decoy43_49.pdb        7.98
decoy43_123.pdb       8.08
decoy43_264.pdb      10.74
decoy45_88.pdb        5.53
decoy45_142.pdb       6.95
decoy45_145.pdb       6.97
decoy45_150.pdb       6.96
decoy45_139.pdb       7.00
decoy45_148.pdb       7.00
decoy45_149.pdb       6.88
decoy45_151.pdb       6.89
decoy45_161.pdb       6.85
decoy45_167.pdb       7.06
decoy45_174.pdb       7.03
decoy45_173.pdb       7.03
decoy45_164.pdb       7.98
decoy45_176.pdb       7.04
decoy46_145.pdb       5.93
decoy46_142.pdb       5.97
decoy46_200.pdb       7.11
decoy49_188.pdb       8.49
decoy49_243.pdb      10.32
decoy49_232.pdb      10.38
decoy49_237.pdb      10.30
decoy50_53.pdb        9.89
decoy50_81.pdb       10.05
decoy50_132.pdb      10.62
decoy51_206.pdb       9.82
decoy52_100.pdb       5.17
decoy52_152.pdb      10.99
decoy52_151.pdb      10.89
decoy52_158.pdb      11.12
decoy52_159.pdb      11.27
decoy52_161.pdb      11.16
decoy52_165.pdb      11.05
decoy52_163.pdb      11.25
decoy53_45.pdb        7.46
decoy53_33.pdb        7.78
decoy53_141.pdb       8.07
decoy53_111.pdb       8.54
decoy53_153.pdb       9.08
decoy53_169.pdb       9.09
decoy53_222.pdb      10.51
decoy53_266.pdb      10.20
decoy53_247.pdb      10.46
decoy53_284.pdb      11.37
decoy53_287.pdb      11.55
decoy53_286.pdb      11.54
decoy53_292.pdb      11.74
decoy53_285.pdb      11.68
decoy53_295.pdb      11.07
decoy54_107.pdb       9.68
decoy54_147.pdb      10.95
decoy54_168.pdb      10.86
decoy54_190.pdb      11.01
decoy54_197.pdb      11.12
decoy54_206.pdb      11.58
decoy54_193.pdb      10.94
decoy54_183.pdb      11.08
decoy54_204.pdb      11.51
decoy54_194.pdb      11.49
decoy55_58.pdb        7.84
decoy55_34.pdb        7.95
decoy55_38.pdb        7.82
decoy55_27.pdb        7.38
decoy55_2.pdb         7.69
decoy55_6.pdb         7.60
decoy55_94.pdb        9.93
decoy55_95.pdb        9.98
decoy55_105.pdb       9.96
decoy55_107.pdb       9.87
decoy55_113.pdb      10.02
decoy55_110.pdb       9.91
decoy55_117.pdb      10.12
decoy55_116.pdb      10.19
decoy55_115.pdb      10.26
decoy55_135.pdb      10.16
decoy55_131.pdb      10.28
decoy55_136.pdb      11.19
decoy55_137.pdb      11.26
decoy56_16.pdb        6.84
decoy56_14.pdb        6.85
decoy56_79.pdb        7.06
decoy56_80.pdb        7.08
decoy56_51.pdb        7.06
decoy56_26.pdb        7.74
decoy56_31.pdb        7.75
decoy56_24.pdb        7.67
decoy56_66.pdb        7.67
decoy56_25.pdb        7.73
decoy56_27.pdb        7.66
decoy56_53.pdb        7.98
decoy56_59.pdb        7.10
decoy56_113.pdb       8.94
decoy56_136.pdb       8.05
decoy56_144.pdb       8.85
decoy56_130.pdb       8.96
decoy56_96.pdb        8.05
decoy56_105.pdb       7.99
decoy56_128.pdb       7.99
decoy56_148.pdb       9.49
decoy56_152.pdb       9.06
decoy57_58.pdb       10.00
decoy57_157.pdb      11.28
decoy58_102.pdb       8.33
decoy58_103.pdb       8.34
decoy58_101.pdb       8.27
decoy60_204.pdb      10.78
decoy60_197.pdb      10.90
decoy60_199.pdb      10.93
decoy60_203.pdb      10.36
decoy61_282.pdb       9.72
decoy62_83.pdb        8.75
decoy64_82.pdb        7.59
decoy64_69.pdb        7.64
decoy64_75.pdb        7.60
decoy64_144.pdb       8.08
decoy64_189.pdb       9.98
