NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.24
decoy1_4.pdb          0.52
decoy1_19.pdb         0.72
decoy1_8.pdb          0.56
decoy1_12.pdb         0.46
decoy1_18.pdb         0.91
decoy1_22.pdb         0.84
decoy1_28.pdb         0.38
decoy1_29.pdb         0.96
decoy1_10.pdb         0.92
decoy1_17.pdb         0.82
decoy1_21.pdb         0.81
decoy1_23.pdb         0.85
decoy1_24.pdb         0.85
decoy1_25.pdb         0.94
decoy1_26.pdb         0.93
decoy1_1.pdb          0.91
decoy1_2.pdb          0.92
decoy1_3.pdb          0.94
decoy1_5.pdb          0.96
decoy1_6.pdb          0.93
decoy1_16.pdb         0.86
decoy1_20.pdb         0.69
decoy1_7.pdb          0.93
decoy1_9.pdb          0.97
decoy1_11.pdb         0.93
decoy1_13.pdb         0.98
decoy1_14.pdb         0.91
decoy1_15.pdb         0.89
decoy1_27.pdb         0.89
decoy1_30.pdb         0.90
decoy1_31.pdb         0.89
decoy2_1.pdb          0.83
decoy2_2.pdb          0.89
decoy2_26.pdb         1.36
decoy2_36.pdb         1.18
decoy2_58.pdb         1.42
decoy2_16.pdb         1.78
decoy2_33.pdb         1.64
decoy2_34.pdb         1.80
decoy2_35.pdb         1.78
decoy2_38.pdb         1.84
decoy2_42.pdb         1.17
decoy2_44.pdb         1.78
decoy2_45.pdb         1.83
decoy2_46.pdb         1.89
decoy2_56.pdb         1.27
decoy2_6.pdb          1.39
decoy2_7.pdb          1.88
decoy2_47.pdb         1.32
decoy2_48.pdb         1.22
decoy2_49.pdb         1.45
decoy2_50.pdb         1.36
decoy2_51.pdb         1.58
decoy2_52.pdb         1.43
decoy2_53.pdb         1.33
decoy2_54.pdb         1.39
decoy2_55.pdb         1.41
decoy2_60.pdb         1.32
decoy2_13.pdb         1.15
decoy2_25.pdb         1.59
decoy2_39.pdb         1.36
decoy2_73.pdb         2.16
decoy2_93.pdb         2.25
decoy2_106.pdb        2.12
decoy2_69.pdb         2.19
decoy2_71.pdb         2.14
decoy2_72.pdb         2.19
decoy2_77.pdb         2.15
decoy2_82.pdb         2.13
decoy2_85.pdb         2.11
decoy2_94.pdb         1.99
decoy2_105.pdb        2.23
decoy2_116.pdb        2.17
decoy2_118.pdb        2.12
decoy2_70.pdb         2.17
decoy2_74.pdb         2.09
