NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.23
decoy1_24.pdb         0.36
decoy1_6.pdb          0.65
decoy1_9.pdb          0.45
decoy1_23.pdb         0.77
decoy1_25.pdb         0.90
decoy1_28.pdb         0.51
decoy1_29.pdb         0.66
decoy1_54.pdb         0.66
decoy1_59.pdb         0.84
decoy1_10.pdb         0.60
decoy1_20.pdb         0.50
decoy1_22.pdb         0.73
decoy1_26.pdb         0.58
decoy1_39.pdb         0.51
decoy1_57.pdb         0.57
decoy1_65.pdb         0.61
decoy1_3.pdb          0.87
decoy1_5.pdb          0.90
decoy1_7.pdb          0.61
decoy1_11.pdb         0.64
decoy1_15.pdb         0.74
decoy1_18.pdb         0.56
decoy1_21.pdb         0.68
decoy1_30.pdb         0.83
decoy1_72.pdb         1.57
decoy1_100.pdb        1.53
decoy1_101.pdb        1.45
decoy1_107.pdb        1.06
decoy1_74.pdb         1.10
decoy1_76.pdb         1.08
decoy1_78.pdb         1.07
decoy1_89.pdb         1.43
decoy1_109.pdb        1.11
decoy1_111.pdb        1.29
decoy1_75.pdb         1.28
decoy1_84.pdb         1.27
decoy1_99.pdb         1.47
decoy1_110.pdb        1.55
decoy1_70.pdb         1.12
decoy1_81.pdb         1.15
decoy1_86.pdb         0.99
decoy1_87.pdb         1.49
decoy1_88.pdb         0.95
decoy1_90.pdb         1.02
decoy1_93.pdb         1.01
decoy1_98.pdb         1.52
decoy1_102.pdb        1.26
decoy1_103.pdb        1.26
decoy1_104.pdb        1.09
decoy1_106.pdb        1.30
decoy1_112.pdb        1.17
decoy2_29.pdb         0.81
decoy2_15.pdb         0.90
decoy2_19.pdb         0.72
decoy2_46.pdb         0.80
decoy2_58.pdb         0.86
decoy2_67.pdb         1.20
decoy2_100.pdb        1.16
decoy2_116.pdb        1.21
decoy2_109.pdb        1.08
decoy2_130.pdb        1.00
decoy2_154.pdb        2.20
decoy2_156.pdb        2.27
decoy2_191.pdb        2.27
decoy2_193.pdb        2.33
decoy2_159.pdb        2.30
decoy2_205.pdb        3.35
decoy2_206.pdb        3.31
decoy2_208.pdb        3.90
decoy2_209.pdb        3.86
decoy2_216.pdb        3.50
decoy2_232.pdb        3.41
decoy2_241.pdb        3.30
decoy2_275.pdb        4.80
decoy2_286.pdb        4.78
decoy2_299.pdb        5.04
decoy2_301.pdb        5.12
decoy2_300.pdb        5.00
decoy3_2.pdb          0.95
decoy3_4.pdb          0.70
decoy3_7.pdb          0.75
decoy3_11.pdb         0.65
decoy4_97.pdb         4.46
decoy4_232.pdb        6.85
decoy4_235.pdb        7.00
decoy4_331.pdb        8.66
decoy4_332.pdb        8.62
decoy5_128.pdb        1.97
decoy6_65.pdb         2.83
decoy6_39.pdb         2.82
decoy6_168.pdb        5.07
decoy6_171.pdb        4.98
decoy7_100.pdb        2.37
decoy7_67.pdb         2.39
decoy7_84.pdb         2.37
decoy7_122.pdb        2.38
decoy7_80.pdb         2.36
decoy7_86.pdb         2.19
decoy7_109.pdb        2.36
decoy7_117.pdb        2.43
decoy7_128.pdb        2.39
decoy7_162.pdb        3.50
decoy7_189.pdb        3.49
decoy7_148.pdb        3.43
decoy7_163.pdb        3.45
decoy7_139.pdb        3.46
decoy7_149.pdb        3.44
decoy7_154.pdb        3.39
decoy7_158.pdb        3.46
decoy7_171.pdb        3.58
decoy7_186.pdb        3.40
decoy8_60.pdb         9.62
decoy8_77.pdb         9.72
decoy8_109.pdb       10.61
decoy8_121.pdb       10.64
decoy8_104.pdb       10.13
decoy8_125.pdb        9.98
decoy9_53.pdb         4.55
decoy9_132.pdb        6.93
decoy9_203.pdb        7.08
decoy9_266.pdb        9.78
decoy9_269.pdb        9.87
decoy9_268.pdb        9.78
decoy9_278.pdb       10.68
decoy10_26.pdb        2.71
decoy11_32.pdb        2.44
decoy11_50.pdb        2.24
decoy11_59.pdb        2.51
decoy11_37.pdb        2.85
decoy11_41.pdb        2.36
decoy11_69.pdb        2.46
decoy11_26.pdb        2.37
decoy11_31.pdb        2.42
decoy11_34.pdb        2.38
decoy11_19.pdb        2.37
decoy11_24.pdb        2.39
decoy11_117.pdb       2.99
decoy11_126.pdb       3.08
decoy11_79.pdb        2.90
decoy11_84.pdb        3.00
decoy11_128.pdb       2.98
decoy11_131.pdb       3.06
decoy11_129.pdb       3.02
decoy11_136.pdb       3.17
decoy11_92.pdb        3.04
decoy11_124.pdb       2.98
decoy17_4.pdb         3.59
decoy17_130.pdb       3.99
decoy17_93.pdb        4.03
decoy17_137.pdb       5.16
decoy17_135.pdb       5.04
decoy19_58.pdb        2.60
decoy19_59.pdb        2.58
decoy20_11.pdb        3.79
decoy20_6.pdb         3.85
decoy20_68.pdb        4.15
decoy20_85.pdb        4.51
decoy20_78.pdb        4.19
decoy20_141.pdb       4.84
decoy20_133.pdb       4.95
decoy20_144.pdb       4.91
decoy20_156.pdb       5.10
decoy20_145.pdb       4.89
decoy20_166.pdb       5.08
decoy20_168.pdb       4.92
decoy20_192.pdb       5.31
decoy20_210.pdb       6.13
decoy21_56.pdb        3.00
decoy21_94.pdb        4.32
decoy21_144.pdb       4.98
decoy21_141.pdb       4.98
decoy21_142.pdb       4.99
decoy21_150.pdb       6.47
decoy21_157.pdb       6.61
decoy21_162.pdb       6.58
decoy21_175.pdb       6.32
decoy21_198.pdb       7.23
decoy21_212.pdb       7.30
decoy21_241.pdb       7.70
decoy21_263.pdb       8.29
decoy21_289.pdb       9.26
decoy21_288.pdb       9.15
decoy23_2.pdb         2.80
decoy23_22.pdb        2.87
decoy23_73.pdb        3.04
decoy23_190.pdb       3.99
decoy24_167.pdb       5.86
decoy24_209.pdb       6.92
decoy24_217.pdb       6.94
decoy24_244.pdb       7.17
decoy24_248.pdb       7.14
decoy24_250.pdb       7.09
decoy24_260.pdb       7.17
decoy24_261.pdb       6.99
decoy24_266.pdb       7.14
decoy26_258.pdb       9.80
decoy26_262.pdb       9.77
decoy27_16.pdb        4.76
decoy27_3.pdb         4.70
decoy27_11.pdb        4.75
decoy27_17.pdb        4.77
decoy27_97.pdb        4.94
decoy27_105.pdb       5.12
decoy27_242.pdb       8.62
decoy27_244.pdb       8.85
decoy27_246.pdb       8.80
decoy27_248.pdb       8.90
decoy27_306.pdb      10.80
decoy28_95.pdb        4.01
decoy28_85.pdb        4.42
decoy28_92.pdb        4.01
decoy29_70.pdb        4.27
decoy29_71.pdb        4.27
decoy29_69.pdb        4.17
decoy29_170.pdb       5.50
decoy30_18.pdb        6.79
decoy30_1.pdb         6.46
decoy30_105.pdb       9.95
decoy30_65.pdb        9.07
decoy30_89.pdb        9.28
decoy30_92.pdb        9.33
decoy30_121.pdb      10.19
decoy30_155.pdb      10.02
decoy30_118.pdb      10.22
decoy30_122.pdb      10.85
decoy30_125.pdb      10.86
decoy30_143.pdb      11.10
decoy30_173.pdb      11.85
decoy30_212.pdb      11.69
decoy32_103.pdb       4.19
decoy32_130.pdb       4.17
decoy34_75.pdb        5.21
decoy34_108.pdb       5.13
decoy34_106.pdb       5.18
decoy34_83.pdb        5.25
decoy34_114.pdb       5.19
decoy34_197.pdb       8.07
decoy36_46.pdb       10.25
decoy36_37.pdb       10.36
decoy36_27.pdb       10.68
decoy36_11.pdb       10.14
decoy36_26.pdb       10.88
decoy36_88.pdb       11.24
decoy36_64.pdb       11.36
decoy36_94.pdb       11.06
decoy36_67.pdb       11.18
decoy36_80.pdb       11.82
decoy36_81.pdb       11.56
decoy36_103.pdb      11.65
decoy36_106.pdb      11.38
decoy36_108.pdb      11.21
decoy36_122.pdb      11.52
