NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.14
decoy1_1.pdb          0.77
decoy1_2.pdb          0.77
decoy1_3.pdb          0.83
decoy1_4.pdb          0.68
decoy1_5.pdb          0.79
decoy1_10.pdb         0.65
decoy1_11.pdb         0.74
decoy1_13.pdb         0.41
decoy1_14.pdb         0.74
decoy1_16.pdb         0.43
decoy1_18.pdb         0.72
decoy1_23.pdb         0.83
decoy1_25.pdb         0.60
decoy1_26.pdb         0.83
decoy1_27.pdb         0.33
decoy1_28.pdb         0.91
decoy1_33.pdb         0.89
decoy1_34.pdb         0.66
decoy1_35.pdb         0.75
decoy1_37.pdb         0.89
decoy1_40.pdb         0.73
decoy1_43.pdb         0.53
decoy1_44.pdb         0.81
decoy1_45.pdb         0.36
decoy1_46.pdb         0.52
decoy1_48.pdb         0.95
decoy1_54.pdb         0.77
decoy1_56.pdb         0.34
decoy1_57.pdb         0.39
decoy1_59.pdb         0.59
decoy1_61.pdb         0.89
decoy1_63.pdb         0.83
decoy1_64.pdb         0.89
decoy1_66.pdb         0.80
decoy1_68.pdb         1.09
decoy1_77.pdb         1.70
decoy1_79.pdb         1.11
decoy1_80.pdb         1.19
decoy1_83.pdb         1.89
decoy1_85.pdb         1.12
decoy1_86.pdb         1.10
decoy1_87.pdb         1.12
decoy1_89.pdb         1.42
decoy1_101.pdb        1.05
decoy1_102.pdb        1.26
decoy1_105.pdb        1.25
decoy1_108.pdb        1.50
decoy1_109.pdb        1.64
decoy2_304.pdb        8.60
decoy3_325.pdb        8.29
decoy3_329.pdb        8.28
decoy3_330.pdb        8.39
decoy3_335.pdb        8.33
decoy4_1.pdb          0.88
decoy4_3.pdb          0.80
decoy4_62.pdb         1.92
decoy4_34.pdb         1.92
decoy4_44.pdb         1.91
decoy4_55.pdb         1.97
decoy4_59.pdb         1.95
decoy4_27.pdb         1.82
decoy4_38.pdb         1.94
decoy4_45.pdb         1.98
decoy4_117.pdb        2.29
decoy4_118.pdb        2.07
decoy4_132.pdb        2.24
decoy4_290.pdb        8.87
decoy4_297.pdb        9.01
decoy6_295.pdb        8.36
decoy7_5.pdb          1.61
decoy7_10.pdb         1.68
decoy7_239.pdb        4.71
decoy8_5.pdb          2.75
decoy8_7.pdb          2.78
decoy8_8.pdb          2.76
decoy8_11.pdb         2.75
decoy8_13.pdb         2.77
decoy8_15.pdb         2.74
decoy8_20.pdb         2.75
decoy8_22.pdb         2.74
decoy9_54.pdb         1.68
decoy9_102.pdb        2.50
decoy9_376.pdb        8.65
decoy11_237.pdb       8.24
decoy12_292.pdb       6.07
decoy12_297.pdb       6.17
decoy12_301.pdb       6.22
decoy12_294.pdb       6.14
decoy12_295.pdb       6.27
decoy13_354.pdb       9.12
decoy13_355.pdb       9.13
decoy14_79.pdb        2.82
decoy14_80.pdb        2.65
decoy14_82.pdb        2.79
decoy14_90.pdb        2.85
decoy14_91.pdb        2.79
decoy14_94.pdb        2.64
decoy14_104.pdb       2.72
decoy14_113.pdb       2.73
decoy14_114.pdb       2.82
decoy14_116.pdb       2.65
decoy14_119.pdb       2.78
decoy14_123.pdb       2.83
decoy14_133.pdb       2.59
decoy14_135.pdb       2.66
decoy14_136.pdb       2.62
decoy14_138.pdb       3.41
decoy16_338.pdb       6.02
decoy17_94.pdb        2.43
decoy17_273.pdb       5.29
decoy17_280.pdb       5.33
decoy18_7.pdb         1.53
decoy18_27.pdb        1.55
decoy18_39.pdb        1.53
decoy18_65.pdb        1.56
decoy19_97.pdb        2.33
decoy20_326.pdb       7.23
decoy20_337.pdb       7.19
decoy22_78.pdb        2.38
decoy22_287.pdb       5.05
decoy22_314.pdb       5.04
decoy22_334.pdb       6.18
decoy22_336.pdb       6.14
decoy24_235.pdb       5.08
decoy24_239.pdb       4.99
decoy24_241.pdb       5.05
decoy24_244.pdb       4.98
decoy24_257.pdb       5.09
decoy25_202.pdb       7.56
decoy25_218.pdb       7.64
decoy26_16.pdb        1.82
decoy26_17.pdb        1.85
decoy26_18.pdb        1.88
decoy26_19.pdb        1.56
decoy26_40.pdb        1.88
decoy26_45.pdb        1.79
decoy26_275.pdb       5.54
decoy26_267.pdb       5.57
decoy29_54.pdb        1.68
decoy30_3.pdb         2.84
decoy33_164.pdb       6.08
decoy33_169.pdb       6.20
decoy33_193.pdb       7.95
decoy33_189.pdb       8.02
decoy33_190.pdb       8.04
decoy33_192.pdb       8.15
decoy33_191.pdb       7.95
decoy33_203.pdb       7.30
decoy33_206.pdb       8.00
decoy33_211.pdb       7.21
decoy33_222.pdb       7.26
decoy33_224.pdb       7.18
decoy33_226.pdb       7.26
decoy33_231.pdb       7.28
decoy33_259.pdb       8.25
decoy33_260.pdb       8.05
decoy33_261.pdb       8.13
decoy33_263.pdb       8.20
decoy33_265.pdb       8.12
decoy33_266.pdb       8.16
decoy34_393.pdb      10.30
decoy34_396.pdb      10.46
decoy34_392.pdb      10.43
decoy34_394.pdb      10.16
decoy34_395.pdb      10.20
decoy36_236.pdb       6.62
decoy36_276.pdb      10.09
decoy37_211.pdb       5.98
decoy37_315.pdb       6.12
decoy37_320.pdb       6.30
decoy37_326.pdb       6.42
decoy37_329.pdb       6.29
decoy37_302.pdb       6.13
decoy37_311.pdb       6.09
decoy37_328.pdb       6.12
decoy38_215.pdb       6.55
decoy38_218.pdb       6.67
decoy38_220.pdb       6.42
decoy38_232.pdb       6.64
decoy38_235.pdb       6.32
decoy38_239.pdb       6.73
decoy38_254.pdb       6.36
decoy38_267.pdb       7.92
decoy38_275.pdb       7.77
decoy38_268.pdb       7.95
decoy38_270.pdb       7.97
decoy38_273.pdb       8.04
decoy38_276.pdb       7.92
decoy38_277.pdb       7.93
decoy38_278.pdb       7.84
decoy38_282.pdb       7.75
decoy38_338.pdb       8.10
decoy40_71.pdb        3.43
decoy40_74.pdb        3.43
decoy40_76.pdb        3.41
decoy40_77.pdb        3.43
decoy40_83.pdb        3.42
decoy40_92.pdb        3.46
decoy40_93.pdb        3.40
decoy40_94.pdb        3.36
decoy40_96.pdb        3.45
decoy40_99.pdb        3.41
decoy40_100.pdb       3.41
decoy40_101.pdb       3.43
decoy40_106.pdb       3.25
decoy41_51.pdb        2.66
decoy41_68.pdb        3.18
decoy43_201.pdb       9.99
decoy45_73.pdb        4.01
decoy45_107.pdb       3.96
decoy45_146.pdb       4.07
decoy45_148.pdb       4.10
decoy45_167.pdb       4.04
decoy45_291.pdb       9.31
decoy45_290.pdb       9.06
decoy45_292.pdb       9.04
decoy47_224.pdb       7.29
decoy47_229.pdb       7.32
decoy47_225.pdb       7.24
decoy47_226.pdb       7.28
decoy49_211.pdb       6.63
decoy49_221.pdb       7.66
decoy49_281.pdb       8.20
decoy49_282.pdb       8.18
decoy49_287.pdb       8.14
decoy50_51.pdb        5.84
decoy50_50.pdb        5.79
decoy50_53.pdb        5.82
decoy50_58.pdb        5.81
decoy50_63.pdb        5.79
decoy50_66.pdb        5.76
decoy50_54.pdb        5.80
decoy50_62.pdb        5.78
decoy50_119.pdb       6.11
decoy50_121.pdb       6.19
decoy50_122.pdb       6.11
decoy52_106.pdb       3.38
decoy52_245.pdb      10.13
decoy52_246.pdb      10.02
decoy53_21.pdb        3.68
decoy53_27.pdb        3.49
decoy53_35.pdb        3.53
decoy53_3.pdb         3.77
decoy53_10.pdb        3.62
decoy53_11.pdb        3.52
decoy53_12.pdb        3.60
decoy53_13.pdb        3.73
decoy53_16.pdb        3.62
decoy53_24.pdb        3.62
decoy53_25.pdb        3.62
decoy53_31.pdb        3.53
decoy53_34.pdb        3.47
decoy53_45.pdb        3.64
decoy53_46.pdb        3.61
decoy53_1.pdb         3.67
decoy53_43.pdb        3.69
decoy53_80.pdb        4.21
decoy53_125.pdb       4.18
decoy53_126.pdb       4.12
decoy53_127.pdb       4.20
decoy53_131.pdb       4.79
decoy53_136.pdb       5.15
decoy53_145.pdb       5.15
decoy53_186.pdb       5.07
decoy53_271.pdb       8.68
decoy53_291.pdb       8.38
decoy53_289.pdb       8.26
decoy53_295.pdb       8.32
decoy53_321.pdb       8.50
decoy55_108.pdb       4.83
decoy55_109.pdb       4.91
decoy56_89.pdb        4.42
decoy56_215.pdb       9.04
decoy56_212.pdb       9.05
decoy56_217.pdb       9.09
decoy58_59.pdb        4.98
decoy58_70.pdb        4.73
decoy58_54.pdb        4.83
decoy58_69.pdb        4.85
