NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.30
decoy1_34.pdb         0.90
decoy1_11.pdb         0.64
decoy1_2.pdb          0.76
decoy1_16.pdb         0.67
decoy1_18.pdb         0.70
decoy1_31.pdb         0.70
decoy1_40.pdb         0.93
decoy1_52.pdb         0.86
decoy1_61.pdb         0.70
decoy1_3.pdb          0.65
decoy1_6.pdb          0.56
decoy1_7.pdb          0.74
decoy1_9.pdb          0.67
decoy1_10.pdb         0.95
decoy1_13.pdb         0.93
decoy1_15.pdb         0.65
decoy1_17.pdb         0.73
decoy1_21.pdb         0.70
decoy1_23.pdb         0.62
decoy1_25.pdb         0.94
decoy1_26.pdb         0.94
decoy1_29.pdb         0.67
decoy1_32.pdb         0.73
decoy1_42.pdb         0.74
decoy1_47.pdb         0.90
decoy1_48.pdb         0.96
decoy1_8.pdb          0.64
decoy1_20.pdb         0.75
decoy1_28.pdb         0.39
decoy1_33.pdb         0.76
decoy1_51.pdb         0.76
decoy1_4.pdb          0.68
decoy1_5.pdb          0.93
decoy1_100.pdb        1.04
decoy1_79.pdb         1.39
decoy1_91.pdb         1.07
decoy1_120.pdb        1.01
decoy1_67.pdb         1.12
decoy1_89.pdb         1.15
decoy1_78.pdb         1.19
decoy1_86.pdb         1.22
decoy1_93.pdb         1.25
decoy1_94.pdb         1.34
decoy1_116.pdb        1.37
decoy1_117.pdb        1.20
decoy1_121.pdb        1.18
decoy1_122.pdb        1.13
decoy1_82.pdb         1.13
decoy1_101.pdb        1.03
decoy1_68.pdb         0.97
decoy1_104.pdb        0.97
decoy1_115.pdb        1.35
decoy1_131.pdb        1.29
decoy1_69.pdb         1.01
decoy1_73.pdb         1.02
decoy1_74.pdb         1.10
decoy1_77.pdb         0.97
decoy1_83.pdb         0.97
decoy1_84.pdb         1.20
decoy1_88.pdb         1.05
decoy1_90.pdb         1.11
decoy1_95.pdb         1.04
decoy1_103.pdb        1.00
decoy1_110.pdb        0.95
decoy1_112.pdb        1.34
decoy2_64.pdb         2.50
decoy2_10.pdb         2.40
decoy2_1.pdb          2.56
decoy2_24.pdb         2.85
decoy2_39.pdb         2.58
decoy2_60.pdb         2.44
decoy2_65.pdb         2.46
decoy2_8.pdb          2.51
decoy2_20.pdb         2.48
decoy2_31.pdb         2.48
decoy2_52.pdb         2.57
decoy2_4.pdb          2.31
decoy2_51.pdb         2.46
decoy2_26.pdb         2.43
decoy2_35.pdb         2.33
decoy2_37.pdb         2.66
decoy2_45.pdb         2.46
decoy2_46.pdb         2.35
decoy2_48.pdb         2.28
decoy2_49.pdb         2.50
decoy2_50.pdb         2.39
decoy2_55.pdb         2.27
decoy2_58.pdb         2.34
decoy2_59.pdb         2.44
decoy2_7.pdb          2.44
decoy2_25.pdb         2.47
decoy2_32.pdb         2.27
decoy2_61.pdb         2.61
decoy2_3.pdb          2.66
decoy2_12.pdb         2.71
decoy2_21.pdb         2.20
decoy2_29.pdb         2.38
decoy2_30.pdb         2.42
decoy2_106.pdb        2.88
decoy2_107.pdb        3.34
decoy2_67.pdb         2.69
decoy2_80.pdb         3.17
decoy2_101.pdb        2.92
decoy2_114.pdb        3.19
decoy2_120.pdb        2.80
decoy2_87.pdb         3.05
decoy2_88.pdb         3.21
decoy2_100.pdb        3.10
decoy2_111.pdb        2.65
decoy2_117.pdb        3.10
decoy2_95.pdb         2.85
