NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.40
decoy1_15.pdb         1.00
decoy1_23.pdb         0.99
decoy1_16.pdb         0.81
decoy1_6.pdb          0.73
decoy1_21.pdb         0.72
decoy1_29.pdb         0.67
decoy1_2.pdb          1.09
decoy1_17.pdb         0.97
decoy1_18.pdb         1.10
decoy1_1.pdb          0.95
decoy1_5.pdb          0.88
decoy1_13.pdb         0.84
decoy1_14.pdb         0.77
decoy1_19.pdb         0.90
decoy1_11.pdb         0.96
decoy1_12.pdb         0.83
decoy1_20.pdb         0.89
decoy1_22.pdb         0.85
decoy1_24.pdb         0.91
decoy1_26.pdb         0.81
decoy1_27.pdb         0.85
decoy1_3.pdb          0.87
decoy1_8.pdb          0.80
decoy1_9.pdb          0.76
decoy1_28.pdb         0.89
decoy1_4.pdb          1.00
decoy1_7.pdb          0.93
decoy1_10.pdb         0.98
decoy1_25.pdb         0.87
decoy1_64.pdb         1.72
decoy1_35.pdb         1.70
decoy2_5.pdb          2.03
decoy2_6.pdb          1.90
decoy2_7.pdb          1.98
decoy2_10.pdb         1.92
decoy2_1.pdb          1.92
decoy2_2.pdb          1.89
decoy2_4.pdb          1.93
decoy2_9.pdb          1.94
decoy2_3.pdb          1.95
decoy2_99.pdb         2.93
decoy4_38.pdb         2.76
decoy4_117.pdb        3.10
decoy4_75.pdb         3.71
decoy4_77.pdb         3.62
decoy4_124.pdb        3.33
decoy4_141.pdb        4.23
decoy4_138.pdb        4.23
decoy4_140.pdb        4.31
decoy4_142.pdb        4.29
decoy4_139.pdb        4.26
decoy4_143.pdb        4.34
decoy4_146.pdb        4.25
decoy4_137.pdb        4.38
decoy4_144.pdb        4.44
decoy4_150.pdb        4.29
decoy5_9.pdb          1.88
decoy5_30.pdb         1.98
decoy5_31.pdb         1.95
decoy5_6.pdb          1.90
decoy5_7.pdb          1.94
decoy5_8.pdb          2.00
decoy5_93.pdb         2.05
decoy5_43.pdb         2.16
decoy5_46.pdb         2.20
decoy5_40.pdb         2.04
decoy5_51.pdb         2.21
decoy5_48.pdb         2.04
decoy5_66.pdb         2.50
decoy5_82.pdb         2.26
decoy5_99.pdb         1.98
decoy5_38.pdb         2.20
decoy5_69.pdb         2.20
decoy5_86.pdb         2.17
decoy5_50.pdb         2.24
decoy5_54.pdb         2.20
decoy5_70.pdb         2.33
decoy5_106.pdb        3.03
decoy6_14.pdb         1.78
decoy6_4.pdb          1.69
decoy6_1.pdb          1.91
decoy6_12.pdb         1.90
decoy6_30.pdb         1.89
decoy6_46.pdb         1.76
decoy6_63.pdb         1.83
decoy7_84.pdb         3.18
decoy8_50.pdb         2.24
decoy8_81.pdb         3.00
decoy8_77.pdb         3.01
decoy8_85.pdb         2.96
decoy9_61.pdb         2.67
decoy11_1.pdb         1.86
decoy11_3.pdb         1.92
decoy11_9.pdb         1.96
decoy11_10.pdb        1.90
decoy11_12.pdb        1.90
decoy11_19.pdb        1.96
decoy11_5.pdb         1.94
decoy11_124.pdb       2.07
decoy13_2.pdb         1.93
decoy13_1.pdb         1.93
decoy13_43.pdb        2.39
decoy13_19.pdb        2.05
decoy13_37.pdb        1.97
decoy13_70.pdb        2.30
decoy13_57.pdb        2.42
decoy13_58.pdb        2.18
decoy13_60.pdb        2.12
decoy13_72.pdb        2.18
decoy14_10.pdb        2.17
decoy14_1.pdb         2.16
decoy14_15.pdb        2.15
decoy15_1.pdb         1.86
decoy15_30.pdb        2.03
decoy15_2.pdb         2.13
decoy15_4.pdb         2.12
decoy17_34.pdb        3.84
decoy17_6.pdb         3.80
decoy17_26.pdb        3.87
decoy17_27.pdb        3.94
decoy17_40.pdb        3.82
decoy17_35.pdb        3.84
decoy17_48.pdb        3.87
decoy17_98.pdb        4.40
decoy17_101.pdb       4.26
decoy17_107.pdb       4.23
decoy17_139.pdb       5.06
decoy17_141.pdb       5.05
decoy17_173.pdb       5.06
decoy17_144.pdb       4.97
decoy17_153.pdb       5.11
decoy17_161.pdb       5.12
decoy17_174.pdb       5.04
decoy19_143.pdb       3.04
decoy19_135.pdb       2.99
decoy19_133.pdb       3.00
decoy19_146.pdb       3.14
decoy19_149.pdb       3.11
decoy19_163.pdb       2.98
decoy21_4.pdb         2.59
decoy26_73.pdb        3.43
decoy27_220.pdb       8.56
decoy27_235.pdb       8.56
decoy27_248.pdb       8.61
decoy27_231.pdb       8.13
decoy27_239.pdb       8.73
decoy27_219.pdb       8.69
decoy27_221.pdb       8.74
decoy27_222.pdb       8.64
decoy27_234.pdb       8.66
decoy27_252.pdb       8.72
decoy27_266.pdb       8.41
decoy27_247.pdb       8.62
decoy27_226.pdb       8.47
decoy27_250.pdb       8.15
decoy27_259.pdb       8.72
decoy27_271.pdb       9.28
decoy27_319.pdb       9.07
decoy27_275.pdb       9.20
decoy27_293.pdb       9.21
decoy27_303.pdb       9.18
decoy27_295.pdb       9.49
decoy27_314.pdb       9.11
decoy27_324.pdb      10.48
decoy27_323.pdb      10.54
decoy27_336.pdb      11.75
decoy27_326.pdb      11.70
decoy27_334.pdb      11.69
decoy27_330.pdb      11.91
decoy27_335.pdb      11.10
decoy27_328.pdb      11.41
decoy27_332.pdb      11.84
decoy27_333.pdb      11.67
decoy27_325.pdb      11.70
decoy27_327.pdb      11.78
decoy27_329.pdb      11.34
decoy27_331.pdb      11.87
decoy28_194.pdb       5.11
decoy29_181.pdb       6.38
decoy29_172.pdb       6.58
decoy29_176.pdb       6.80
decoy30_92.pdb        4.10
decoy31_14.pdb        3.85
decoy31_6.pdb         3.90
decoy31_40.pdb        3.86
decoy31_5.pdb         3.96
decoy31_36.pdb        3.96
decoy31_37.pdb        3.85
decoy31_44.pdb        3.95
decoy31_47.pdb        3.96
decoy31_106.pdb       3.97
decoy31_137.pdb       5.42
decoy32_65.pdb        3.62
decoy32_71.pdb        4.83
decoy36_112.pdb       5.12
decoy37_123.pdb       4.14
decoy37_82.pdb        4.14
decoy38_163.pdb       5.53
decoy38_131.pdb       4.95
decoy38_143.pdb       5.64
decoy39_85.pdb        4.53
decoy39_80.pdb        4.51
decoy39_121.pdb       3.94
decoy40_18.pdb        6.35
decoy40_20.pdb        6.09
decoy40_47.pdb        7.38
decoy40_71.pdb        8.98
decoy40_157.pdb       8.96
decoy40_169.pdb      10.06
decoy40_151.pdb       9.15
decoy40_154.pdb       9.89
decoy40_159.pdb       9.90
decoy40_168.pdb       9.97
decoy40_164.pdb       9.87
decoy40_175.pdb       9.89
decoy40_179.pdb       9.15
decoy40_128.pdb       9.94
decoy40_131.pdb       9.64
decoy40_170.pdb       9.99
decoy40_172.pdb      10.01
decoy40_173.pdb       9.89
decoy40_137.pdb       9.74
decoy40_141.pdb       9.61
decoy40_148.pdb       9.34
decoy40_183.pdb       9.56
decoy40_189.pdb       9.53
decoy40_133.pdb       9.66
decoy40_144.pdb       9.47
decoy40_145.pdb       9.62
decoy40_198.pdb      10.12
decoy40_209.pdb      10.73
decoy40_195.pdb      10.11
decoy40_201.pdb      10.21
decoy40_210.pdb      10.46
decoy40_205.pdb      10.05
decoy40_191.pdb      10.15
decoy40_197.pdb      10.04
decoy40_246.pdb      11.94
decoy40_224.pdb      11.70
decoy40_227.pdb      11.80
decoy40_242.pdb      11.46
decoy40_216.pdb      11.72
decoy40_234.pdb      11.92
decoy40_213.pdb      11.53
decoy40_220.pdb      12.00
decoy40_217.pdb      11.72
decoy40_245.pdb      11.96
decoy40_266.pdb      11.13
decoy40_212.pdb      11.63
decoy40_219.pdb      11.79
decoy40_228.pdb      11.89
decoy40_238.pdb      11.86
decoy40_259.pdb      11.10
decoy40_215.pdb      11.89
decoy40_218.pdb      11.94
decoy40_223.pdb      11.44
decoy40_225.pdb      11.64
decoy40_248.pdb      11.51
decoy41_194.pdb       7.08
decoy42_27.pdb        6.11
decoy42_108.pdb       7.61
decoy42_118.pdb       7.41
decoy42_136.pdb       7.44
decoy42_78.pdb        7.43
decoy42_80.pdb        7.60
decoy42_124.pdb       7.46
decoy42_128.pdb       8.04
decoy42_102.pdb       7.34
decoy42_103.pdb       7.53
decoy42_109.pdb       7.48
decoy42_113.pdb       8.01
decoy42_114.pdb       7.70
decoy42_120.pdb       7.46
decoy42_119.pdb       7.43
decoy42_134.pdb       7.93
decoy42_73.pdb        8.04
decoy42_76.pdb        7.96
decoy42_195.pdb       8.93
decoy42_170.pdb       8.27
decoy42_185.pdb       8.18
decoy42_153.pdb       8.37
decoy42_156.pdb       8.31
decoy42_165.pdb       8.35
decoy42_169.pdb       8.29
decoy42_191.pdb       8.09
decoy42_176.pdb       8.36
decoy42_177.pdb       8.46
decoy42_186.pdb       8.02
decoy42_187.pdb       8.04
decoy42_159.pdb       8.16
decoy42_181.pdb       8.57
decoy42_201.pdb       8.34
decoy42_147.pdb       8.25
decoy42_150.pdb       8.21
decoy42_180.pdb       8.32
decoy42_205.pdb       9.80
decoy42_204.pdb       9.96
decoy42_209.pdb       9.41
decoy42_269.pdb      10.43
decoy42_268.pdb      10.38
decoy42_276.pdb      10.07
decoy42_261.pdb      10.57
decoy42_265.pdb      10.62
decoy42_266.pdb      10.38
decoy42_267.pdb      10.69
decoy42_262.pdb      10.04
decoy42_263.pdb      10.52
decoy42_264.pdb      10.10
decoy42_270.pdb      10.89
decoy42_271.pdb       9.99
decoy42_274.pdb      10.72
decoy42_278.pdb      10.23
decoy42_279.pdb      10.00
decoy42_273.pdb      10.74
decoy43_195.pdb       6.44
decoy43_205.pdb       6.43
decoy43_225.pdb       9.98
decoy44_13.pdb        3.65
decoy44_156.pdb       5.35
decoy45_91.pdb        4.22
decoy45_167.pdb       5.42
decoy46_90.pdb        4.36
