NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.44
decoy1_16.pdb         1.01
decoy1_4.pdb          1.04
decoy1_15.pdb         0.95
decoy1_23.pdb         0.98
decoy1_40.pdb         0.95
decoy1_9.pdb          1.09
decoy1_21.pdb         0.79
decoy1_22.pdb         0.87
decoy1_29.pdb         0.90
decoy1_32.pdb         0.91
decoy1_36.pdb         0.96
decoy1_42.pdb         0.95
decoy1_43.pdb         0.98
decoy1_45.pdb         0.95
decoy1_46.pdb         0.94
decoy1_47.pdb         0.93
decoy1_2.pdb          0.80
decoy1_3.pdb          0.92
decoy1_5.pdb          1.02
decoy1_6.pdb          0.77
decoy1_7.pdb          1.08
decoy1_14.pdb         1.04
decoy1_26.pdb         0.94
decoy1_30.pdb         0.91
decoy1_44.pdb         1.01
decoy1_1.pdb          0.77
decoy1_8.pdb          1.02
decoy1_10.pdb         0.47
decoy1_11.pdb         1.11
decoy1_17.pdb         0.96
decoy1_28.pdb         1.02
decoy1_13.pdb         0.76
decoy1_20.pdb         0.95
decoy1_63.pdb         1.25
decoy1_77.pdb         1.31
decoy1_74.pdb         1.88
decoy3_53.pdb         1.45
decoy3_2.pdb          1.64
decoy3_56.pdb         1.41
decoy3_60.pdb         1.40
decoy3_43.pdb         1.36
decoy3_55.pdb         1.43
decoy3_39.pdb         1.47
decoy3_62.pdb         1.50
decoy3_38.pdb         1.41
decoy3_46.pdb         1.53
decoy3_63.pdb         1.83
decoy3_64.pdb         1.43
decoy3_6.pdb          1.59
decoy3_23.pdb         1.66
decoy3_65.pdb         1.33
decoy3_1.pdb          1.75
decoy3_12.pdb         1.18
decoy3_40.pdb         1.87
decoy3_44.pdb         1.92
decoy3_61.pdb         1.50
decoy3_76.pdb         2.80
decoy3_94.pdb         2.72
decoy3_99.pdb         2.86
decoy3_74.pdb         2.80
decoy3_122.pdb        2.73
decoy3_72.pdb         2.87
decoy3_86.pdb         2.92
decoy3_113.pdb        2.88
decoy3_119.pdb        2.82
decoy3_123.pdb        2.73
decoy3_132.pdb        2.81
decoy3_145.pdb        3.04
decoy3_162.pdb        2.91
decoy3_176.pdb        2.99
decoy4_48.pdb         1.69
decoy4_2.pdb          1.75
decoy4_1.pdb          1.67
decoy8_29.pdb         1.80
decoy8_34.pdb         1.59
decoy8_98.pdb         2.52
decoy8_159.pdb        3.22
decoy8_298.pdb        6.04
decoy10_279.pdb       9.87
decoy11_1.pdb         9.72
decoy11_38.pdb       11.41
decoy11_37.pdb       11.47
decoy11_44.pdb       11.40
decoy12_116.pdb       3.19
decoy12_101.pdb       3.20
decoy12_86.pdb        3.43
decoy12_88.pdb        3.36
decoy12_97.pdb        3.34
decoy12_104.pdb       3.28
decoy12_122.pdb       3.30
decoy12_132.pdb       3.12
decoy12_146.pdb       3.97
decoy13_8.pdb         1.65
decoy13_53.pdb        2.51
decoy13_75.pdb        2.70
decoy13_83.pdb        2.59
decoy13_39.pdb        2.45
decoy13_135.pdb       3.00
decoy13_128.pdb       3.20
decoy13_131.pdb       3.25
decoy13_158.pdb       3.96
decoy14_329.pdb       7.14
decoy15_1.pdb         1.97
decoy15_2.pdb         1.87
decoy15_3.pdb         1.93
decoy15_68.pdb        2.18
decoy15_12.pdb        2.21
decoy15_29.pdb        2.06
decoy15_45.pdb        2.24
decoy15_56.pdb        2.07
decoy15_62.pdb        2.97
decoy15_19.pdb        2.08
decoy15_24.pdb        2.40
decoy15_32.pdb        2.12
decoy15_38.pdb        2.00
decoy15_21.pdb        2.94
decoy15_50.pdb        2.08
decoy15_58.pdb        1.81
decoy15_59.pdb        1.94
decoy15_107.pdb       3.24
decoy15_88.pdb        2.92
decoy15_73.pdb        3.14
decoy15_99.pdb        3.15
decoy15_101.pdb       3.23
decoy15_125.pdb       3.12
decoy15_97.pdb        3.15
decoy15_109.pdb       3.04
decoy15_136.pdb       3.06
decoy15_82.pdb        3.08
decoy15_83.pdb        3.10
decoy16_25.pdb        2.69
decoy16_42.pdb        2.95
decoy16_51.pdb        2.73
decoy16_93.pdb        3.89
