NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.55
decoy1_1.pdb          0.68
decoy1_5.pdb          1.00
decoy1_2.pdb          0.97
decoy1_3.pdb          0.93
decoy1_4.pdb          0.88
decoy1_6.pdb          1.09
decoy1_10.pdb         1.22
decoy1_24.pdb         1.60
decoy1_28.pdb         1.65
decoy1_15.pdb         1.88
decoy1_19.pdb         1.10
decoy1_9.pdb          1.80
decoy1_49.pdb         1.80
decoy1_52.pdb         1.51
decoy1_69.pdb         1.88
decoy1_23.pdb         1.18
decoy1_63.pdb         1.64
decoy1_64.pdb         1.77
decoy1_68.pdb         1.62
decoy1_22.pdb         1.83
decoy1_31.pdb         1.89
decoy1_37.pdb         1.79
decoy1_45.pdb         1.94
decoy1_7.pdb          1.64
decoy1_38.pdb         1.68
decoy1_44.pdb         1.48
decoy1_60.pdb         1.79
decoy1_14.pdb         1.33
decoy1_72.pdb         1.32
decoy1_17.pdb         1.52
decoy1_42.pdb         1.24
decoy1_43.pdb         1.04
decoy1_54.pdb         1.70
decoy1_27.pdb         1.32
decoy1_40.pdb         1.15
decoy2_5.pdb          1.92
decoy2_2.pdb          1.93
decoy2_4.pdb          1.96
decoy2_1.pdb          1.78
decoy2_3.pdb          1.93
decoy2_6.pdb          2.06
decoy2_74.pdb         3.43
decoy6_111.pdb        3.25
decoy8_2.pdb          2.78
decoy8_5.pdb          2.90
decoy8_22.pdb         2.87
decoy8_37.pdb         2.85
decoy8_39.pdb         2.91
decoy8_56.pdb         2.87
decoy8_58.pdb         2.94
decoy8_60.pdb         2.66
decoy8_67.pdb         3.09
decoy8_82.pdb         3.45
decoy8_79.pdb         3.34
decoy8_70.pdb         3.21
decoy8_103.pdb        3.40
decoy8_125.pdb        3.22
decoy8_112.pdb        3.24
decoy8_116.pdb        3.42
decoy8_126.pdb        3.38
decoy8_122.pdb        3.21
decoy8_68.pdb         2.95
decoy8_124.pdb        3.18
decoy8_77.pdb         3.09
decoy8_87.pdb         3.01
