NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.55
decoy1_1.pdb          1.00
decoy1_2.pdb          0.97
decoy1_3.pdb          1.08
decoy1_6.pdb          1.84
decoy1_47.pdb         1.87
decoy1_62.pdb         2.04
decoy1_33.pdb         1.84
decoy1_37.pdb         1.79
decoy1_36.pdb         1.57
decoy1_38.pdb         1.70
decoy1_44.pdb         1.91
decoy1_16.pdb         1.84
decoy1_64.pdb         1.98
decoy1_67.pdb         1.65
decoy1_9.pdb          1.72
decoy1_14.pdb         1.73
decoy1_15.pdb         1.72
decoy1_24.pdb         1.99
decoy1_63.pdb         1.87
decoy1_5.pdb          1.67
decoy1_10.pdb         1.71
decoy1_19.pdb         1.80
decoy1_22.pdb         1.51
decoy1_26.pdb         1.97
decoy1_56.pdb         1.65
decoy1_69.pdb         1.91
decoy1_20.pdb         1.95
decoy1_29.pdb         1.80
decoy1_34.pdb         1.57
decoy1_40.pdb         1.92
decoy1_43.pdb         1.88
decoy1_48.pdb         1.95
decoy1_52.pdb         1.79
decoy1_55.pdb         1.83
decoy1_61.pdb         1.79
decoy1_65.pdb         0.76
decoy1_31.pdb         1.98
decoy1_49.pdb         2.04
decoy1_79.pdb         2.25
decoy1_125.pdb        2.18
decoy1_108.pdb        2.18
decoy1_128.pdb        2.95
decoy1_94.pdb         2.22
decoy1_102.pdb        2.12
decoy1_107.pdb        2.20
decoy1_109.pdb        2.34
decoy1_73.pdb         2.49
decoy1_81.pdb         2.21
decoy1_92.pdb         2.56
decoy1_106.pdb        2.23
decoy1_115.pdb        2.22
decoy1_120.pdb        2.39
decoy1_122.pdb        2.43
decoy1_133.pdb        2.10
decoy1_72.pdb         2.33
decoy1_82.pdb         2.22
decoy1_96.pdb         2.48
decoy1_98.pdb         1.98
decoy1_101.pdb        2.23
decoy1_112.pdb        2.42
decoy1_129.pdb        2.48
decoy1_132.pdb        2.19
decoy1_70.pdb         2.44
decoy4_2.pdb          2.73
decoy4_1.pdb          2.99
