NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.41
decoy1_25.pdb         0.63
decoy1_6.pdb          0.73
decoy1_10.pdb         0.96
decoy1_21.pdb         0.94
decoy1_44.pdb         0.97
decoy1_56.pdb         0.94
decoy1_59.pdb         0.98
decoy1_5.pdb          0.47
decoy1_13.pdb         0.97
decoy1_29.pdb         0.82
decoy1_43.pdb         1.09
decoy1_3.pdb          0.50
decoy1_26.pdb         0.58
decoy1_35.pdb         0.94
decoy1_36.pdb         0.96
decoy1_37.pdb         1.00
decoy1_39.pdb         0.91
decoy1_42.pdb         0.95
decoy1_53.pdb         1.02
decoy1_1.pdb          0.56
decoy1_7.pdb          0.67
decoy1_9.pdb          0.73
decoy1_11.pdb         0.86
decoy1_14.pdb         0.88
decoy1_16.pdb         0.93
decoy1_20.pdb         0.73
decoy1_23.pdb         0.88
decoy1_45.pdb         0.90
decoy1_46.pdb         0.97
decoy1_47.pdb         0.92
decoy1_60.pdb         0.89
decoy1_61.pdb         0.70
decoy1_2.pdb          0.69
decoy1_84.pdb         1.34
decoy1_127.pdb        1.11
decoy1_89.pdb         1.15
decoy1_98.pdb         1.03
decoy1_72.pdb         1.06
decoy1_81.pdb         1.01
decoy1_93.pdb         1.12
decoy1_104.pdb        1.03
decoy1_76.pdb         1.06
decoy1_88.pdb         1.03
decoy1_95.pdb         1.06
decoy1_103.pdb        1.16
decoy1_105.pdb        1.06
decoy1_78.pdb         1.08
decoy1_86.pdb         1.18
decoy1_125.pdb        1.04
decoy1_131.pdb        1.15
decoy1_79.pdb         1.07
decoy1_83.pdb         1.08
decoy1_97.pdb         1.15
decoy1_118.pdb        1.06
decoy1_124.pdb        0.98
decoy1_128.pdb        1.06
decoy1_77.pdb         1.15
decoy1_87.pdb         1.00
decoy1_90.pdb         1.06
decoy1_92.pdb         1.21
decoy1_111.pdb        1.01
decoy1_120.pdb        1.40
decoy1_122.pdb        0.99
decoy1_123.pdb        1.08
decoy4_129.pdb        2.16
decoy4_105.pdb        2.20
decoy5_122.pdb        2.22
decoy6_2.pdb          1.49
decoy6_33.pdb         1.55
decoy6_109.pdb        1.98
decoy6_69.pdb         2.86
decoy6_114.pdb        2.09
decoy6_118.pdb        2.01
decoy6_71.pdb         2.30
decoy6_82.pdb         2.84
decoy6_129.pdb        2.40
decoy6_134.pdb        3.03
decoy6_136.pdb        2.98
decoy8_104.pdb        2.18
decoy10_69.pdb        1.90
decoy10_70.pdb        2.10
decoy10_120.pdb       1.91
decoy10_133.pdb       3.05
decoy10_134.pdb       3.06
decoy10_135.pdb       3.15
decoy12_135.pdb       4.48
decoy12_139.pdb       4.58
decoy12_147.pdb       6.41
decoy13_81.pdb        2.89
decoy13_99.pdb        2.83
decoy13_130.pdb       2.86
decoy13_67.pdb        1.96
decoy13_113.pdb       2.77
decoy13_105.pdb       2.02
decoy13_114.pdb       2.01
decoy13_119.pdb       2.84
decoy13_77.pdb        2.67
decoy13_94.pdb        2.15
decoy13_143.pdb       3.07
decoy13_147.pdb       2.92
decoy13_140.pdb       3.05
decoy13_150.pdb       3.17
decoy13_151.pdb       5.77
decoy13_157.pdb       5.54
decoy13_152.pdb       5.80
decoy13_153.pdb       5.36
decoy13_154.pdb       5.55
decoy13_156.pdb       5.32
decoy13_155.pdb       5.85
decoy14_160.pdb       3.29
decoy17_88.pdb        4.13
decoy17_87.pdb        3.97
decoy17_114.pdb       4.04
decoy17_67.pdb        4.14
decoy17_104.pdb       4.06
decoy17_151.pdb       5.22
decoy17_133.pdb       5.80
decoy17_146.pdb       4.82
decoy17_177.pdb       6.68
decoy17_180.pdb       6.41
decoy17_196.pdb       7.38
decoy17_184.pdb       7.28
decoy17_188.pdb       7.27
decoy17_190.pdb       7.15
decoy18_81.pdb        2.05
decoy20_94.pdb        3.25
decoy20_143.pdb       7.26
decoy20_142.pdb       7.42
decoy20_145.pdb       8.15
decoy20_146.pdb       8.37
decoy21_193.pdb       6.10
decoy21_180.pdb       6.19
decoy21_190.pdb       6.15
decoy21_178.pdb       6.17
decoy21_186.pdb       6.15
decoy22_116.pdb       3.29
decoy23_64.pdb        2.66
decoy23_120.pdb       2.97
decoy23_124.pdb       3.17
decoy23_129.pdb       3.14
decoy23_94.pdb        3.36
decoy23_100.pdb       3.29
decoy23_108.pdb       3.26
decoy23_125.pdb       2.92
decoy23_128.pdb       3.36
decoy23_132.pdb       3.19
decoy23_133.pdb       3.22
decoy23_117.pdb       3.34
decoy23_113.pdb       3.51
decoy23_130.pdb       3.07
decoy23_134.pdb       3.95
decoy23_139.pdb       4.25
decoy23_141.pdb       3.93
decoy23_142.pdb       4.23
decoy23_143.pdb       3.85
decoy23_144.pdb       4.24
decoy23_135.pdb       4.08
decoy23_140.pdb       4.03
decoy23_136.pdb       4.06
decoy23_137.pdb       4.23
decoy26_128.pdb       4.18
decoy26_114.pdb       4.21
decoy26_127.pdb       3.90
decoy26_142.pdb       5.46
decoy26_145.pdb       5.32
decoy26_154.pdb       6.83
decoy26_164.pdb       6.95
decoy26_162.pdb       6.66
decoy26_155.pdb       6.74
decoy26_158.pdb       6.96
decoy26_152.pdb       6.87
decoy26_168.pdb       6.84
decoy26_176.pdb       7.06
decoy26_175.pdb       7.82
decoy26_178.pdb       7.15
decoy26_174.pdb       7.22
decoy26_177.pdb       7.00
decoy26_171.pdb       7.90
decoy26_191.pdb       8.63
decoy26_179.pdb       8.97
decoy26_183.pdb       8.90
decoy26_181.pdb       8.94
decoy26_193.pdb       8.37
decoy26_194.pdb       8.90
decoy26_185.pdb       8.83
decoy26_211.pdb       9.47
decoy26_208.pdb       8.99
decoy26_203.pdb       9.87
decoy26_221.pdb       9.41
decoy26_204.pdb       9.57
decoy26_206.pdb       9.00
decoy26_216.pdb       9.37
decoy26_224.pdb       9.99
decoy26_207.pdb       9.57
decoy26_209.pdb       9.07
decoy26_210.pdb       9.53
decoy26_212.pdb       9.96
decoy26_235.pdb       9.96
decoy26_241.pdb      10.03
decoy26_279.pdb      10.12
decoy26_242.pdb      10.25
decoy26_247.pdb       9.93
decoy26_257.pdb      10.10
decoy26_265.pdb      10.22
decoy26_267.pdb      10.54
decoy26_271.pdb      10.16
decoy26_272.pdb      10.30
decoy26_277.pdb      10.19
decoy26_244.pdb      10.40
decoy26_245.pdb      10.86
decoy26_258.pdb      10.77
decoy26_236.pdb      10.40
decoy26_238.pdb      10.35
decoy26_260.pdb       9.96
decoy26_269.pdb      10.37
decoy26_240.pdb      10.11
decoy26_237.pdb      10.81
decoy26_243.pdb      10.18
decoy26_281.pdb      10.99
decoy26_283.pdb      10.76
decoy26_284.pdb      11.02
decoy27_48.pdb        2.69
decoy27_97.pdb        3.20
decoy27_111.pdb       2.90
decoy28_39.pdb        2.54
decoy28_5.pdb         2.41
decoy28_10.pdb        2.83
decoy28_130.pdb       3.21
decoy28_189.pdb       4.46
decoy28_180.pdb       4.60
decoy28_211.pdb       5.09
decoy28_199.pdb       5.34
decoy28_209.pdb       5.68
decoy28_210.pdb       5.29
decoy28_212.pdb       5.04
decoy29_103.pdb       4.38
decoy29_119.pdb       4.60
decoy29_71.pdb        4.10
decoy29_79.pdb        4.52
decoy29_115.pdb       4.06
decoy29_155.pdb       5.40
decoy29_136.pdb       5.68
decoy29_160.pdb       5.99
decoy29_159.pdb       6.08
decoy29_163.pdb       6.24
decoy29_165.pdb       7.89
decoy29_166.pdb       7.99
decoy30_10.pdb        2.57
decoy30_5.pdb         2.36
decoy30_56.pdb        2.62
decoy30_97.pdb        3.07
decoy30_81.pdb        3.09
decoy30_113.pdb       3.04
decoy30_130.pdb       2.94
decoy31_117.pdb       7.45
decoy31_98.pdb        7.65
decoy31_104.pdb       7.44
decoy31_88.pdb        7.58
decoy31_116.pdb       8.29
decoy31_121.pdb       7.32
decoy31_130.pdb       7.76
decoy31_140.pdb       7.95
decoy31_92.pdb        7.68
decoy31_142.pdb       7.32
decoy31_186.pdb       8.49
decoy31_157.pdb       8.88
decoy31_169.pdb       8.45
decoy31_173.pdb       8.28
decoy31_151.pdb       8.90
decoy31_147.pdb       8.85
decoy31_153.pdb       7.96
decoy31_149.pdb       8.79
decoy31_172.pdb       8.62
decoy31_175.pdb       8.70
decoy31_202.pdb       9.17
decoy31_189.pdb       9.06
decoy31_207.pdb       9.16
decoy31_190.pdb       9.19
decoy31_197.pdb       9.06
decoy31_205.pdb       8.92
decoy31_214.pdb       9.20
decoy31_215.pdb       9.08
decoy31_196.pdb       8.94
decoy31_204.pdb       9.18
decoy31_216.pdb       9.26
decoy31_220.pdb       9.22
decoy33_131.pdb       6.20
decoy33_143.pdb       6.38
decoy33_167.pdb       6.76
decoy33_174.pdb       5.97
decoy33_227.pdb       8.14
decoy38_179.pdb       6.53
decoy38_180.pdb       6.75
decoy38_195.pdb       7.81
decoy38_196.pdb       7.24
decoy38_194.pdb       7.48
decoy38_205.pdb       8.20
decoy38_203.pdb       8.65
decoy38_204.pdb       8.67
decoy38_199.pdb       8.71
decoy38_201.pdb       8.46
decoy39_202.pdb       9.83
decoy39_185.pdb       9.91
decoy39_205.pdb       9.85
decoy39_218.pdb       9.82
decoy39_228.pdb      10.07
decoy39_226.pdb      10.15
decoy39_233.pdb      10.06
decoy39_240.pdb      11.22
decoy40_139.pdb       4.10
decoy40_147.pdb       3.95
decoy40_153.pdb       7.88
decoy40_152.pdb       7.87
decoy41_141.pdb       7.29
decoy42_24.pdb        3.82
decoy42_32.pdb        3.73
decoy42_118.pdb       4.30
decoy42_142.pdb       5.78
decoy42_162.pdb       6.08
decoy42_184.pdb       5.70
decoy42_135.pdb       5.59
decoy42_164.pdb       5.12
decoy42_155.pdb       5.00
decoy42_159.pdb       5.72
decoy42_207.pdb       6.75
decoy42_206.pdb       6.78
decoy42_211.pdb       7.64
decoy43_26.pdb        8.75
decoy43_48.pdb       10.73
decoy43_52.pdb       10.42
decoy43_94.pdb       11.69
decoy43_92.pdb       11.56
decoy43_99.pdb       11.77
decoy43_71.pdb       11.57
decoy43_80.pdb       11.42
decoy43_81.pdb       11.92
decoy43_84.pdb       11.86
decoy43_86.pdb       11.33
decoy43_87.pdb       11.77
decoy43_102.pdb      11.41
decoy43_105.pdb      11.83
decoy43_93.pdb       11.08
decoy43_106.pdb      11.81
decoy43_90.pdb       11.94
decoy43_117.pdb      11.94
decoy44_86.pdb        4.49
decoy45_80.pdb        4.37
decoy45_69.pdb        3.91
decoy46_2.pdb         6.00
decoy46_1.pdb         6.86
decoy46_50.pdb        8.39
decoy46_44.pdb        8.35
decoy46_129.pdb      11.11
decoy47_126.pdb      11.12
decoy47_127.pdb      11.82
decoy47_124.pdb      11.37
decoy48_52.pdb        8.59
decoy48_84.pdb        9.37
decoy48_124.pdb      10.61
decoy48_132.pdb      11.35
decoy52_5.pdb         8.57
decoy54_26.pdb        9.79
decoy54_29.pdb        9.85
decoy54_88.pdb       10.78
decoy54_66.pdb        9.95
decoy54_72.pdb       10.99
decoy54_63.pdb       10.88
decoy54_67.pdb       10.56
decoy54_98.pdb       11.10
decoy54_101.pdb      11.38
decoy54_96.pdb       11.07
decoy54_97.pdb       11.14
decoy58_12.pdb       11.71
decoy59_3.pdb         5.77
decoy59_17.pdb        5.77
decoy59_6.pdb         5.85
decoy59_8.pdb         5.87
decoy59_7.pdb         5.88
decoy59_2.pdb         5.77
decoy59_24.pdb        6.52
decoy59_74.pdb        7.62
decoy59_71.pdb        7.64
decoy59_133.pdb       8.09
decoy67_89.pdb       11.88
decoy70_176.pdb      10.06
decoy72_23.pdb        8.83
decoy72_57.pdb        9.48
decoy73_24.pdb       11.76
decoy73_21.pdb       11.56
