NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.40
decoy1_25.pdb         1.03
decoy1_30.pdb         0.97
decoy1_24.pdb         1.02
decoy1_28.pdb         1.04
decoy1_8.pdb          1.00
decoy1_11.pdb         0.95
decoy1_12.pdb         0.93
decoy1_15.pdb         0.85
decoy1_22.pdb         0.97
decoy1_26.pdb         0.91
decoy1_1.pdb          0.99
decoy1_2.pdb          0.72
decoy1_4.pdb          0.92
decoy1_19.pdb         0.97
decoy1_3.pdb          0.98
decoy1_5.pdb          0.86
decoy1_6.pdb          0.90
decoy1_7.pdb          0.94
decoy1_9.pdb          1.00
decoy1_29.pdb         0.86
decoy1_16.pdb         0.94
decoy1_18.pdb         0.74
decoy1_10.pdb         0.82
decoy1_13.pdb         0.83
decoy1_14.pdb         0.87
decoy1_17.pdb         0.90
decoy1_20.pdb         0.87
decoy1_21.pdb         0.88
decoy1_23.pdb         0.91
decoy1_27.pdb         0.95
decoy1_84.pdb         1.35
decoy1_34.pdb         1.13
decoy1_52.pdb         1.53
decoy1_69.pdb         1.51
decoy1_88.pdb         1.07
decoy1_45.pdb         1.00
decoy1_57.pdb         1.49
decoy1_62.pdb         1.56
decoy1_66.pdb         0.95
decoy1_90.pdb         1.34
decoy1_93.pdb         1.17
decoy1_94.pdb         1.15
decoy1_54.pdb         1.00
decoy1_96.pdb         1.04
decoy1_33.pdb         1.07
decoy1_35.pdb         1.27
decoy1_39.pdb         1.19
decoy1_53.pdb         1.09
decoy1_56.pdb         1.52
decoy1_81.pdb         1.08
decoy1_82.pdb         1.30
decoy1_95.pdb         1.17
decoy1_67.pdb         1.06
decoy1_31.pdb         1.02
decoy1_32.pdb         1.05
decoy1_44.pdb         1.26
decoy1_64.pdb         1.21
decoy1_65.pdb         1.24
decoy1_68.pdb         1.32
decoy1_73.pdb         1.35
decoy3_40.pdb         2.86
decoy4_64.pdb         2.83
decoy4_97.pdb         3.06
decoy4_72.pdb         3.07
decoy4_89.pdb         3.03
decoy4_99.pdb         3.19
decoy4_102.pdb        3.08
decoy4_76.pdb         3.12
decoy4_82.pdb         3.06
decoy4_182.pdb        4.17
decoy4_191.pdb        4.07
decoy4_138.pdb        4.19
decoy4_226.pdb        6.52
decoy5_1.pdb          2.52
decoy5_59.pdb         2.60
decoy6_1.pdb          1.85
decoy6_2.pdb          1.96
decoy7_22.pdb         2.51
decoy8_13.pdb         2.62
decoy8_22.pdb         2.25
decoy8_47.pdb         2.52
decoy8_70.pdb         3.09
decoy9_43.pdb         2.39
decoy9_2.pdb          2.77
decoy9_10.pdb         2.78
decoy9_14.pdb         2.28
decoy9_23.pdb         2.73
decoy9_3.pdb          2.85
decoy9_5.pdb          2.86
decoy9_41.pdb         2.77
decoy9_25.pdb         2.79
decoy9_105.pdb        3.03
decoy10_24.pdb        2.50
decoy10_22.pdb        2.50
decoy10_27.pdb        2.66
decoy10_80.pdb        3.96
decoy10_76.pdb        4.08
decoy12_82.pdb        3.06
decoy12_83.pdb        3.09
decoy12_80.pdb        2.98
decoy13_126.pdb       7.97
decoy15_8.pdb         2.83
decoy16_126.pdb       3.65
decoy16_131.pdb       3.69
decoy18_50.pdb        2.98
decoy18_94.pdb        3.88
decoy18_103.pdb       3.94
decoy18_114.pdb       3.83
decoy18_73.pdb        3.92
decoy18_79.pdb        3.73
decoy18_72.pdb        3.81
decoy18_121.pdb       3.78
decoy18_75.pdb        3.77
decoy18_90.pdb        3.77
decoy18_141.pdb       4.45
decoy18_236.pdb       9.74
decoy18_235.pdb       9.74
decoy19_5.pdb         2.96
decoy19_51.pdb        3.13
decoy19_57.pdb        3.51
decoy19_90.pdb        3.94
decoy19_69.pdb        3.05
decoy19_88.pdb        3.38
decoy19_102.pdb       4.00
decoy19_105.pdb       4.14
decoy19_107.pdb       4.03
decoy19_155.pdb       4.15
decoy22_33.pdb        2.90
decoy23_65.pdb        2.87
decoy23_17.pdb        2.91
decoy23_13.pdb        2.94
decoy23_30.pdb        2.94
decoy23_2.pdb         2.89
decoy23_64.pdb        2.94
decoy23_66.pdb        2.84
decoy23_75.pdb        3.02
decoy23_87.pdb        3.08
decoy23_124.pdb       3.10
decoy24_101.pdb       3.49
decoy25_17.pdb        2.87
decoy25_7.pdb         2.94
decoy25_10.pdb        2.97
decoy25_70.pdb        3.10
decoy25_91.pdb        3.17
decoy26_104.pdb       5.91
decoy26_148.pdb       6.10
decoy26_191.pdb       5.99
decoy26_159.pdb       6.00
decoy26_133.pdb       5.96
decoy26_141.pdb       6.00
decoy26_163.pdb       5.97
decoy26_175.pdb       6.05
decoy26_190.pdb       6.15
decoy27_1.pdb         4.64
decoy27_4.pdb         5.71
decoy27_28.pdb        6.82
decoy27_74.pdb        7.18
decoy27_57.pdb        7.12
decoy27_70.pdb        7.69
decoy27_95.pdb        7.22
decoy27_55.pdb        7.57
decoy27_87.pdb        7.48
decoy27_66.pdb        7.55
decoy27_109.pdb       8.02
decoy27_117.pdb       8.07
decoy27_132.pdb       8.49
decoy27_123.pdb       8.14
decoy27_128.pdb       8.02
decoy27_135.pdb       8.11
decoy27_146.pdb       9.15
decoy27_137.pdb       9.90
decoy27_174.pdb      10.23
decoy27_182.pdb      10.33
decoy28_160.pdb       5.14
decoy28_141.pdb       5.14
decoy28_143.pdb       5.33
decoy28_146.pdb       5.09
decoy28_150.pdb       5.01
decoy29_43.pdb        5.51
decoy29_37.pdb        5.29
decoy29_131.pdb       6.09
decoy30_67.pdb        4.22
decoy30_102.pdb       4.05
decoy31_133.pdb       6.12
decoy31_135.pdb       6.11
decoy32_92.pdb        4.20
decoy32_77.pdb        4.00
decoy32_67.pdb        4.09
decoy32_75.pdb        4.06
decoy32_81.pdb        4.10
decoy32_78.pdb        4.10
decoy32_104.pdb       4.10
decoy32_98.pdb        4.12
decoy32_95.pdb        4.08
decoy32_76.pdb        4.13
decoy32_105.pdb       4.08
decoy32_199.pdb       9.13
decoy33_59.pdb        5.91
decoy33_80.pdb        5.86
decoy33_47.pdb        5.80
decoy33_45.pdb        5.77
decoy33_73.pdb        5.80
decoy33_84.pdb        5.91
decoy33_96.pdb        6.74
decoy33_92.pdb        6.70
decoy33_94.pdb        6.69
decoy33_105.pdb       6.80
decoy33_119.pdb       6.66
decoy33_129.pdb       6.51
decoy33_97.pdb        6.74
decoy33_101.pdb       6.73
decoy33_151.pdb       7.04
decoy33_183.pdb       9.58
decoy34_68.pdb        4.15
decoy34_73.pdb        4.17
decoy34_95.pdb        4.72
decoy34_131.pdb       4.48
decoy34_81.pdb        4.46
decoy34_76.pdb        4.43
decoy34_143.pdb       5.70
decoy34_144.pdb       5.66
decoy35_19.pdb        8.53
decoy35_16.pdb        8.49
decoy35_24.pdb        8.48
decoy35_51.pdb        9.91
decoy35_67.pdb        9.53
decoy35_64.pdb        9.31
decoy35_50.pdb        9.68
decoy35_96.pdb       10.86
decoy35_80.pdb        9.96
decoy35_90.pdb       10.77
decoy35_109.pdb      10.93
decoy37_51.pdb        7.42
decoy37_52.pdb        7.35
decoy38_22.pdb        5.89
decoy38_53.pdb        6.72
decoy38_78.pdb        6.26
decoy38_84.pdb        6.34
decoy38_58.pdb        6.20
decoy38_75.pdb        6.20
decoy38_50.pdb        6.86
decoy38_60.pdb        6.82
decoy38_125.pdb       7.14
decoy38_122.pdb       7.10
decoy39_57.pdb        9.40
decoy39_38.pdb        9.62
decoy39_39.pdb        9.52
decoy39_58.pdb        9.53
decoy40_19.pdb        4.21
decoy40_75.pdb        5.69
decoy40_74.pdb        5.56
decoy40_89.pdb        5.50
decoy40_90.pdb        5.46
decoy40_96.pdb        5.47
decoy40_109.pdb       5.47
decoy40_126.pdb       5.42
decoy44_20.pdb       10.22
decoy44_55.pdb       11.80
decoy46_99.pdb        5.55
decoy46_118.pdb       6.10
decoy46_154.pdb       6.64
decoy46_207.pdb       8.51
decoy46_212.pdb       8.61
decoy46_231.pdb       9.44
decoy47_68.pdb        5.08
decoy47_73.pdb        5.09
decoy47_128.pdb       5.63
decoy47_71.pdb        5.03
decoy47_78.pdb        5.09
decoy47_90.pdb        5.06
decoy47_143.pdb       6.29
decoy47_190.pdb       7.33
decoy47_201.pdb       7.55
decoy47_195.pdb       7.60
decoy47_219.pdb       8.03
decoy47_207.pdb       7.97
decoy47_211.pdb       7.97
decoy47_214.pdb       8.23
decoy47_213.pdb       8.14
decoy47_204.pdb       8.18
decoy47_218.pdb       8.07
decoy48_19.pdb       10.56
decoy48_42.pdb       11.10
decoy49_38.pdb        4.91
decoy49_223.pdb       7.88
decoy49_251.pdb       8.47
decoy49_257.pdb       8.21
decoy49_259.pdb       8.33
decoy49_254.pdb       8.08
decoy49_252.pdb       8.27
decoy49_258.pdb       8.36
decoy49_245.pdb       8.26
decoy49_246.pdb       8.49
decoy49_248.pdb       8.26
decoy49_250.pdb       8.25
decoy49_256.pdb       8.01
decoy49_263.pdb       8.51
decoy50_132.pdb       6.92
decoy50_126.pdb       6.20
decoy50_184.pdb       7.06
decoy50_191.pdb       7.66
decoy50_193.pdb       7.07
decoy50_204.pdb       7.19
decoy50_256.pdb       9.73
decoy51_57.pdb       10.50
decoy51_50.pdb       10.44
decoy51_139.pdb      11.04
decoy52_174.pdb      10.01
decoy52_175.pdb      10.01
decoy52_180.pdb      10.06
decoy52_193.pdb      10.32
decoy52_191.pdb      10.22
decoy52_196.pdb      10.20
decoy52_207.pdb      10.62
decoy52_194.pdb      10.10
decoy52_195.pdb      10.21
decoy53_5.pdb         4.54
decoy53_93.pdb        5.20
decoy54_7.pdb         7.05
decoy54_76.pdb        8.84
decoy54_97.pdb        7.94
decoy54_200.pdb      10.82
