NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.18
decoy1_21.pdb         0.98
decoy1_23.pdb         0.84
decoy1_3.pdb          0.99
decoy1_8.pdb          0.99
decoy1_10.pdb         0.90
decoy1_13.pdb         0.95
decoy1_18.pdb         0.93
decoy1_38.pdb         0.96
decoy1_15.pdb         0.82
decoy1_16.pdb         0.93
decoy1_30.pdb         0.50
decoy1_31.pdb         0.96
decoy1_32.pdb         0.87
decoy1_33.pdb         0.86
decoy1_34.pdb         0.80
decoy1_37.pdb         0.48
decoy1_1.pdb          0.91
decoy1_2.pdb          0.90
decoy1_4.pdb          0.97
decoy1_5.pdb          0.94
decoy1_6.pdb          1.01
decoy1_7.pdb          1.03
decoy1_9.pdb          0.99
decoy1_11.pdb         0.95
decoy1_12.pdb         0.84
decoy1_14.pdb         0.98
decoy1_17.pdb         0.84
decoy1_19.pdb         0.99
decoy1_20.pdb         0.98
decoy1_22.pdb         0.82
decoy1_24.pdb         0.83
decoy1_25.pdb         0.73
decoy1_26.pdb         0.97
decoy1_43.pdb         1.04
decoy1_60.pdb         1.00
decoy1_79.pdb         1.04
decoy1_61.pdb         1.00
decoy1_89.pdb         1.45
decoy1_97.pdb         1.22
decoy1_99.pdb         1.48
decoy1_100.pdb        1.42
decoy2_18.pdb         1.79
decoy2_36.pdb         1.89
decoy2_45.pdb         1.89
decoy2_39.pdb         1.97
decoy2_55.pdb         1.81
decoy2_56.pdb         1.81
decoy2_57.pdb         1.81
decoy2_65.pdb         1.99
decoy2_85.pdb         2.35
decoy2_206.pdb       10.13
decoy3_30.pdb         2.17
decoy3_34.pdb         2.15
decoy3_45.pdb         2.13
decoy3_54.pdb         2.23
decoy3_21.pdb         2.23
decoy4_59.pdb         1.91
decoy4_26.pdb         1.71
decoy4_3.pdb          1.90
decoy4_11.pdb         1.93
decoy4_42.pdb         1.92
decoy4_46.pdb         1.87
decoy4_55.pdb         1.92
decoy4_110.pdb        2.10
decoy4_82.pdb         2.07
decoy4_94.pdb         1.99
decoy4_100.pdb        2.06
decoy4_101.pdb        2.07
decoy4_125.pdb        1.92
decoy6_157.pdb        8.35
decoy6_159.pdb        8.40
decoy6_164.pdb        8.36
decoy6_174.pdb        8.42
decoy6_156.pdb        8.15
decoy6_326.pdb       11.10
decoy6_331.pdb       11.07
decoy7_10.pdb         3.39
decoy8_29.pdb         1.98
decoy8_1.pdb          1.90
decoy8_5.pdb          1.92
decoy8_9.pdb          1.92
decoy8_11.pdb         2.00
decoy8_12.pdb         1.88
