NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.45
decoy1_9.pdb          0.92
decoy1_13.pdb         0.72
decoy1_5.pdb          0.66
decoy1_29.pdb         1.00
decoy1_1.pdb          1.15
decoy1_2.pdb          1.03
decoy1_3.pdb          1.00
decoy1_4.pdb          0.97
decoy1_8.pdb          0.97
decoy1_14.pdb         0.91
decoy1_6.pdb          0.55
decoy1_7.pdb          1.11
decoy1_12.pdb         1.25
decoy1_16.pdb         0.95
decoy1_19.pdb         1.06
decoy1_26.pdb         1.00
decoy1_10.pdb         1.06
decoy1_11.pdb         1.01
decoy1_18.pdb         0.94
decoy1_23.pdb         0.84
decoy1_27.pdb         1.01
decoy1_28.pdb         1.45
decoy1_15.pdb         0.90
decoy1_21.pdb         0.92
decoy1_25.pdb         0.98
decoy1_17.pdb         1.21
decoy1_24.pdb         1.05
decoy1_20.pdb         1.07
decoy1_30.pdb         0.94
decoy1_22.pdb         1.04
decoy1_33.pdb         1.60
decoy1_35.pdb         1.72
decoy1_41.pdb         1.20
decoy1_58.pdb         1.15
decoy1_70.pdb         1.18
decoy1_95.pdb         1.19
decoy1_50.pdb         1.06
decoy1_51.pdb         1.13
decoy1_80.pdb         1.29
decoy1_47.pdb         1.42
decoy1_56.pdb         1.02
decoy1_91.pdb         1.32
decoy1_92.pdb         1.22
decoy1_36.pdb         1.16
decoy1_43.pdb         1.17
decoy1_62.pdb         1.85
decoy1_79.pdb         1.15
decoy1_49.pdb         1.15
decoy1_53.pdb         1.22
decoy1_130.pdb        2.63
decoy1_104.pdb        2.48
decoy1_113.pdb        2.21
decoy1_151.pdb        2.55
decoy1_103.pdb        2.67
decoy1_109.pdb        2.66
decoy1_118.pdb        2.77
decoy1_133.pdb        2.16
decoy1_142.pdb        2.65
decoy1_143.pdb        3.01
decoy1_108.pdb        2.68
decoy1_147.pdb        2.71
decoy2_249.pdb        6.19
decoy2_258.pdb        5.71
decoy2_312.pdb        6.13
decoy2_315.pdb        6.18
decoy3_11.pdb         1.98
decoy3_6.pdb          1.95
