NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.34
decoy1_3.pdb          0.90
decoy1_9.pdb          0.71
decoy1_15.pdb         0.81
decoy1_19.pdb         0.94
decoy1_1.pdb          0.82
decoy1_2.pdb          0.85
decoy1_5.pdb          0.82
decoy1_6.pdb          0.80
decoy1_8.pdb          0.79
decoy1_14.pdb         0.79
decoy1_18.pdb         0.82
decoy1_7.pdb          0.76
decoy1_12.pdb         0.92
decoy1_13.pdb         0.94
decoy1_16.pdb         0.93
decoy1_17.pdb         0.88
decoy1_4.pdb          0.89
decoy1_10.pdb         0.74
decoy1_11.pdb         1.00
decoy1_80.pdb         1.19
decoy1_62.pdb         0.85
decoy1_23.pdb         1.02
decoy1_27.pdb         0.78
decoy1_54.pdb         1.08
decoy1_78.pdb         1.09
decoy1_24.pdb         1.00
decoy1_59.pdb         0.84
decoy1_66.pdb         1.05
decoy1_71.pdb         1.06
decoy1_25.pdb         1.23
decoy1_28.pdb         1.15
decoy1_34.pdb         1.01
decoy1_38.pdb         1.10
decoy1_44.pdb         1.77
decoy1_45.pdb         0.96
decoy1_47.pdb         1.25
decoy1_68.pdb         1.89
decoy1_79.pdb         1.52
decoy1_29.pdb         1.81
decoy1_33.pdb         1.79
decoy1_35.pdb         1.20
decoy1_48.pdb         1.91
decoy1_64.pdb         1.31
decoy1_73.pdb         1.10
decoy1_81.pdb         1.94
decoy1_84.pdb         1.34
decoy3_21.pdb         2.47
decoy3_28.pdb         2.46
decoy3_30.pdb         2.49
decoy3_40.pdb         2.92
decoy3_54.pdb         2.36
decoy3_83.pdb         3.04
decoy4_221.pdb        6.17
decoy6_3.pdb          1.95
decoy6_4.pdb          1.89
decoy6_1.pdb          1.89
decoy6_2.pdb          1.95
decoy6_48.pdb         2.41
decoy6_29.pdb         2.61
decoy7_4.pdb          1.91
decoy7_2.pdb          1.79
decoy7_33.pdb         2.35
decoy8_139.pdb       10.71
decoy8_138.pdb       10.58
decoy10_8.pdb         2.31
decoy10_4.pdb         2.31
decoy10_14.pdb        2.43
decoy10_47.pdb        2.48
decoy11_16.pdb        2.94
decoy11_27.pdb        2.59
decoy11_32.pdb        2.95
decoy11_62.pdb        2.83
decoy12_157.pdb       8.36
decoy12_143.pdb       8.39
decoy12_151.pdb       8.50
decoy12_175.pdb       8.22
decoy12_122.pdb       8.66
decoy12_131.pdb       8.29
decoy12_142.pdb       8.49
decoy12_144.pdb       8.50
decoy12_158.pdb       8.34
decoy12_234.pdb      10.71
decoy12_213.pdb      10.37
decoy12_239.pdb      11.04
decoy12_242.pdb      11.03
decoy12_243.pdb      11.89
decoy12_245.pdb      12.00
decoy12_262.pdb      11.61
decoy12_266.pdb      11.05
decoy12_238.pdb      11.03
decoy12_241.pdb      11.00
decoy13_44.pdb        2.93
decoy13_65.pdb        2.83
decoy13_59.pdb        3.01
decoy13_68.pdb        3.06
decoy13_101.pdb       3.00
decoy13_78.pdb        3.01
decoy13_72.pdb        3.04
decoy13_77.pdb        2.98
decoy13_89.pdb        2.99
decoy13_98.pdb        3.16
decoy13_109.pdb       2.98
decoy14_16.pdb        2.60
decoy14_147.pdb       4.10
decoy18_10.pdb        2.62
decoy18_13.pdb        2.65
decoy18_9.pdb         2.63
decoy18_28.pdb        2.72
decoy18_12.pdb        2.41
decoy18_4.pdb         2.14
decoy18_8.pdb         2.37
decoy18_26.pdb        2.47
decoy18_33.pdb        2.77
decoy18_40.pdb        2.09
decoy18_86.pdb        3.18
decoy18_103.pdb       3.30
decoy18_96.pdb        3.29
decoy18_98.pdb        3.26
decoy18_76.pdb        3.73
decoy18_77.pdb        3.74
decoy18_131.pdb       2.99
decoy21_35.pdb        4.01
decoy21_78.pdb        4.12
decoy21_81.pdb        3.95
decoy21_108.pdb       3.92
decoy21_50.pdb        4.49
decoy21_44.pdb        4.57
decoy21_48.pdb        4.55
decoy21_57.pdb        4.52
decoy21_64.pdb        4.18
decoy21_67.pdb        4.49
decoy21_71.pdb        4.14
decoy21_80.pdb        4.02
decoy21_94.pdb        4.29
decoy21_54.pdb        4.48
decoy21_61.pdb        4.55
decoy21_74.pdb        4.09
decoy21_221.pdb       6.83
decoy21_215.pdb       6.26
decoy21_247.pdb       7.35
decoy21_343.pdb       9.93
decoy21_345.pdb       9.87
decoy21_359.pdb      10.02
decoy21_364.pdb      10.88
decoy21_369.pdb      10.98
decoy22_167.pdb       3.99
decoy23_23.pdb        3.00
decoy23_12.pdb        2.92
decoy23_117.pdb       3.09
decoy23_123.pdb       3.13
decoy23_80.pdb        3.42
decoy23_121.pdb       3.27
decoy23_122.pdb       3.12
decoy23_131.pdb       4.48
decoy23_149.pdb       4.57
decoy24_16.pdb        5.86
decoy24_39.pdb        5.94
decoy24_54.pdb        5.82
decoy24_110.pdb       6.50
decoy24_121.pdb       6.44
decoy24_93.pdb        6.63
decoy24_199.pdb      10.82
decoy24_206.pdb      10.32
decoy24_204.pdb      10.25
decoy24_211.pdb      11.02
decoy25_32.pdb        3.50
decoy25_44.pdb        3.40
decoy25_45.pdb        3.45
decoy25_55.pdb        3.39
decoy25_103.pdb       5.88
decoy25_154.pdb       5.65
decoy25_200.pdb       6.15
decoy25_196.pdb       6.56
decoy25_206.pdb       6.38
decoy26_6.pdb         2.96
decoy26_20.pdb        2.79
decoy27_39.pdb        3.49
decoy27_169.pdb       5.17
decoy27_149.pdb       5.60
decoy27_195.pdb       5.53
decoy27_148.pdb       5.53
decoy27_189.pdb       5.67
