NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.43
decoy1_2.pdb          1.22
decoy1_1.pdb          1.00
decoy1_52.pdb         1.74
decoy1_55.pdb         1.94
decoy1_16.pdb         2.02
decoy1_21.pdb         1.97
decoy1_27.pdb         2.02
decoy1_28.pdb         1.95
decoy1_29.pdb         2.08
decoy1_17.pdb         2.07
decoy1_20.pdb         1.96
decoy1_25.pdb         1.93
decoy1_36.pdb         1.98
decoy1_48.pdb         1.97
decoy1_3.pdb          1.94
decoy1_19.pdb         1.97
decoy1_33.pdb         2.03
decoy1_35.pdb         1.92
decoy1_42.pdb         1.92
decoy1_44.pdb         1.09
decoy1_39.pdb         1.23
decoy1_43.pdb         2.02
decoy1_45.pdb         1.95
decoy1_46.pdb         1.82
decoy1_54.pdb         1.86
decoy1_57.pdb         1.95
decoy1_60.pdb         1.72
decoy1_7.pdb          1.89
decoy1_14.pdb         2.00
decoy1_23.pdb         1.95
decoy1_31.pdb         1.94
decoy1_32.pdb         1.97
decoy1_37.pdb         2.03
decoy1_38.pdb         1.85
decoy1_40.pdb         1.77
decoy1_51.pdb         2.00
decoy1_56.pdb         1.88
decoy2_60.pdb         7.28
decoy2_135.pdb        8.93
decoy2_161.pdb        9.61
decoy2_177.pdb        9.78
decoy2_214.pdb       10.03
decoy2_205.pdb       10.06
decoy2_216.pdb       10.06
decoy2_265.pdb       10.94
decoy2_263.pdb       11.40
decoy2_264.pdb       11.34
decoy2_266.pdb       11.34
decoy2_268.pdb       11.90
decoy2_285.pdb       11.02
decoy2_261.pdb       11.33
decoy2_283.pdb       11.08
decoy3_209.pdb       10.16
decoy3_211.pdb       10.21
decoy3_219.pdb       10.32
decoy3_222.pdb       10.44
decoy3_230.pdb       10.37
decoy3_215.pdb       10.44
decoy3_244.pdb       10.18
decoy3_271.pdb       11.06
decoy5_135.pdb        8.91
decoy5_124.pdb        8.75
decoy5_192.pdb        9.92
decoy5_186.pdb        9.21
decoy5_187.pdb        9.86
decoy5_188.pdb        9.97
decoy5_203.pdb       10.05
decoy5_191.pdb        9.70
decoy5_254.pdb       10.05
decoy6_28.pdb         7.55
decoy6_24.pdb         7.58
decoy6_149.pdb        9.93
decoy6_189.pdb       10.66
decoy6_208.pdb        9.98
decoy6_175.pdb       10.54
decoy6_200.pdb       10.56
decoy6_180.pdb       10.64
decoy6_249.pdb       11.43
decoy7_2.pdb          3.93
decoy7_13.pdb         3.87
decoy7_77.pdb         4.97
decoy7_31.pdb         4.83
decoy7_58.pdb         4.96
decoy7_101.pdb        5.26
decoy7_115.pdb        5.33
decoy7_227.pdb        7.86
decoy7_218.pdb        7.85
decoy7_226.pdb        7.82
decoy7_242.pdb        7.84
decoy7_224.pdb        7.82
decoy7_228.pdb        7.86
decoy7_241.pdb        7.86
decoy7_262.pdb        7.39
decoy7_264.pdb        7.13
decoy9_131.pdb        8.63
decoy9_105.pdb        8.88
decoy9_114.pdb        7.95
decoy9_172.pdb        9.43
decoy9_179.pdb        9.34
decoy9_189.pdb        9.49
decoy9_174.pdb        9.41
decoy9_192.pdb        9.48
decoy10_59.pdb        6.70
decoy10_33.pdb        6.85
decoy10_155.pdb       8.79
decoy10_172.pdb       8.55
decoy10_177.pdb       8.74
decoy10_165.pdb       8.49
decoy10_329.pdb      12.01
decoy11_1.pdb         3.00
decoy11_24.pdb        3.28
decoy11_25.pdb        3.36
decoy11_47.pdb        3.38
decoy11_58.pdb        3.42
decoy11_73.pdb        4.65
decoy11_72.pdb        4.61
decoy11_79.pdb        4.49
decoy11_81.pdb        4.54
decoy11_74.pdb        4.42
decoy11_76.pdb        4.61
decoy11_85.pdb        4.49
decoy11_90.pdb        4.53
decoy11_91.pdb        4.55
decoy11_93.pdb        4.48
decoy11_98.pdb        4.54
decoy11_101.pdb       4.47
decoy11_102.pdb       4.53
decoy11_106.pdb       4.56
decoy11_119.pdb       4.44
decoy11_167.pdb       4.96
decoy11_175.pdb       5.14
decoy12_35.pdb        6.86
decoy12_39.pdb        6.94
decoy12_101.pdb       7.27
decoy12_173.pdb       8.46
decoy12_206.pdb       9.30
decoy12_274.pdb      11.13
decoy12_273.pdb      10.97
decoy12_275.pdb      10.96
decoy13_1.pdb         4.00
decoy13_43.pdb        4.95
decoy13_63.pdb        4.92
decoy13_101.pdb       5.69
decoy13_83.pdb        5.59
decoy13_92.pdb        5.82
decoy13_87.pdb        5.33
decoy13_89.pdb        5.73
decoy13_99.pdb        5.26
decoy13_119.pdb       5.69
decoy13_129.pdb       5.70
decoy13_76.pdb        5.71
decoy13_100.pdb       5.89
decoy13_112.pdb       4.98
decoy13_113.pdb       5.43
decoy13_115.pdb       5.90
decoy13_120.pdb       5.47
decoy13_123.pdb       5.26
decoy13_126.pdb       5.39
decoy13_133.pdb       5.28
decoy13_138.pdb       5.99
decoy13_159.pdb       5.99
decoy13_139.pdb       6.06
decoy14_48.pdb        4.55
decoy14_90.pdb        5.33
decoy14_157.pdb       6.17
decoy14_148.pdb       5.99
decoy14_163.pdb       6.02
decoy14_168.pdb       6.13
decoy14_172.pdb       6.15
decoy14_198.pdb       6.43
decoy14_202.pdb       6.34
decoy15_19.pdb        6.02
decoy15_51.pdb        6.09
decoy15_52.pdb        6.38
decoy15_109.pdb       7.09
decoy15_92.pdb        7.08
decoy15_111.pdb       7.13
decoy15_154.pdb       8.39
decoy15_155.pdb       8.26
decoy15_233.pdb      11.32
decoy16_31.pdb        2.94
decoy16_37.pdb        2.98
decoy16_2.pdb         2.97
decoy16_5.pdb         2.91
decoy16_8.pdb         2.84
decoy16_11.pdb        2.95
decoy16_19.pdb        2.92
decoy16_26.pdb        3.01
decoy16_29.pdb        2.95
decoy16_49.pdb        2.95
decoy16_50.pdb        2.93
decoy16_51.pdb        3.00
decoy16_47.pdb        2.89
decoy16_16.pdb        3.03
decoy16_21.pdb        2.91
decoy16_30.pdb        2.82
decoy16_32.pdb        2.95
decoy16_39.pdb        2.84
decoy16_1.pdb         2.99
decoy16_9.pdb         2.85
decoy16_20.pdb        2.93
decoy16_12.pdb        2.87
decoy16_23.pdb        2.82
decoy16_25.pdb        2.93
decoy16_36.pdb        2.92
decoy16_40.pdb        2.77
decoy16_41.pdb        2.92
decoy16_42.pdb        2.94
decoy16_45.pdb        2.97
decoy16_46.pdb        2.94
decoy16_53.pdb        2.94
decoy16_54.pdb        2.93
decoy16_58.pdb        2.81
decoy16_14.pdb        2.85
decoy16_83.pdb        3.11
decoy16_117.pdb       3.26
decoy16_120.pdb       3.66
decoy16_69.pdb        3.02
decoy16_80.pdb        3.05
decoy16_107.pdb       3.04
decoy16_115.pdb       3.06
decoy16_132.pdb       3.21
