NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.37
decoy1_6.pdb          1.01
decoy1_11.pdb         0.99
decoy1_27.pdb         1.02
decoy1_5.pdb          0.97
decoy1_10.pdb         0.96
decoy1_12.pdb         1.00
decoy1_13.pdb         0.97
decoy1_14.pdb         0.97
decoy1_19.pdb         0.90
decoy1_20.pdb         0.88
decoy1_23.pdb         1.08
decoy1_24.pdb         0.97
decoy1_25.pdb         1.06
decoy1_26.pdb         0.83
decoy1_16.pdb         0.49
decoy1_3.pdb          1.07
decoy1_9.pdb          0.98
decoy1_17.pdb         1.11
decoy1_18.pdb         1.16
decoy1_21.pdb         1.08
decoy1_22.pdb         0.91
decoy1_7.pdb          0.81
decoy1_8.pdb          1.15
decoy1_1.pdb          0.66
decoy1_2.pdb          0.64
decoy1_4.pdb          0.89
decoy1_15.pdb         0.87
decoy2_44.pdb         1.78
decoy2_46.pdb         1.57
decoy2_52.pdb         1.76
decoy2_53.pdb         1.77
decoy2_65.pdb         1.63
decoy2_21.pdb         1.71
decoy2_22.pdb         1.73
decoy2_42.pdb         1.59
decoy2_47.pdb         1.73
decoy4_62.pdb         1.79
decoy4_11.pdb         1.90
decoy4_131.pdb        2.04
decoy5_11.pdb         2.74
decoy5_15.pdb         2.72
decoy5_25.pdb         2.77
decoy5_38.pdb         2.78
decoy5_62.pdb         2.69
decoy5_9.pdb          2.76
decoy5_10.pdb         2.80
decoy5_16.pdb         2.68
decoy5_23.pdb         2.43
decoy5_28.pdb         2.80
decoy5_30.pdb         2.78
decoy5_35.pdb         2.76
decoy5_55.pdb         2.81
decoy5_63.pdb         2.92
decoy5_6.pdb          2.75
decoy5_7.pdb          2.72
decoy5_8.pdb          2.83
decoy5_17.pdb         2.74
decoy5_19.pdb         2.80
decoy5_27.pdb         2.46
decoy5_31.pdb         2.80
decoy5_34.pdb         2.79
decoy5_36.pdb         2.74
decoy5_42.pdb         2.76
decoy5_45.pdb         2.75
decoy6_1.pdb          1.93
decoy6_4.pdb          1.90
decoy6_8.pdb          1.84
decoy6_6.pdb          1.86
decoy6_7.pdb          1.79
decoy6_19.pdb         1.85
decoy6_34.pdb         1.96
decoy6_2.pdb          1.94
decoy6_13.pdb         1.87
decoy6_14.pdb         1.86
decoy6_18.pdb         1.92
decoy6_20.pdb         1.98
decoy6_33.pdb         1.81
decoy6_9.pdb          1.86
decoy6_11.pdb         1.83
decoy6_15.pdb         1.82
decoy6_16.pdb         1.84
decoy6_21.pdb         1.99
decoy6_25.pdb         1.91
decoy6_27.pdb         1.80
decoy6_35.pdb         1.94
decoy6_82.pdb         2.23
decoy6_98.pdb         2.03
decoy6_46.pdb         2.31
decoy6_48.pdb         2.05
decoy6_70.pdb         2.22
decoy6_75.pdb         1.98
decoy8_5.pdb          1.76
decoy8_94.pdb         3.13
decoy8_96.pdb         3.14
decoy11_200.pdb       5.84
decoy11_219.pdb       6.87
decoy11_215.pdb       6.90
decoy11_217.pdb       6.84
decoy11_233.pdb       6.96
decoy11_234.pdb       7.11
decoy11_236.pdb       7.22
decoy11_237.pdb       7.26
decoy11_238.pdb       7.23
decoy13_157.pdb       7.66
decoy13_175.pdb       7.34
decoy13_191.pdb       7.45
decoy13_172.pdb       7.38
decoy13_132.pdb       7.33
decoy13_133.pdb       7.39
decoy13_135.pdb       7.41
decoy13_212.pdb       8.59
decoy13_219.pdb       8.80
decoy13_343.pdb      11.51
decoy14_143.pdb       5.52
decoy15_129.pdb       3.30
decoy15_186.pdb       4.06
decoy15_175.pdb       4.03
decoy15_148.pdb       4.29
decoy15_166.pdb       4.16
decoy15_180.pdb       4.08
decoy15_133.pdb       4.19
decoy15_169.pdb       4.07
decoy15_182.pdb       4.05
decoy15_184.pdb       4.01
decoy15_188.pdb       4.09
decoy17_85.pdb        2.96
decoy17_159.pdb       4.13
decoy19_138.pdb       4.91
decoy20_4.pdb         2.95
decoy20_155.pdb       4.54
decoy20_138.pdb       4.56
decoy20_149.pdb       4.62
decoy20_151.pdb       4.65
decoy20_154.pdb       4.70
decoy20_141.pdb       4.51
decoy22_19.pdb        2.96
decoy22_76.pdb        3.56
decoy22_86.pdb        2.91
decoy22_109.pdb       2.93
decoy22_135.pdb       4.04
decoy22_133.pdb       4.00
decoy22_134.pdb       4.00
decoy22_137.pdb       4.07
decoy23_221.pdb       6.20
decoy24_131.pdb       3.30
decoy25_107.pdb       3.10
decoy25_123.pdb       3.06
decoy25_125.pdb       3.03
decoy25_139.pdb       6.39
decoy25_146.pdb       6.11
decoy25_147.pdb       6.02
decoy25_151.pdb       6.16
decoy25_152.pdb       6.16
decoy25_154.pdb       6.12
decoy27_257.pdb       5.94
decoy28_200.pdb       5.51
decoy28_202.pdb       5.44
decoy29_133.pdb       4.13
decoy30_109.pdb       3.15
decoy31_150.pdb       4.88
decoy31_155.pdb       4.77
decoy31_160.pdb       4.75
decoy31_161.pdb       4.81
decoy31_152.pdb       4.89
decoy32_60.pdb        3.81
decoy32_25.pdb        3.67
decoy32_26.pdb        3.46
decoy32_30.pdb        3.55
decoy32_35.pdb        3.67
decoy32_44.pdb        3.49
decoy32_71.pdb        3.82
decoy33_15.pdb        7.66
decoy33_26.pdb        8.86
decoy33_25.pdb        8.86
decoy33_37.pdb        9.87
decoy33_41.pdb        9.93
decoy33_78.pdb        9.98
decoy33_48.pdb        9.90
decoy33_50.pdb        9.85
decoy33_52.pdb        9.99
decoy33_58.pdb        9.96
decoy33_46.pdb        9.96
decoy33_67.pdb        9.53
decoy33_55.pdb        9.96
decoy33_56.pdb        9.46
decoy33_65.pdb        9.54
decoy33_44.pdb        9.89
decoy33_60.pdb        9.86
decoy33_66.pdb        9.56
decoy33_68.pdb        9.61
decoy33_72.pdb        9.98
decoy33_74.pdb        9.91
decoy33_76.pdb        9.99
decoy33_77.pdb       10.01
decoy33_128.pdb      10.96
decoy33_103.pdb      10.03
decoy33_107.pdb      10.78
decoy33_118.pdb      10.95
decoy33_129.pdb      10.97
decoy33_81.pdb       10.51
decoy33_132.pdb      10.93
decoy33_84.pdb       10.83
decoy33_88.pdb       10.99
decoy33_105.pdb      10.91
decoy33_117.pdb      10.04
decoy33_123.pdb      10.00
decoy33_124.pdb      10.72
decoy33_126.pdb      10.07
decoy33_79.pdb       10.26
decoy33_90.pdb       10.30
decoy33_91.pdb       10.69
decoy33_99.pdb       10.91
decoy33_102.pdb      10.86
decoy33_154.pdb      11.00
decoy33_148.pdb      11.05
decoy33_145.pdb      11.13
decoy33_155.pdb      10.98
decoy33_150.pdb      10.98
decoy33_156.pdb      11.02
decoy33_147.pdb      11.01
decoy33_159.pdb      11.33
decoy33_146.pdb      11.02
decoy33_153.pdb      11.00
decoy33_161.pdb      11.10
decoy34_37.pdb        3.58
decoy34_45.pdb        3.64
decoy34_47.pdb        3.73
decoy34_43.pdb        3.69
decoy34_53.pdb        3.60
decoy34_66.pdb        3.35
decoy34_38.pdb        3.70
decoy34_44.pdb        3.62
decoy34_52.pdb        3.67
decoy35_42.pdb        3.32
decoy35_49.pdb        3.35
decoy35_36.pdb        3.25
decoy35_40.pdb        3.45
decoy35_17.pdb        3.30
decoy35_127.pdb       3.97
decoy35_128.pdb       4.86
decoy35_90.pdb        4.34
decoy35_130.pdb       3.96
decoy35_135.pdb       5.60
decoy38_146.pdb      10.34
decoy38_147.pdb      10.42
decoy39_157.pdb       6.09
decoy39_160.pdb       6.22
decoy39_233.pdb       7.09
decoy39_215.pdb       7.97
decoy39_235.pdb       6.99
decoy39_297.pdb      10.06
decoy39_323.pdb      10.29
decoy39_330.pdb      10.12
decoy41_88.pdb        4.72
decoy41_135.pdb       5.84
decoy41_137.pdb       5.62
decoy41_143.pdb       5.98
decoy41_158.pdb       5.61
decoy41_152.pdb       5.95
decoy41_155.pdb       5.02
decoy41_187.pdb       5.85
decoy41_139.pdb       5.84
decoy41_142.pdb       5.01
decoy41_144.pdb       5.40
decoy41_151.pdb       5.29
decoy41_156.pdb       5.71
decoy41_166.pdb       5.38
decoy41_174.pdb       5.82
decoy41_179.pdb       5.83
decoy41_180.pdb       5.69
decoy41_190.pdb       5.83
decoy41_136.pdb       5.76
decoy41_138.pdb       5.95
decoy41_145.pdb       5.52
decoy41_202.pdb       6.05
decoy41_200.pdb       6.00
decoy41_208.pdb       6.00
decoy41_201.pdb       5.96
decoy41_204.pdb       6.02
decoy41_210.pdb      10.04
decoy41_221.pdb      10.54
decoy42_45.pdb        7.79
decoy42_73.pdb        7.84
decoy42_118.pdb       8.41
decoy42_149.pdb       8.42
decoy42_122.pdb       8.36
decoy42_126.pdb       8.43
decoy42_131.pdb       8.27
decoy42_134.pdb       8.37
decoy42_147.pdb       8.35
decoy42_148.pdb       8.37
decoy42_116.pdb       8.34
decoy42_128.pdb       8.41
decoy42_133.pdb       8.36
decoy42_135.pdb       8.35
decoy42_200.pdb       9.71
decoy42_260.pdb      10.62
decoy43_256.pdb       9.84
decoy47_257.pdb       7.69
decoy47_272.pdb       7.66
decoy47_274.pdb       7.49
decoy47_268.pdb       7.29
decoy48_375.pdb       9.84
decoy49_17.pdb        3.87
decoy49_95.pdb        3.98
decoy49_133.pdb       5.23
decoy49_139.pdb       5.31
decoy51_139.pdb       8.81
decoy51_113.pdb       8.82
decoy51_135.pdb       8.80
decoy51_107.pdb       8.86
decoy51_121.pdb       8.75
decoy51_123.pdb       8.74
decoy51_138.pdb       8.74
decoy51_143.pdb       8.69
decoy51_260.pdb      10.43
decoy51_257.pdb      10.44
decoy53_195.pdb       6.10
decoy54_125.pdb       5.27
decoy54_107.pdb       5.38
decoy55_39.pdb        8.95
decoy55_55.pdb        8.90
decoy55_13.pdb        8.36
decoy55_21.pdb        8.45
decoy55_27.pdb        8.61
decoy55_46.pdb        8.47
decoy55_58.pdb        9.98
decoy55_60.pdb        9.97
decoy55_59.pdb        9.95
decoy55_122.pdb       9.02
decoy55_74.pdb        9.24
decoy55_147.pdb      10.04
decoy55_130.pdb      10.02
decoy55_189.pdb      11.19
decoy55_190.pdb      11.06
decoy55_196.pdb      11.60
decoy55_191.pdb      11.19
decoy55_217.pdb      11.28
decoy55_195.pdb      11.19
decoy55_197.pdb      11.51
decoy55_199.pdb      11.74
decoy55_201.pdb      11.75
decoy55_194.pdb      11.09
decoy55_210.pdb      11.02
decoy55_211.pdb      11.32
decoy56_75.pdb        5.82
decoy56_96.pdb        5.11
decoy56_187.pdb       6.17
decoy60_57.pdb        9.55
decoy60_55.pdb        9.46
decoy60_74.pdb        9.71
decoy60_112.pdb      10.09
decoy60_106.pdb      10.14
decoy60_99.pdb       10.60
decoy60_175.pdb      11.28
decoy60_164.pdb      11.09
decoy60_163.pdb      11.15
decoy60_166.pdb      11.46
decoy60_177.pdb      11.34
decoy60_168.pdb      11.16
decoy60_188.pdb      11.94
decoy62_134.pdb       6.62
