NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.41
decoy1_11.pdb         0.85
decoy1_1.pdb          0.68
decoy1_2.pdb          0.56
decoy1_3.pdb          0.81
decoy1_4.pdb          0.70
decoy1_5.pdb          0.81
decoy1_6.pdb          0.82
decoy1_7.pdb          0.74
decoy1_8.pdb          0.84
decoy1_9.pdb          0.81
decoy1_14.pdb         0.93
decoy1_15.pdb         0.95
decoy1_16.pdb         0.92
decoy1_17.pdb         0.81
decoy1_10.pdb         0.89
decoy1_12.pdb         0.92
decoy1_13.pdb         0.86
decoy1_34.pdb         1.75
decoy1_24.pdb         1.53
decoy1_25.pdb         1.50
decoy1_28.pdb         1.56
decoy1_32.pdb         1.48
decoy1_33.pdb         1.82
decoy1_38.pdb         1.54
decoy1_39.pdb         1.53
decoy1_46.pdb         1.47
decoy1_49.pdb         1.20
decoy1_53.pdb         0.99
decoy1_60.pdb         1.30
decoy1_64.pdb         1.56
decoy1_74.pdb         1.36
decoy1_81.pdb         1.39
decoy1_43.pdb         1.22
decoy1_18.pdb         1.54
decoy1_19.pdb         1.59
decoy1_21.pdb         1.81
decoy1_22.pdb         1.35
decoy1_23.pdb         1.61
decoy1_29.pdb         1.87
decoy1_37.pdb         1.27
decoy1_56.pdb         1.26
decoy1_59.pdb         1.84
decoy1_61.pdb         1.78
decoy1_65.pdb         1.81
decoy1_84.pdb         2.49
decoy1_85.pdb         2.44
decoy1_125.pdb        2.00
decoy1_130.pdb        2.43
decoy1_97.pdb         2.21
decoy1_131.pdb        2.22
decoy1_135.pdb        2.17
decoy2_28.pdb         1.94
decoy2_42.pdb         1.85
decoy2_50.pdb         1.63
decoy2_25.pdb         1.58
decoy2_16.pdb         1.63
decoy2_17.pdb         1.71
decoy2_19.pdb         1.72
decoy2_101.pdb        2.52
decoy2_118.pdb        2.77
decoy2_69.pdb         2.56
decoy2_75.pdb         2.68
decoy2_84.pdb         2.40
decoy2_67.pdb         2.77
decoy2_70.pdb         2.65
decoy2_112.pdb        2.48
decoy2_124.pdb        2.76
decoy2_73.pdb         2.22
decoy2_77.pdb         2.83
decoy2_78.pdb         2.88
decoy2_85.pdb         2.71
decoy2_90.pdb         2.83
decoy2_97.pdb         2.30
decoy2_111.pdb        2.61
decoy2_121.pdb        2.15
decoy2_133.pdb        2.94
decoy3_196.pdb       11.26
decoy3_202.pdb       11.01
decoy3_216.pdb       11.16
decoy3_219.pdb       11.19
decoy3_190.pdb       11.45
decoy3_212.pdb       11.38
decoy4_35.pdb         2.83
decoy5_95.pdb         4.07
decoy6_101.pdb        4.21
decoy8_107.pdb        4.06
decoy8_81.pdb         4.56
decoy8_228.pdb        6.07
decoy9_128.pdb        4.57
decoy11_20.pdb        3.00
decoy11_25.pdb        3.03
decoy11_2.pdb         2.94
decoy11_37.pdb        2.98
decoy11_162.pdb       4.79
decoy11_156.pdb       4.10
decoy11_114.pdb       4.97
decoy11_213.pdb       5.30
decoy11_255.pdb       6.05
decoy12_130.pdb       9.01
decoy12_140.pdb       8.57
decoy12_100.pdb       8.61
decoy12_102.pdb       8.03
decoy12_107.pdb       8.22
decoy12_142.pdb       8.21
decoy12_166.pdb       9.09
decoy12_180.pdb       9.20
decoy12_159.pdb       8.96
decoy12_157.pdb       9.88
decoy12_171.pdb       9.82
decoy12_160.pdb       9.05
decoy12_228.pdb      10.35
decoy12_221.pdb      10.39
decoy12_235.pdb      10.77
decoy12_222.pdb      10.15
decoy12_236.pdb      10.68
decoy12_237.pdb      10.71
decoy12_266.pdb      11.21
decoy12_267.pdb      10.93
decoy13_123.pdb       4.25
decoy13_100.pdb       4.25
decoy13_69.pdb        4.21
decoy13_88.pdb        4.22
decoy13_179.pdb       5.86
decoy13_195.pdb       6.13
decoy13_210.pdb       5.91
decoy13_194.pdb       5.98
decoy13_199.pdb       6.04
decoy13_209.pdb       6.17
decoy14_10.pdb        2.72
decoy14_1.pdb         2.92
decoy14_4.pdb         2.95
decoy14_6.pdb         3.05
decoy14_7.pdb         2.93
decoy14_9.pdb         2.80
decoy14_43.pdb        3.19
decoy14_85.pdb        3.89
decoy14_50.pdb        3.58
decoy14_28.pdb        3.71
decoy14_148.pdb       4.08
decoy15_29.pdb        3.98
decoy15_100.pdb       4.04
decoy15_161.pdb       4.95
decoy16_65.pdb        3.46
decoy16_5.pdb         3.52
decoy18_7.pdb         3.96
decoy18_14.pdb        3.64
decoy18_51.pdb        3.99
decoy18_19.pdb        3.83
decoy18_25.pdb        3.71
decoy18_34.pdb        3.75
decoy18_48.pdb        3.84
decoy18_59.pdb        3.88
decoy18_114.pdb       4.16
decoy18_84.pdb        4.01
decoy18_95.pdb        4.01
decoy18_126.pdb       4.03
decoy18_131.pdb       4.39
decoy19_59.pdb        3.57
decoy19_31.pdb        3.60
decoy19_66.pdb        3.73
decoy19_43.pdb        3.67
decoy19_19.pdb        3.73
decoy19_30.pdb        3.61
decoy19_44.pdb        3.72
decoy19_3.pdb         3.89
decoy19_33.pdb        3.52
decoy19_35.pdb        3.50
decoy19_36.pdb        3.63
decoy19_40.pdb        3.68
decoy19_47.pdb        3.64
decoy19_17.pdb        3.91
decoy19_20.pdb        3.54
decoy19_50.pdb        3.68
decoy19_57.pdb        3.60
decoy19_29.pdb        3.84
decoy19_37.pdb        3.70
decoy20_284.pdb      11.96
decoy20_269.pdb      12.05
decoy21_71.pdb        4.58
decoy21_72.pdb        4.56
decoy21_75.pdb        4.59
decoy21_76.pdb        4.71
decoy21_82.pdb        4.68
decoy21_144.pdb       5.13
decoy21_155.pdb       5.17
decoy21_177.pdb       5.05
decoy21_146.pdb       5.23
decoy21_147.pdb       5.13
decoy21_156.pdb       5.25
decoy21_163.pdb       4.98
decoy21_169.pdb       5.23
decoy21_196.pdb       5.17
decoy21_159.pdb       5.04
decoy21_170.pdb       5.19
decoy21_189.pdb       5.18
decoy23_92.pdb        4.34
decoy25_69.pdb        4.62
decoy25_90.pdb        4.49
decoy25_80.pdb        4.37
decoy25_68.pdb        4.43
decoy25_71.pdb        4.44
decoy25_104.pdb       4.44
decoy25_113.pdb       4.63
decoy25_122.pdb       4.59
decoy25_150.pdb       5.43
decoy25_159.pdb       5.25
decoy25_147.pdb       5.33
decoy25_157.pdb       5.33
decoy25_143.pdb       5.37
decoy25_144.pdb       5.21
decoy25_167.pdb       5.46
decoy25_179.pdb       5.57
decoy25_191.pdb       5.08
decoy25_196.pdb       5.16
decoy25_217.pdb       6.27
decoy25_203.pdb       6.42
decoy25_206.pdb       6.43
decoy25_210.pdb       6.37
decoy25_211.pdb       6.25
decoy25_220.pdb       6.50
decoy25_221.pdb       6.30
decoy25_225.pdb       6.35
decoy25_267.pdb       7.36
decoy25_275.pdb       7.27
decoy25_279.pdb       7.16
decoy25_284.pdb       6.97
decoy25_285.pdb       7.40
decoy25_289.pdb       7.40
decoy25_295.pdb       7.07
decoy25_269.pdb       7.67
decoy25_273.pdb       7.48
decoy25_283.pdb       7.27
decoy25_300.pdb       7.96
decoy25_301.pdb       7.98
decoy25_303.pdb       7.61
decoy25_305.pdb       8.34
decoy26_94.pdb        6.58
decoy26_214.pdb       9.89
decoy26_216.pdb       9.75
decoy26_231.pdb       9.71
decoy26_221.pdb       9.99
decoy26_222.pdb       9.96
decoy26_212.pdb       9.74
decoy26_218.pdb       9.76
decoy26_223.pdb       9.95
decoy26_227.pdb       9.27
decoy26_235.pdb       9.07
decoy26_237.pdb       9.96
decoy26_278.pdb      10.47
decoy26_288.pdb      10.50
decoy26_285.pdb      10.62
decoy26_274.pdb      11.10
decoy26_294.pdb       9.99
decoy26_324.pdb      10.11
decoy26_284.pdb      10.88
decoy26_298.pdb      10.55
decoy26_307.pdb      10.88
decoy26_312.pdb      10.15
decoy26_342.pdb      11.17
decoy26_341.pdb      11.12
decoy26_340.pdb      11.21
decoy26_343.pdb      11.10
decoy26_344.pdb      12.02
decoy31_207.pdb       8.43
decoy33_14.pdb        4.90
decoy33_125.pdb       5.15
decoy33_79.pdb        5.12
decoy33_130.pdb       5.15
decoy35_58.pdb        4.85
decoy35_73.pdb        5.30
decoy35_76.pdb        5.32
decoy35_74.pdb        5.41
decoy35_85.pdb        5.27
decoy35_67.pdb        5.23
decoy35_82.pdb        5.17
decoy35_183.pdb       5.98
decoy35_134.pdb       6.13
decoy35_190.pdb       5.97
decoy35_141.pdb       6.07
decoy35_142.pdb       6.05
decoy35_170.pdb       6.05
decoy37_21.pdb        6.42
decoy37_42.pdb        6.46
decoy37_46.pdb        6.32
decoy37_51.pdb        6.20
decoy37_31.pdb        6.48
decoy37_80.pdb        6.29
decoy37_120.pdb       8.06
decoy37_109.pdb       7.94
decoy37_105.pdb       7.96
decoy37_151.pdb       8.15
decoy37_147.pdb       8.08
decoy37_153.pdb       8.03
decoy37_154.pdb       8.09
decoy37_175.pdb      10.50
decoy38_94.pdb        7.53
decoy38_79.pdb        7.48
decoy38_83.pdb        7.53
decoy38_122.pdb       7.34
decoy38_95.pdb        7.36
decoy38_74.pdb        7.88
decoy38_82.pdb        7.85
decoy38_84.pdb        7.88
decoy38_93.pdb        7.98
decoy38_98.pdb        7.91
decoy38_131.pdb       7.46
decoy38_67.pdb        7.83
decoy38_69.pdb        7.85
decoy38_134.pdb       8.14
decoy38_168.pdb       8.86
decoy38_150.pdb       8.99
decoy38_137.pdb       8.21
decoy38_147.pdb       8.22
decoy38_152.pdb       9.02
decoy38_163.pdb       9.12
decoy38_133.pdb       8.99
decoy38_135.pdb       7.97
decoy38_157.pdb       8.10
decoy38_159.pdb       8.87
decoy38_162.pdb       8.94
decoy38_164.pdb       8.15
decoy38_180.pdb       8.09
decoy38_143.pdb       8.90
decoy38_158.pdb       8.98
decoy38_166.pdb       8.17
decoy38_136.pdb       8.89
decoy38_144.pdb       8.84
decoy38_209.pdb       9.14
decoy38_222.pdb       9.10
decoy38_202.pdb       9.78
decoy38_238.pdb       9.10
decoy38_252.pdb       9.75
decoy38_204.pdb       9.92
decoy38_206.pdb       9.83
decoy38_212.pdb       9.72
decoy38_213.pdb       9.64
decoy38_225.pdb       9.67
decoy38_231.pdb       9.16
decoy38_232.pdb       9.72
decoy38_254.pdb       9.30
decoy38_203.pdb       9.61
decoy38_219.pdb       9.67
decoy38_226.pdb       9.84
decoy38_236.pdb       9.11
decoy38_199.pdb       9.17
decoy38_265.pdb      10.52
decoy38_298.pdb      10.98
decoy38_268.pdb      10.77
decoy38_264.pdb      10.70
decoy38_272.pdb      10.01
decoy38_292.pdb      10.65
decoy38_266.pdb      10.79
decoy38_269.pdb      10.72
decoy38_284.pdb      10.88
decoy38_285.pdb      10.84
decoy38_287.pdb      10.96
decoy38_308.pdb      11.76
decoy38_309.pdb      11.84
decoy38_310.pdb      11.83
decoy38_312.pdb      11.04
decoy38_314.pdb      10.96
decoy38_319.pdb      11.05
decoy38_318.pdb      11.04
decoy38_322.pdb      11.17
decoy38_316.pdb      10.99
decoy38_321.pdb      11.70
decoy38_324.pdb      11.02
decoy38_329.pdb      11.08
decoy38_328.pdb      11.06
decoy40_238.pdb      11.22
decoy42_57.pdb       10.57
decoy42_56.pdb       10.54
decoy42_54.pdb       10.68
decoy42_162.pdb      11.88
decoy42_129.pdb      11.19
decoy42_131.pdb      11.08
decoy42_134.pdb      11.13
decoy42_146.pdb      11.05
decoy44_163.pdb       8.44
decoy44_217.pdb      10.69
decoy47_78.pdb        6.53
decoy47_87.pdb        6.67
decoy47_84.pdb        6.69
decoy47_85.pdb        6.54
decoy47_97.pdb        6.70
decoy47_99.pdb        6.47
decoy47_105.pdb       6.54
decoy47_153.pdb       7.29
decoy47_154.pdb       7.47
