NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.11
decoy1_2.pdb          0.96
decoy1_10.pdb         0.81
decoy1_20.pdb         0.89
decoy1_9.pdb          0.96
decoy1_15.pdb         0.84
decoy1_19.pdb         0.79
decoy1_24.pdb         0.68
decoy1_7.pdb          0.67
decoy1_11.pdb         0.89
decoy1_1.pdb          0.86
decoy1_17.pdb         0.67
decoy1_18.pdb         0.58
decoy1_30.pdb         1.00
decoy1_35.pdb         1.09
decoy1_3.pdb          1.01
decoy1_14.pdb         0.91
decoy1_29.pdb         0.88
decoy1_4.pdb          0.98
decoy1_5.pdb          0.97
decoy1_8.pdb          0.88
decoy1_12.pdb         0.91
decoy1_16.pdb         1.10
decoy1_23.pdb         0.85
decoy1_6.pdb          0.93
decoy1_13.pdb         0.90
decoy1_22.pdb         0.84
decoy1_25.pdb         0.73
decoy1_26.pdb         0.95
decoy1_32.pdb         0.96
decoy1_33.pdb         0.88
decoy1_34.pdb         0.85
decoy1_37.pdb         0.88
decoy1_38.pdb         0.79
decoy1_78.pdb         0.93
decoy1_104.pdb        0.98
decoy1_59.pdb         1.02
decoy1_62.pdb         0.97
decoy1_64.pdb         1.13
decoy1_87.pdb         1.03
decoy1_119.pdb        2.10
decoy3_53.pdb         1.92
decoy3_31.pdb         1.76
decoy4_21.pdb         1.82
decoy4_64.pdb         1.71
decoy4_44.pdb         1.52
decoy4_2.pdb          1.42
decoy4_9.pdb          1.60
decoy4_106.pdb        2.09
decoy4_82.pdb         2.09
decoy5_61.pdb         1.56
decoy5_187.pdb        3.89
decoy6_116.pdb        2.21
decoy9_7.pdb          1.73
decoy9_9.pdb          1.78
decoy9_10.pdb         1.71
decoy9_15.pdb         1.79
decoy9_24.pdb         1.74
decoy9_35.pdb         1.75
decoy9_36.pdb         1.75
decoy9_38.pdb         1.75
decoy10_41.pdb        1.78
decoy10_10.pdb        1.84
decoy10_17.pdb        1.76
decoy10_28.pdb        1.92
decoy10_35.pdb        1.87
decoy10_45.pdb        1.76
decoy10_61.pdb        1.41
decoy10_66.pdb        1.68
decoy10_130.pdb       2.00
decoy10_136.pdb       3.03
decoy10_137.pdb       3.28
decoy10_148.pdb       3.29
decoy10_138.pdb       3.15
decoy10_133.pdb       3.54
decoy10_157.pdb       3.63
decoy10_215.pdb       4.82
decoy11_64.pdb        1.84
decoy11_6.pdb         1.91
decoy11_93.pdb        2.11
decoy11_75.pdb        2.13
decoy11_130.pdb       2.79
decoy11_170.pdb       2.92
decoy11_153.pdb       3.21
decoy11_184.pdb       3.22
decoy12_3.pdb         1.77
decoy13_32.pdb        2.01
decoy13_124.pdb       3.09
decoy14_143.pdb       3.27
decoy16_48.pdb        2.58
decoy16_89.pdb        2.36
decoy16_153.pdb       3.63
decoy16_123.pdb       3.55
decoy16_127.pdb       3.65
decoy16_139.pdb       3.07
decoy16_161.pdb       4.51
decoy16_160.pdb       4.48
decoy17_150.pdb       4.22
decoy17_182.pdb       5.09
decoy17_183.pdb       5.03
decoy17_184.pdb       5.07
decoy17_185.pdb       5.03
decoy17_186.pdb       5.12
decoy17_189.pdb       5.57
decoy17_208.pdb       6.91
decoy17_265.pdb       7.32
decoy17_266.pdb       6.99
decoy17_278.pdb       7.11
decoy17_279.pdb       7.07
decoy17_283.pdb       7.19
decoy18_131.pdb       2.80
decoy18_140.pdb       3.01
decoy18_106.pdb       2.83
decoy18_107.pdb       2.95
decoy18_120.pdb       2.94
decoy21_161.pdb       4.03
decoy23_49.pdb        2.31
decoy25_47.pdb        2.48
decoy28_142.pdb       4.01
decoy28_137.pdb       3.94
decoy28_140.pdb       4.08
decoy29_73.pdb        3.84
decoy29_164.pdb       4.48
decoy29_172.pdb       4.39
decoy29_140.pdb       4.11
decoy29_149.pdb       4.33
decoy29_161.pdb       4.27
decoy29_157.pdb       4.27
decoy29_200.pdb       5.15
decoy29_201.pdb       5.29
decoy29_208.pdb       5.13
decoy29_210.pdb       5.20
decoy29_211.pdb       4.94
decoy29_212.pdb       5.14
decoy29_227.pdb       5.34
decoy30_4.pdb         2.94
decoy30_5.pdb         3.08
decoy30_123.pdb       3.04
decoy30_101.pdb       2.99
decoy30_116.pdb       3.06
decoy30_210.pdb       4.95
decoy31_141.pdb       4.28
decoy31_152.pdb       4.13
decoy31_199.pdb       5.54
decoy31_202.pdb       5.33
decoy31_210.pdb       5.37
decoy31_214.pdb       5.28
decoy31_223.pdb       5.33
decoy31_228.pdb       5.33
decoy31_241.pdb       5.32
decoy31_244.pdb       5.50
decoy31_209.pdb       5.24
decoy31_265.pdb       7.00
decoy31_308.pdb       6.94
decoy31_268.pdb       6.97
decoy31_269.pdb       6.99
decoy31_271.pdb       7.00
decoy31_266.pdb       6.89
decoy31_331.pdb       7.03
decoy31_363.pdb       7.02
decoy31_336.pdb       7.88
decoy31_350.pdb       7.05
decoy31_383.pdb       7.45
decoy31_386.pdb       7.39
decoy31_334.pdb       7.45
decoy31_354.pdb       7.49
decoy31_364.pdb       7.31
decoy31_365.pdb       7.73
decoy31_387.pdb       7.61
decoy31_360.pdb       7.06
decoy31_341.pdb       7.67
decoy31_397.pdb       9.98
decoy32_5.pdb         2.53
decoy32_104.pdb       3.01
decoy32_112.pdb       3.05
decoy33_27.pdb        2.77
decoy33_40.pdb        2.77
decoy33_58.pdb        2.77
decoy33_67.pdb        3.25
decoy33_102.pdb       3.23
decoy34_16.pdb        2.73
decoy34_29.pdb        2.68
decoy34_45.pdb        2.71
decoy34_63.pdb        2.66
decoy34_8.pdb         2.63
decoy34_31.pdb        2.62
decoy34_56.pdb        2.56
decoy34_58.pdb        2.70
decoy36_22.pdb        2.37
decoy36_34.pdb        2.36
decoy36_45.pdb        2.33
decoy38_9.pdb         8.57
decoy38_14.pdb        9.85
decoy38_23.pdb        9.92
decoy38_18.pdb        9.61
decoy38_21.pdb        9.57
decoy38_17.pdb        9.85
decoy38_27.pdb        9.81
decoy38_33.pdb        9.76
decoy38_39.pdb        9.22
decoy38_44.pdb        9.66
decoy38_73.pdb       10.65
decoy38_83.pdb       10.89
decoy38_86.pdb       10.81
decoy38_53.pdb       10.32
decoy38_55.pdb       10.31
decoy38_58.pdb       10.50
decoy38_64.pdb       10.77
decoy38_50.pdb       10.54
