NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.16
decoy1_18.pdb         0.66
decoy1_23.pdb         0.42
decoy1_33.pdb         0.62
decoy1_14.pdb         0.51
decoy1_36.pdb         0.83
decoy1_10.pdb         0.64
decoy1_12.pdb         0.63
decoy1_19.pdb         0.82
decoy1_24.pdb         0.91
decoy1_34.pdb         0.94
decoy1_15.pdb         0.75
decoy1_17.pdb         0.89
decoy1_35.pdb         0.81
decoy1_3.pdb          0.87
decoy1_7.pdb          0.86
decoy1_29.pdb         0.85
decoy1_38.pdb         0.77
decoy1_39.pdb         0.87
decoy1_41.pdb         0.89
decoy1_8.pdb          0.95
decoy1_11.pdb         0.88
decoy1_13.pdb         0.91
decoy1_16.pdb         0.82
decoy1_26.pdb         0.67
decoy1_30.pdb         0.72
decoy1_37.pdb         0.96
decoy1_59.pdb         1.45
decoy1_86.pdb         1.48
decoy1_104.pdb        1.48
decoy1_106.pdb        1.25
decoy1_70.pdb         1.48
decoy1_61.pdb         1.31
decoy1_72.pdb         1.52
decoy1_83.pdb         1.55
decoy1_88.pdb         1.64
decoy1_98.pdb         1.30
decoy1_105.pdb        1.48
decoy1_107.pdb        1.47
decoy1_56.pdb         1.16
decoy1_57.pdb         1.11
decoy1_69.pdb         1.16
decoy1_87.pdb         1.46
decoy1_90.pdb         0.96
decoy1_92.pdb         1.05
decoy1_109.pdb        2.17
decoy1_110.pdb        2.22
decoy1_111.pdb        2.23
decoy1_113.pdb        2.17
decoy1_114.pdb        2.25
decoy1_115.pdb        2.26
decoy1_117.pdb        2.25
decoy1_121.pdb        2.21
decoy1_122.pdb        2.22
decoy2_5.pdb          0.91
decoy2_1.pdb          0.91
decoy2_3.pdb          0.90
decoy2_4.pdb          0.87
decoy2_44.pdb         1.08
decoy2_62.pdb         1.79
decoy2_85.pdb         2.60
decoy2_149.pdb        3.96
decoy2_198.pdb        3.60
decoy2_156.pdb        3.88
decoy2_159.pdb        3.81
decoy2_179.pdb        3.78
decoy2_215.pdb        3.98
decoy2_216.pdb        3.99
decoy3_2.pdb          0.86
decoy3_6.pdb          0.78
decoy3_4.pdb          0.86
decoy3_16.pdb         1.86
decoy3_17.pdb         1.72
decoy3_20.pdb         1.73
decoy3_21.pdb         1.66
decoy3_40.pdb         1.52
decoy3_58.pdb         1.52
decoy3_47.pdb         1.74
decoy3_52.pdb         1.89
decoy3_69.pdb         1.17
decoy3_105.pdb        2.07
decoy3_121.pdb        2.18
decoy3_126.pdb        2.15
decoy3_129.pdb        2.16
decoy3_224.pdb        4.03
decoy4_43.pdb         1.86
decoy4_46.pdb         1.97
decoy4_51.pdb         1.94
decoy4_72.pdb         2.40
decoy5_150.pdb        3.40
decoy5_177.pdb        3.43
decoy5_149.pdb        2.99
decoy5_192.pdb        4.65
decoy5_214.pdb        4.69
decoy6_281.pdb        7.08
decoy6_282.pdb        7.14
decoy7_162.pdb        4.11
decoy7_175.pdb        4.59
decoy7_185.pdb        4.81
decoy7_139.pdb        4.15
decoy7_169.pdb        4.69
decoy7_176.pdb        4.86
decoy7_184.pdb        4.87
decoy7_235.pdb        5.74
decoy7_196.pdb        5.59
decoy7_214.pdb        5.60
decoy7_218.pdb        5.73
decoy7_224.pdb        5.69
decoy7_240.pdb        5.67
decoy7_194.pdb        5.55
decoy7_212.pdb        5.71
decoy7_215.pdb        5.75
decoy7_247.pdb        5.67
decoy7_213.pdb        5.62
