NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.26
decoy1_2.pdb          0.82
decoy1_3.pdb          0.73
decoy1_1.pdb          0.92
decoy1_4.pdb          1.62
decoy1_5.pdb          1.60
decoy1_20.pdb         1.50
decoy1_24.pdb         1.49
decoy1_29.pdb         1.43
decoy1_36.pdb         1.46
decoy1_8.pdb          1.98
decoy1_26.pdb         1.56
decoy1_33.pdb         1.70
decoy1_34.pdb         1.84
decoy1_38.pdb         1.77
decoy1_39.pdb         1.53
decoy1_6.pdb          1.61
decoy1_9.pdb          2.00
decoy1_16.pdb         1.67
decoy1_17.pdb         2.00
decoy1_31.pdb         1.70
decoy1_18.pdb         1.80
decoy1_14.pdb         1.43
decoy1_23.pdb         1.83
decoy1_25.pdb         1.72
decoy1_37.pdb         1.41
decoy1_41.pdb         1.79
decoy1_42.pdb         1.89
decoy1_30.pdb         2.12
decoy1_12.pdb         1.21
decoy1_40.pdb         1.25
decoy1_7.pdb          1.78
decoy1_10.pdb         1.35
decoy1_11.pdb         1.17
decoy1_13.pdb         1.54
decoy1_19.pdb         1.76
decoy1_22.pdb         1.21
decoy1_27.pdb         1.54
decoy1_28.pdb         1.69
decoy1_43.pdb         2.02
decoy1_58.pdb         2.12
decoy1_44.pdb         2.27
decoy1_45.pdb         2.21
decoy1_53.pdb         1.96
decoy1_71.pdb         2.21
decoy1_73.pdb         2.04
decoy1_163.pdb        3.13
decoy2_31.pdb         2.63
decoy2_32.pdb         2.68
decoy2_45.pdb         2.81
decoy2_18.pdb         2.87
decoy2_39.pdb         2.89
decoy2_8.pdb          2.61
decoy2_10.pdb         2.49
decoy2_15.pdb         2.88
decoy2_23.pdb         2.95
decoy2_26.pdb         2.97
decoy2_41.pdb         3.10
decoy2_46.pdb         2.85
decoy2_89.pdb         3.61
decoy2_99.pdb         3.10
decoy2_71.pdb         3.51
decoy2_108.pdb        3.71
decoy2_161.pdb        4.12
decoy2_125.pdb        4.09
decoy2_129.pdb        4.24
decoy2_140.pdb        4.17
decoy2_142.pdb        4.16
decoy2_150.pdb        4.15
decoy2_170.pdb        4.16
decoy2_124.pdb        4.13
decoy4_55.pdb         2.81
decoy4_87.pdb         3.40
decoy4_203.pdb        5.13
decoy5_104.pdb        5.31
decoy5_110.pdb        5.06
decoy5_113.pdb        5.09
decoy6_4.pdb          3.89
decoy6_10.pdb         3.78
decoy6_22.pdb         3.83
decoy6_31.pdb         3.61
decoy6_38.pdb         3.93
decoy6_39.pdb         3.62
decoy6_46.pdb         3.86
decoy6_55.pdb         3.63
decoy6_112.pdb        4.52
decoy6_104.pdb        4.70
decoy6_85.pdb         4.45
decoy6_145.pdb        5.75
decoy6_174.pdb        5.14
decoy6_136.pdb        5.28
decoy6_140.pdb        5.65
decoy6_157.pdb        5.21
decoy6_160.pdb        5.11
decoy6_161.pdb        5.41
decoy6_212.pdb        6.23
decoy6_211.pdb        5.96
decoy6_199.pdb        6.16
decoy6_200.pdb        6.26
decoy6_204.pdb        6.09
decoy6_201.pdb        6.03
decoy7_127.pdb        4.61
decoy7_254.pdb        8.96
decoy7_263.pdb        9.09
decoy7_262.pdb        9.18
decoy7_261.pdb        8.94
decoy8_66.pdb         3.90
decoy8_87.pdb         3.69
decoy8_155.pdb        5.03
decoy9_68.pdb         4.58
decoy9_88.pdb         4.82
decoy9_166.pdb        5.25
decoy9_136.pdb        4.97
decoy10_105.pdb       4.55
decoy10_148.pdb       5.40
decoy10_156.pdb       5.51
decoy10_178.pdb       5.07
decoy10_233.pdb       6.58
decoy12_59.pdb        2.91
decoy12_65.pdb        2.81
decoy12_12.pdb        2.92
decoy12_41.pdb        2.94
decoy12_45.pdb        2.90
decoy12_46.pdb        2.92
decoy12_63.pdb        2.72
decoy12_83.pdb        3.06
decoy12_157.pdb       4.15
decoy12_214.pdb       5.05
decoy16_28.pdb        2.91
decoy16_15.pdb        2.90
decoy17_9.pdb         2.57
decoy17_14.pdb        2.72
decoy17_16.pdb        2.84
decoy18_127.pdb       8.08
decoy18_180.pdb       9.26
decoy18_186.pdb       9.40
decoy18_153.pdb       9.35
decoy18_155.pdb       9.14
decoy18_157.pdb       9.46
decoy18_159.pdb       9.23
decoy18_160.pdb       9.58
decoy18_162.pdb       9.20
decoy18_163.pdb       9.17
decoy18_164.pdb       9.37
decoy18_165.pdb       9.32
decoy18_166.pdb       9.48
decoy18_167.pdb       9.53
decoy18_176.pdb       9.20
decoy18_181.pdb       9.50
decoy18_182.pdb       9.36
decoy18_187.pdb       9.47
decoy18_199.pdb       9.23
decoy18_200.pdb       9.24
decoy18_202.pdb       9.12
decoy18_203.pdb       9.43
decoy18_210.pdb       9.24
decoy18_211.pdb       9.32
decoy18_212.pdb       9.04
decoy18_178.pdb       9.38
decoy18_207.pdb       9.46
decoy18_230.pdb      10.31
decoy19_2.pdb         2.80
decoy19_1.pdb         2.60
decoy19_6.pdb         2.69
decoy19_45.pdb        3.27
decoy19_56.pdb        3.20
decoy19_26.pdb        3.93
decoy19_49.pdb        3.90
decoy19_60.pdb        3.76
decoy19_61.pdb        3.65
decoy19_19.pdb        3.73
decoy19_21.pdb        3.95
decoy19_29.pdb        3.82
decoy19_31.pdb        3.78
decoy19_32.pdb        3.70
decoy19_83.pdb        3.64
decoy19_102.pdb       4.13
decoy19_112.pdb       4.21
decoy19_144.pdb       4.36
decoy19_150.pdb       4.61
decoy19_91.pdb        4.02
decoy19_88.pdb        4.06
decoy19_90.pdb        4.16
decoy19_106.pdb       4.17
decoy21_75.pdb        3.67
decoy21_39.pdb        3.72
decoy21_50.pdb        3.60
decoy21_140.pdb       3.99
decoy21_137.pdb       4.29
decoy21_138.pdb       4.24
decoy22_111.pdb       4.18
decoy22_165.pdb       4.95
decoy26_15.pdb        2.98
decoy26_144.pdb       4.73
decoy26_89.pdb        4.34
decoy26_87.pdb        4.40
decoy27_162.pdb       4.91
decoy27_176.pdb       4.96
decoy27_143.pdb       5.60
decoy27_144.pdb       5.13
decoy27_161.pdb       5.11
decoy27_181.pdb       5.08
decoy28_17.pdb        3.78
decoy28_58.pdb        3.62
decoy28_32.pdb        3.72
decoy28_57.pdb        3.68
decoy28_95.pdb        4.24
decoy28_111.pdb       4.34
decoy28_100.pdb       4.00
decoy28_122.pdb       4.25
decoy28_75.pdb        4.34
decoy28_165.pdb       5.17
decoy28_170.pdb       5.25
decoy28_172.pdb       5.27
decoy28_148.pdb       5.10
decoy28_166.pdb       5.23
decoy28_169.pdb       5.23
decoy28_174.pdb       5.28
decoy28_179.pdb       5.22
decoy28_181.pdb       5.28
decoy28_188.pdb       5.24
decoy28_227.pdb       6.93
decoy28_222.pdb       6.76
decoy28_246.pdb       7.01
decoy28_247.pdb       6.85
decoy28_239.pdb       6.85
decoy28_213.pdb       6.99
decoy28_230.pdb       6.93
decoy28_242.pdb       6.91
decoy28_196.pdb       7.06
decoy28_200.pdb       6.63
decoy28_217.pdb       6.77
decoy28_229.pdb       6.97
decoy28_210.pdb       6.68
decoy28_212.pdb       6.62
decoy28_219.pdb       6.65
decoy28_228.pdb       6.61
decoy28_245.pdb       6.94
decoy28_249.pdb       6.90
decoy28_250.pdb       6.94
decoy28_257.pdb       6.89
decoy28_259.pdb       7.03
decoy28_260.pdb       7.15
decoy28_272.pdb       7.24
decoy28_293.pdb       7.14
decoy28_263.pdb       7.13
decoy28_295.pdb       7.06
decoy28_258.pdb       7.02
decoy28_271.pdb       7.24
decoy28_278.pdb       7.10
decoy28_262.pdb       7.26
decoy28_277.pdb       7.40
decoy28_286.pdb       7.04
decoy28_304.pdb       7.20
decoy28_310.pdb       7.13
decoy28_312.pdb       7.11
decoy28_323.pdb       7.02
decoy28_267.pdb       7.08
decoy28_269.pdb       7.12
decoy28_283.pdb       7.28
decoy28_288.pdb       7.16
decoy28_316.pdb       7.03
decoy28_317.pdb       7.34
decoy28_320.pdb       7.16
decoy29_77.pdb        9.14
decoy31_118.pdb       5.57
decoy31_139.pdb       6.67
decoy31_146.pdb       6.96
decoy31_151.pdb       6.80
decoy31_190.pdb       6.87
decoy31_191.pdb       6.85
decoy31_177.pdb       6.72
decoy31_186.pdb       6.85
decoy31_192.pdb       6.68
decoy31_254.pdb       7.87
decoy31_201.pdb       7.96
decoy31_208.pdb       7.97
decoy31_225.pdb       7.41
decoy31_230.pdb       7.94
decoy31_233.pdb       7.38
decoy31_240.pdb       7.19
decoy31_244.pdb       7.36
decoy31_245.pdb       7.29
decoy31_204.pdb       8.01
decoy31_271.pdb       8.21
decoy31_268.pdb       8.05
decoy31_265.pdb       8.01
decoy31_266.pdb       8.05
decoy31_267.pdb       8.08
decoy32_21.pdb        7.94
decoy32_26.pdb        7.90
decoy32_97.pdb        8.82
decoy32_126.pdb       8.55
decoy32_107.pdb       8.59
decoy32_87.pdb        8.91
decoy32_91.pdb        8.69
decoy32_95.pdb        8.79
decoy32_96.pdb        8.47
decoy32_98.pdb        8.61
decoy32_99.pdb        8.58
decoy32_115.pdb       8.56
decoy32_125.pdb       8.61
decoy32_137.pdb       8.63
decoy32_108.pdb       8.67
decoy32_192.pdb       9.65
decoy34_58.pdb        8.64
decoy36_239.pdb       8.70
decoy37_318.pdb      11.91
decoy37_319.pdb      11.89
decoy38_122.pdb       8.10
decoy39_172.pdb      11.08
decoy40_155.pdb      10.87
decoy40_146.pdb      10.91
decoy40_142.pdb      10.98
decoy41_118.pdb       8.86
decoy41_148.pdb       8.99
decoy41_211.pdb      10.63
decoy41_283.pdb      11.90
decoy41_263.pdb      11.74
decoy41_269.pdb      11.58
decoy41_274.pdb      11.67
decoy41_275.pdb      11.80
decoy41_282.pdb      11.73
decoy41_287.pdb      11.50
decoy41_288.pdb      12.03
decoy41_314.pdb      11.75
decoy41_317.pdb      11.78
decoy41_324.pdb      11.99
decoy41_265.pdb      11.69
decoy41_292.pdb      12.02
decoy41_300.pdb      11.94
decoy41_303.pdb      11.97
decoy41_304.pdb      11.54
decoy41_284.pdb      11.62
decoy41_285.pdb      11.87
