NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.26
decoy1_5.pdb          0.83
decoy1_9.pdb          0.73
decoy1_10.pdb         0.36
decoy1_11.pdb         0.40
decoy1_6.pdb          0.96
decoy1_8.pdb          0.94
decoy1_1.pdb          0.91
decoy1_2.pdb          0.90
decoy1_13.pdb         1.02
decoy1_4.pdb          0.89
decoy1_7.pdb          0.81
decoy1_3.pdb          0.88
decoy1_12.pdb         0.88
decoy1_29.pdb         1.65
decoy1_39.pdb         1.19
decoy1_67.pdb         1.22
decoy1_14.pdb         0.95
decoy1_15.pdb         1.14
decoy1_23.pdb         1.27
decoy1_25.pdb         1.06
decoy1_37.pdb         1.50
decoy1_46.pdb         1.52
decoy1_50.pdb         1.68
decoy1_51.pdb         1.54
decoy1_56.pdb         1.89
decoy1_70.pdb         1.35
decoy1_79.pdb         1.60
decoy1_26.pdb         1.51
decoy1_34.pdb         1.35
decoy1_16.pdb         1.00
decoy1_17.pdb         1.09
decoy1_21.pdb         1.14
decoy1_32.pdb         1.65
decoy1_71.pdb         1.39
decoy1_75.pdb         1.54
decoy1_20.pdb         1.14
decoy1_22.pdb         1.31
decoy1_24.pdb         1.20
decoy1_31.pdb         1.16
decoy1_35.pdb         1.11
decoy1_54.pdb         1.38
decoy1_85.pdb         2.04
decoy1_81.pdb         2.14
decoy1_83.pdb         2.16
decoy3_22.pdb         1.79
decoy4_174.pdb        4.99
decoy6_60.pdb         2.39
decoy6_64.pdb         2.71
decoy6_50.pdb         2.85
decoy6_53.pdb         2.33
decoy7_116.pdb        3.06
decoy7_193.pdb        4.13
decoy7_205.pdb        4.13
decoy7_212.pdb        4.22
decoy7_215.pdb        4.12
decoy7_206.pdb        4.10
decoy7_207.pdb        4.13
decoy8_216.pdb        5.31
decoy8_218.pdb        5.28
decoy8_231.pdb        5.15
decoy8_232.pdb        5.41
decoy8_199.pdb        5.40
decoy8_205.pdb        5.42
decoy8_233.pdb        5.17
decoy8_200.pdb        5.27
decoy10_4.pdb         1.96
decoy10_1.pdb         1.94
decoy10_6.pdb         1.89
decoy10_5.pdb         1.96
decoy10_7.pdb         1.89
decoy10_35.pdb        2.87
decoy10_29.pdb        2.85
decoy10_40.pdb        3.02
decoy10_14.pdb        2.92
decoy10_31.pdb        3.00
decoy10_32.pdb        2.93
decoy10_51.pdb        2.73
decoy10_63.pdb        3.02
decoy10_23.pdb        2.84
decoy10_24.pdb        2.92
decoy10_39.pdb        2.92
decoy10_45.pdb        2.91
decoy10_50.pdb        2.98
decoy10_68.pdb        2.73
decoy10_71.pdb        2.95
decoy10_16.pdb        2.76
decoy10_17.pdb        2.98
decoy10_18.pdb        2.87
decoy10_47.pdb        2.81
decoy10_49.pdb        2.60
decoy10_10.pdb        2.88
decoy10_52.pdb        2.75
decoy10_73.pdb        2.77
decoy10_90.pdb        3.02
decoy10_129.pdb       3.47
decoy10_139.pdb       3.07
decoy10_79.pdb        2.95
decoy10_75.pdb        3.07
decoy10_83.pdb        3.13
decoy10_86.pdb        2.72
decoy10_117.pdb       3.66
decoy10_88.pdb        3.21
decoy10_103.pdb       3.56
decoy10_107.pdb       3.61
decoy10_109.pdb       2.98
decoy10_112.pdb       3.53
decoy10_124.pdb       3.20
decoy10_125.pdb       3.55
decoy10_131.pdb       3.36
decoy10_78.pdb        3.08
decoy10_92.pdb        3.62
decoy10_93.pdb        3.30
decoy10_98.pdb        3.02
decoy10_101.pdb       3.26
decoy10_116.pdb       3.56
decoy10_89.pdb        3.03
decoy10_106.pdb       3.52
decoy10_111.pdb       2.89
decoy10_135.pdb       3.49
decoy10_85.pdb        2.99
decoy10_143.pdb       4.43
decoy10_145.pdb       4.28
decoy10_141.pdb       4.55
decoy10_142.pdb       4.41
decoy10_146.pdb       4.14
decoy12_3.pdb         2.95
decoy12_10.pdb        2.92
decoy12_70.pdb        3.03
decoy12_67.pdb        3.03
decoy12_72.pdb        2.90
decoy12_75.pdb        3.04
decoy12_152.pdb       4.61
decoy17_110.pdb       3.22
decoy19_105.pdb       2.30
decoy19_84.pdb        2.13
decoy19_118.pdb       2.21
decoy19_186.pdb       3.91
decoy19_152.pdb       3.71
decoy19_197.pdb       3.90
decoy22_165.pdb       7.38
decoy22_183.pdb       8.80
decoy23_99.pdb        9.67
decoy23_92.pdb        9.83
decoy23_96.pdb        9.15
decoy23_124.pdb      10.97
decoy23_123.pdb      10.38
decoy25_8.pdb         9.65
decoy25_34.pdb        9.76
decoy25_45.pdb       10.20
decoy25_67.pdb       10.81
decoy25_39.pdb       10.53
decoy25_41.pdb       10.45
decoy25_47.pdb       10.52
decoy26_8.pdb         9.62
decoy26_11.pdb        9.63
decoy26_54.pdb       10.25
decoy26_66.pdb       10.14
decoy27_80.pdb        9.80
decoy27_133.pdb       9.97
decoy28_62.pdb        7.79
decoy28_50.pdb        7.51
decoy28_107.pdb       7.99
decoy29_88.pdb        4.84
decoy29_77.pdb        4.76
decoy29_76.pdb        4.90
decoy29_78.pdb        4.83
decoy29_81.pdb        4.85
decoy29_104.pdb       4.82
decoy29_83.pdb        4.79
decoy29_89.pdb        4.77
decoy29_99.pdb        4.84
decoy29_103.pdb       4.93
decoy29_68.pdb        4.89
decoy29_70.pdb        4.94
decoy29_71.pdb        4.94
decoy29_73.pdb        4.82
decoy29_95.pdb        4.72
decoy29_97.pdb        4.82
decoy29_113.pdb       4.72
decoy29_67.pdb        4.80
decoy29_138.pdb       5.36
decoy29_141.pdb       5.40
decoy29_150.pdb       5.41
decoy29_133.pdb       4.94
decoy29_174.pdb       5.43
decoy29_134.pdb       5.01
decoy29_136.pdb       4.93
decoy29_139.pdb       5.35
decoy29_140.pdb       5.07
decoy29_173.pdb       5.03
decoy29_165.pdb       5.33
decoy29_135.pdb       5.42
decoy30_62.pdb        6.14
decoy30_54.pdb        6.21
decoy30_46.pdb        6.19
decoy30_42.pdb        6.07
decoy30_45.pdb        6.15
decoy30_51.pdb        6.18
decoy30_93.pdb        6.81
decoy30_61.pdb        6.17
decoy30_185.pdb       9.04
decoy30_253.pdb       9.35
decoy30_237.pdb       9.15
decoy30_238.pdb       9.31
decoy30_247.pdb       9.24
decoy31_77.pdb        9.90
decoy31_73.pdb        9.11
decoy31_50.pdb        9.95
decoy31_66.pdb        9.12
decoy31_53.pdb        9.61
decoy31_129.pdb      10.67
decoy31_125.pdb      10.78
decoy31_83.pdb       10.89
decoy31_136.pdb      11.68
decoy31_137.pdb      11.61
decoy31_154.pdb      11.95
decoy31_139.pdb      11.32
decoy31_148.pdb      11.72
decoy31_162.pdb      11.80
decoy31_146.pdb      11.77
decoy31_155.pdb      11.35
decoy31_165.pdb      11.09
decoy31_144.pdb      11.62
decoy31_145.pdb      11.73
decoy31_150.pdb      11.66
decoy31_160.pdb      10.95
decoy32_6.pdb         8.65
decoy32_62.pdb       10.66
decoy32_64.pdb       10.76
decoy32_91.pdb       10.98
decoy32_46.pdb       10.65
decoy32_96.pdb       11.57
decoy32_118.pdb      11.58
decoy32_110.pdb      12.01
decoy32_145.pdb      11.02
decoy33_81.pdb       11.03
decoy33_125.pdb      11.33
decoy34_55.pdb        8.75
decoy34_62.pdb        8.97
decoy34_41.pdb        8.98
decoy34_59.pdb        8.71
decoy34_44.pdb        8.91
decoy34_66.pdb        9.00
decoy34_210.pdb      11.28
decoy34_216.pdb      11.41
decoy36_43.pdb        4.79
decoy36_19.pdb        5.00
decoy36_23.pdb        4.90
decoy36_56.pdb        4.86
decoy36_76.pdb        5.02
decoy36_98.pdb        5.04
decoy36_69.pdb        5.03
decoy36_74.pdb        5.33
decoy36_93.pdb        5.84
decoy36_103.pdb       5.30
decoy36_105.pdb       5.99
decoy36_87.pdb        5.59
decoy36_79.pdb        5.33
decoy36_91.pdb        5.04
decoy36_92.pdb        5.78
decoy36_119.pdb       5.94
decoy36_134.pdb       6.05
decoy37_121.pdb       7.29
decoy37_78.pdb        7.41
decoy37_69.pdb        7.46
decoy38_103.pdb       7.94
decoy38_105.pdb       8.00
decoy38_121.pdb       7.45
decoy38_109.pdb       7.88
decoy38_64.pdb        7.74
decoy38_85.pdb        7.86
decoy38_175.pdb       8.03
decoy38_164.pdb       7.97
decoy38_166.pdb       7.98
decoy38_171.pdb       8.03
decoy38_203.pdb       9.63
decoy38_190.pdb       9.70
decoy38_196.pdb       9.65
decoy38_234.pdb      10.54
decoy38_246.pdb      10.09
decoy38_239.pdb      10.45
decoy38_248.pdb      11.41
decoy38_247.pdb      11.32
decoy38_255.pdb      11.34
decoy38_252.pdb      11.39
decoy39_26.pdb        8.83
decoy39_103.pdb      11.57
decoy39_96.pdb       11.18
decoy39_100.pdb      11.65
decoy40_101.pdb      10.27
decoy41_40.pdb       10.66
decoy42_34.pdb        8.72
decoy42_26.pdb        8.71
decoy42_81.pdb        8.98
decoy43_22.pdb        9.74
decoy44_15.pdb        7.81
decoy44_18.pdb        8.07
decoy44_44.pdb        8.06
decoy44_49.pdb        8.14
decoy44_56.pdb        8.38
decoy44_57.pdb        8.35
decoy46_151.pdb       8.00
decoy46_154.pdb       7.98
decoy46_162.pdb      10.63
decoy48_73.pdb        9.85
decoy50_83.pdb        7.14
decoy51_8.pdb         6.55
decoy51_49.pdb        6.59
decoy51_68.pdb        7.62
decoy52_119.pdb       7.20
decoy54_133.pdb       7.70
decoy54_138.pdb       7.59
decoy54_140.pdb       7.58
decoy55_21.pdb        8.44
decoy55_45.pdb       10.73
decoy56_153.pdb       8.20
decoy56_161.pdb       8.28
decoy56_163.pdb      10.83
decoy58_52.pdb        5.90
decoy58_107.pdb       6.08
decoy58_117.pdb       6.00
decoy58_121.pdb       6.08
decoy58_108.pdb       6.00
decoy58_116.pdb       6.16
decoy58_129.pdb       6.31
decoy58_173.pdb      10.70
decoy59_67.pdb        6.72
decoy60_239.pdb      10.46
decoy61_99.pdb       11.41
decoy61_106.pdb      11.54
decoy61_120.pdb      11.43
decoy63_157.pdb       9.84
decoy64_10.pdb        6.66
decoy64_9.pdb         6.62
