NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.20
decoy1_7.pdb          0.35
decoy1_46.pdb         0.80
decoy1_34.pdb         0.80
decoy1_2.pdb          0.81
decoy1_26.pdb         1.21
decoy1_56.pdb         0.80
decoy1_57.pdb         0.76
decoy1_66.pdb         0.81
decoy1_9.pdb          0.81
decoy1_11.pdb         0.62
decoy1_19.pdb         0.80
decoy1_20.pdb         0.78
decoy1_23.pdb         0.81
decoy1_25.pdb         0.78
decoy1_28.pdb         0.81
decoy1_37.pdb         0.79
decoy1_38.pdb         0.78
decoy1_40.pdb         0.65
decoy1_45.pdb         0.82
decoy1_47.pdb         0.80
decoy1_50.pdb         0.65
decoy1_54.pdb         0.80
decoy1_58.pdb         0.81
decoy1_60.pdb         0.67
decoy1_65.pdb         0.82
decoy1_1.pdb          0.78
decoy1_39.pdb         0.34
decoy1_51.pdb         0.87
decoy1_59.pdb         0.55
decoy1_63.pdb         0.84
decoy1_124.pdb        1.65
decoy1_107.pdb        0.95
decoy1_77.pdb         1.42
decoy1_93.pdb         1.68
decoy1_117.pdb        1.33
decoy1_81.pdb         0.97
decoy1_85.pdb         1.05
decoy1_95.pdb         0.96
decoy1_128.pdb        1.31
decoy2_13.pdb         0.84
decoy2_14.pdb         0.80
decoy2_7.pdb          0.77
decoy2_62.pdb         1.74
decoy2_72.pdb         1.44
decoy2_57.pdb         1.79
decoy2_69.pdb         1.86
decoy2_78.pdb         1.76
decoy2_71.pdb         1.11
decoy2_96.pdb         1.77
decoy2_101.pdb        1.72
decoy2_74.pdb         1.41
decoy2_89.pdb         1.61
decoy2_99.pdb         1.74
decoy2_111.pdb        2.18
decoy2_121.pdb        2.17
decoy2_136.pdb        2.19
decoy2_103.pdb        2.25
decoy2_134.pdb        2.19
decoy2_104.pdb        2.19
decoy2_110.pdb        2.19
decoy2_113.pdb        2.25
decoy2_114.pdb        2.18
decoy2_116.pdb        2.22
decoy2_119.pdb        2.19
decoy2_122.pdb        2.19
decoy2_112.pdb        2.17
decoy2_109.pdb        2.20
decoy2_148.pdb        1.97
decoy3_55.pdb        11.36
decoy3_48.pdb        11.20
decoy4_35.pdb         1.92
decoy4_44.pdb         1.92
decoy4_8.pdb          1.67
decoy4_30.pdb         1.87
decoy4_6.pdb          1.76
decoy4_7.pdb          1.89
decoy4_21.pdb         1.85
decoy4_27.pdb         1.91
decoy4_49.pdb         1.94
decoy4_52.pdb         1.84
decoy4_55.pdb         1.75
decoy4_61.pdb         1.86
decoy5_7.pdb          7.23
decoy5_5.pdb          7.27
decoy5_6.pdb          7.24
decoy5_39.pdb        10.52
decoy5_40.pdb        10.84
decoy5_42.pdb        10.60
decoy5_44.pdb        10.59
decoy5_51.pdb        10.68
decoy5_80.pdb        11.66
