NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.41
decoy1_3.pdb          0.96
decoy1_5.pdb          0.78
decoy1_6.pdb          0.88
decoy1_1.pdb          0.96
decoy1_8.pdb          1.01
decoy1_2.pdb          0.86
decoy1_4.pdb          0.94
decoy1_7.pdb          0.78
decoy1_50.pdb         1.81
decoy1_25.pdb         1.78
decoy1_42.pdb         1.86
decoy1_46.pdb         1.86
decoy1_62.pdb         1.68
decoy1_10.pdb         1.88
decoy1_12.pdb         1.92
decoy1_13.pdb         1.96
decoy1_14.pdb         1.90
decoy1_15.pdb         1.98
decoy1_18.pdb         1.97
decoy1_32.pdb         1.65
decoy1_38.pdb         1.76
decoy1_43.pdb         1.62
decoy1_44.pdb         1.94
decoy1_45.pdb         2.02
decoy1_48.pdb         1.59
decoy1_52.pdb         1.77
decoy1_57.pdb         1.83
decoy1_63.pdb         1.80
decoy1_70.pdb         1.72
decoy1_71.pdb         1.67
decoy1_16.pdb         2.18
decoy1_21.pdb         1.93
decoy1_29.pdb         1.71
decoy1_30.pdb         1.90
decoy1_51.pdb         1.60
decoy1_9.pdb          1.85
decoy1_22.pdb         1.97
decoy1_27.pdb         1.97
decoy1_33.pdb         1.95
decoy1_53.pdb         1.95
decoy1_74.pdb         1.54
decoy1_37.pdb         1.53
decoy1_93.pdb         2.10
decoy1_107.pdb        2.11
decoy1_119.pdb        2.07
decoy1_85.pdb         2.18
decoy1_88.pdb         2.31
decoy1_94.pdb         2.21
decoy1_99.pdb         2.10
decoy1_104.pdb        2.16
decoy1_120.pdb        2.05
decoy1_121.pdb        1.87
decoy1_130.pdb        1.96
decoy1_75.pdb         2.41
decoy1_95.pdb         2.05
decoy1_96.pdb         2.06
decoy1_110.pdb        2.07
decoy1_113.pdb        2.05
decoy1_114.pdb        2.10
decoy1_132.pdb        2.09
decoy2_366.pdb       10.02
decoy3_98.pdb         7.98
decoy3_89.pdb         8.04
decoy3_104.pdb        7.99
decoy3_107.pdb        7.84
decoy3_90.pdb         7.91
decoy3_161.pdb        8.26
decoy3_185.pdb        8.57
decoy3_180.pdb        8.50
decoy3_184.pdb        8.67
decoy3_153.pdb        8.37
decoy3_164.pdb        8.01
decoy3_173.pdb        8.14
decoy3_207.pdb        9.89
decoy3_253.pdb       10.44
decoy3_243.pdb       10.37
decoy3_238.pdb       10.25
decoy3_241.pdb       10.32
decoy3_234.pdb       10.71
decoy3_244.pdb       10.62
decoy3_249.pdb       10.31
decoy3_231.pdb       10.39
decoy3_237.pdb        9.99
decoy3_265.pdb       11.05
decoy3_266.pdb       11.92
decoy4_1.pdb          4.55
decoy4_54.pdb         6.56
decoy4_34.pdb         6.46
decoy4_48.pdb         6.59
decoy4_59.pdb         6.66
decoy4_29.pdb         6.41
decoy4_51.pdb         6.73
decoy4_55.pdb         6.76
decoy4_62.pdb         6.66
decoy4_86.pdb         7.99
decoy4_79.pdb         7.71
decoy4_82.pdb         7.82
decoy4_94.pdb         7.83
decoy4_118.pdb        8.45
decoy4_122.pdb        8.13
decoy4_128.pdb        8.58
decoy4_120.pdb        8.30
decoy4_124.pdb        8.51
decoy4_134.pdb        8.03
decoy4_182.pdb        9.03
decoy4_189.pdb        9.20
decoy4_190.pdb        9.14
decoy4_204.pdb       10.71
decoy4_222.pdb       11.40
decoy4_228.pdb       11.57
decoy4_238.pdb       11.57
decoy4_223.pdb       10.99
decoy4_235.pdb       11.79
decoy4_224.pdb       12.03
decoy4_241.pdb       11.34
decoy4_246.pdb       11.79
decoy4_232.pdb       11.91
decoy5_5.pdb          7.91
decoy5_9.pdb          7.83
decoy5_10.pdb         7.87
decoy5_6.pdb          7.89
decoy5_4.pdb          7.95
decoy5_8.pdb          7.89
decoy5_21.pdb         7.66
decoy5_7.pdb          7.87
decoy5_62.pdb         8.65
decoy5_48.pdb         9.11
decoy5_53.pdb         8.89
decoy5_96.pdb         9.48
decoy5_92.pdb         9.22
decoy5_94.pdb         9.51
decoy5_88.pdb         9.55
decoy5_91.pdb         9.48
decoy5_89.pdb         9.48
decoy5_98.pdb         9.42
decoy5_102.pdb        9.17
decoy5_115.pdb        9.54
decoy5_131.pdb        9.30
decoy5_139.pdb        9.39
decoy5_112.pdb        9.04
decoy5_120.pdb        9.19
decoy5_138.pdb        9.41
decoy5_99.pdb         9.77
decoy5_111.pdb        9.33
decoy5_97.pdb         9.48
decoy5_107.pdb        9.21
decoy5_158.pdb       10.47
decoy5_151.pdb       10.57
decoy5_153.pdb       10.35
decoy5_152.pdb       10.09
decoy5_200.pdb       11.75
decoy5_202.pdb       11.23
decoy5_205.pdb       11.36
decoy5_204.pdb       11.36
decoy5_203.pdb       11.25
decoy5_199.pdb       11.40
decoy6_175.pdb        6.54
decoy8_83.pdb         5.34
decoy8_85.pdb         5.34
decoy8_108.pdb        5.11
decoy10_70.pdb        6.17
decoy10_78.pdb        6.39
decoy10_81.pdb        6.15
decoy10_100.pdb       6.33
decoy10_74.pdb        6.37
decoy10_76.pdb        6.34
decoy10_79.pdb        6.26
decoy10_106.pdb       6.23
decoy10_204.pdb       8.21
decoy11_78.pdb        4.76
decoy11_84.pdb        4.68
decoy11_90.pdb        4.74
decoy12_5.pdb         5.93
decoy12_19.pdb        7.02
decoy12_37.pdb        6.77
decoy12_27.pdb        7.00
decoy12_44.pdb        6.74
decoy12_85.pdb        7.59
decoy12_91.pdb        7.52
decoy12_86.pdb        7.63
decoy12_90.pdb        7.44
decoy12_102.pdb       7.55
decoy12_154.pdb       9.00
decoy12_165.pdb       8.91
decoy12_218.pdb       9.18
decoy12_229.pdb       9.12
decoy12_284.pdb      10.70
decoy13_64.pdb        4.88
decoy13_155.pdb       5.01
decoy13_180.pdb       4.96
decoy13_145.pdb       4.88
decoy13_157.pdb       4.85
decoy13_201.pdb       6.22
decoy13_299.pdb      11.54
decoy13_297.pdb      11.59
decoy13_301.pdb      11.69
decoy13_296.pdb      11.15
decoy13_302.pdb      11.17
decoy13_298.pdb      11.74
decoy14_59.pdb        3.52
decoy14_166.pdb       5.24
decoy14_147.pdb       5.35
decoy14_164.pdb       5.20
decoy16_136.pdb       5.10
decoy16_140.pdb       5.43
decoy16_147.pdb       5.34
decoy17_6.pdb         2.90
decoy17_9.pdb         2.83
decoy17_11.pdb        2.85
decoy17_13.pdb        2.77
decoy17_18.pdb        2.80
decoy17_19.pdb        2.73
decoy17_1.pdb         2.93
decoy17_2.pdb         2.89
decoy17_4.pdb         2.86
decoy17_5.pdb         2.84
decoy17_10.pdb        2.75
decoy17_14.pdb        2.85
decoy17_17.pdb        2.81
decoy17_8.pdb         2.86
decoy17_12.pdb        2.93
decoy17_16.pdb        2.96
decoy17_3.pdb         2.93
decoy17_7.pdb         2.91
decoy19_15.pdb        3.26
decoy21_3.pdb         3.98
decoy21_18.pdb        3.90
decoy21_38.pdb        3.94
decoy21_2.pdb         3.94
decoy21_6.pdb         3.93
decoy21_9.pdb         3.97
decoy21_11.pdb        3.93
decoy21_37.pdb        3.93
decoy21_24.pdb        3.87
decoy21_70.pdb        4.02
decoy21_91.pdb        3.98
decoy21_125.pdb       4.32
decoy21_67.pdb        4.07
decoy21_106.pdb       4.44
decoy21_69.pdb        4.09
decoy21_82.pdb        3.99
decoy21_85.pdb        4.02
decoy21_87.pdb        3.97
decoy21_92.pdb        4.07
decoy21_93.pdb        3.96
decoy21_96.pdb        4.18
decoy24_225.pdb       9.15
decoy25_41.pdb        3.71
decoy25_13.pdb        3.47
decoy25_30.pdb        3.81
decoy25_31.pdb        3.74
decoy25_68.pdb        4.61
decoy25_169.pdb       6.98
decoy27_9.pdb         3.49
decoy27_67.pdb        4.52
decoy27_68.pdb        4.50
decoy27_69.pdb        4.49
decoy27_70.pdb        4.50
decoy27_71.pdb        4.56
decoy27_77.pdb        4.54
decoy28_134.pdb       5.24
decoy28_142.pdb       5.02
decoy29_112.pdb       5.96
decoy29_114.pdb       5.95
decoy29_150.pdb       7.59
decoy29_151.pdb       7.44
decoy29_215.pdb       8.96
decoy29_283.pdb      11.01
decoy29_286.pdb      11.10
decoy29_284.pdb      11.20
decoy30_46.pdb        7.59
decoy30_70.pdb        7.41
decoy30_84.pdb        7.70
decoy30_56.pdb        7.51
decoy30_120.pdb       8.38
decoy30_106.pdb       8.41
decoy30_110.pdb       8.38
decoy30_108.pdb       8.44
decoy30_147.pdb       9.93
decoy30_149.pdb      10.21
decoy30_151.pdb      10.04
decoy30_148.pdb       9.95
decoy30_150.pdb      10.31
decoy31_8.pdb         3.79
decoy31_46.pdb        3.77
decoy31_13.pdb        3.80
decoy31_24.pdb        3.93
decoy31_35.pdb        3.75
decoy31_45.pdb        3.80
decoy31_3.pdb         3.83
decoy31_9.pdb         3.83
decoy31_14.pdb        3.88
decoy31_19.pdb        3.94
decoy31_21.pdb        3.81
decoy31_29.pdb        3.84
decoy31_37.pdb        3.80
decoy31_38.pdb        3.77
decoy31_42.pdb        3.74
decoy31_43.pdb        3.81
decoy31_60.pdb        3.75
decoy31_74.pdb        4.25
decoy31_81.pdb        4.01
decoy31_72.pdb        3.97
decoy31_83.pdb        4.00
decoy31_84.pdb        4.00
decoy31_89.pdb        4.13
decoy31_92.pdb        4.29
decoy31_134.pdb       5.88
decoy31_135.pdb       5.92
decoy31_133.pdb       5.09
decoy31_137.pdb       6.04
decoy31_136.pdb       5.96
decoy31_138.pdb       9.94
decoy31_139.pdb       9.93
decoy31_140.pdb       9.98
decoy32_137.pdb      10.84
decoy32_138.pdb      10.93
decoy32_139.pdb      11.34
decoy32_140.pdb      11.19
decoy32_141.pdb      11.16
decoy33_73.pdb        4.54
decoy37_20.pdb        3.29
decoy37_32.pdb        3.29
decoy37_75.pdb        5.00
decoy37_138.pdb       5.35
decoy37_180.pdb       8.29
decoy38_74.pdb        5.91
decoy38_81.pdb        5.87
decoy38_80.pdb        5.88
decoy39_7.pdb         6.96
decoy39_11.pdb        6.86
decoy39_10.pdb        6.91
decoy39_17.pdb        7.91
decoy39_25.pdb        7.00
decoy39_27.pdb        7.89
decoy39_15.pdb        7.34
decoy39_14.pdb        7.79
decoy39_16.pdb        7.94
decoy39_51.pdb        8.71
decoy39_55.pdb        8.53
decoy39_59.pdb        8.55
decoy39_48.pdb        8.97
decoy39_58.pdb        8.22
decoy39_54.pdb        8.31
decoy39_56.pdb        9.03
decoy39_63.pdb        8.63
decoy39_64.pdb        8.51
decoy39_49.pdb        8.43
decoy39_87.pdb        9.82
decoy39_90.pdb        9.22
decoy39_94.pdb        9.23
decoy39_103.pdb       9.99
decoy39_88.pdb        9.16
decoy39_89.pdb        9.65
decoy39_100.pdb       9.07
decoy39_102.pdb       9.16
decoy39_157.pdb      10.36
decoy39_168.pdb      10.11
decoy39_158.pdb      10.26
decoy39_171.pdb      10.66
decoy39_165.pdb      10.63
decoy39_153.pdb      10.45
decoy39_162.pdb      10.11
decoy39_166.pdb      10.68
decoy39_161.pdb      10.61
decoy40_81.pdb        5.96
decoy40_113.pdb       5.06
decoy40_144.pdb       6.62
decoy40_137.pdb       6.61
decoy43_92.pdb        5.68
decoy43_74.pdb        5.54
decoy43_164.pdb       6.38
decoy43_140.pdb       6.36
decoy44_195.pdb       7.94
decoy45_141.pdb      11.38
decoy45_139.pdb      11.38
decoy45_140.pdb      11.67
decoy45_144.pdb      11.09
decoy45_145.pdb      11.16
decoy46_252.pdb      10.02
decoy46_253.pdb      10.12
decoy47_324.pdb      11.14
decoy48_108.pdb       5.72
decoy48_124.pdb       5.44
decoy49_106.pdb       4.51
decoy49_244.pdb       8.01
decoy50_1.pdb         4.01
decoy50_27.pdb        4.61
decoy50_78.pdb        5.13
