NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.13
decoy1_19.pdb         0.55
decoy1_25.pdb         0.94
decoy1_50.pdb         0.82
decoy1_52.pdb         0.96
decoy1_58.pdb         0.91
decoy1_12.pdb         0.52
decoy1_15.pdb         0.98
decoy1_20.pdb         0.63
decoy1_21.pdb         0.85
decoy1_34.pdb         1.01
decoy1_13.pdb         0.60
decoy1_51.pdb         0.59
decoy1_1.pdb          0.95
decoy1_2.pdb          0.97
decoy1_3.pdb          1.00
decoy1_4.pdb          0.86
decoy1_5.pdb          0.81
decoy1_7.pdb          0.94
decoy1_14.pdb         0.95
decoy1_16.pdb         0.92
decoy1_24.pdb         1.00
decoy1_26.pdb         0.83
decoy1_27.pdb         0.91
decoy1_28.pdb         0.82
decoy1_29.pdb         0.81
decoy1_40.pdb         0.78
decoy1_42.pdb         0.94
decoy1_43.pdb         0.89
decoy1_45.pdb         0.66
decoy1_47.pdb         0.94
decoy1_55.pdb         0.65
decoy1_56.pdb         0.67
decoy1_60.pdb         1.27
decoy1_70.pdb         1.30
decoy1_85.pdb         1.66
decoy1_90.pdb         1.20
decoy2_1.pdb          0.90
decoy2_62.pdb         1.78
decoy2_60.pdb         1.82
decoy2_26.pdb         1.57
decoy2_28.pdb         1.69
decoy2_48.pdb         1.82
decoy2_75.pdb         2.68
decoy2_78.pdb         2.73
decoy2_84.pdb         2.58
decoy2_225.pdb        9.75
decoy2_243.pdb       10.02
decoy3_32.pdb         1.90
decoy3_363.pdb       11.25
decoy3_362.pdb       11.72
decoy3_368.pdb       11.24
decoy3_371.pdb       11.18
decoy3_372.pdb       11.15
decoy3_373.pdb       11.16
decoy3_376.pdb       10.99
decoy4_43.pdb         1.43
decoy4_76.pdb         2.89
decoy4_91.pdb         2.87
decoy4_89.pdb         2.82
decoy4_96.pdb         2.79
decoy4_111.pdb        2.84
decoy4_118.pdb        2.89
decoy4_124.pdb        2.83
decoy5_282.pdb       11.64
decoy5_280.pdb       11.15
decoy5_283.pdb       11.54
decoy5_284.pdb       11.40
decoy6_202.pdb        4.67
decoy6_207.pdb        4.22
decoy6_235.pdb        4.20
decoy6_254.pdb        4.70
decoy7_24.pdb         1.54
decoy7_129.pdb        2.40
decoy8_3.pdb          1.84
decoy8_257.pdb       10.56
decoy8_259.pdb       10.66
decoy10_9.pdb         1.27
decoy12_4.pdb         1.80
decoy12_14.pdb        1.80
decoy12_1.pdb         1.96
decoy12_7.pdb         1.82
decoy12_25.pdb        1.82
decoy12_26.pdb        1.79
decoy12_28.pdb        1.68
decoy12_29.pdb        1.86
decoy12_40.pdb        1.80
decoy12_53.pdb        1.53
decoy12_62.pdb        1.49
decoy12_139.pdb       3.12
decoy12_136.pdb       3.11
decoy12_161.pdb       2.98
decoy13_239.pdb       9.13
decoy13_240.pdb       9.06
decoy13_242.pdb       9.17
decoy13_316.pdb      10.86
decoy13_357.pdb      11.31
decoy14_134.pdb       3.06
decoy15_51.pdb        1.67
decoy16_32.pdb        1.93
decoy16_36.pdb        1.48
decoy16_58.pdb        1.94
decoy16_64.pdb        1.60
decoy16_326.pdb       6.21
decoy16_317.pdb       6.08
decoy17_33.pdb        1.67
decoy17_24.pdb        1.59
decoy17_59.pdb        1.69
decoy17_148.pdb       3.51
decoy21_284.pdb       7.15
decoy21_289.pdb       7.29
decoy21_318.pdb       8.72
decoy21_333.pdb       9.31
decoy21_338.pdb       9.55
decoy22_265.pdb       8.07
decoy24_246.pdb      10.30
decoy24_249.pdb      10.41
decoy25_23.pdb        2.70
decoy26_134.pdb       4.50
decoy26_166.pdb       4.83
decoy26_167.pdb       4.89
decoy26_174.pdb       4.79
decoy27_317.pdb       7.40
decoy27_359.pdb       9.45
decoy27_362.pdb       9.47
decoy27_367.pdb      11.26
decoy27_369.pdb      11.22
decoy27_368.pdb      11.28
decoy27_364.pdb      11.31
decoy27_365.pdb      11.23
decoy27_366.pdb      11.29
decoy28_275.pdb      11.07
decoy30_3.pdb         2.74
decoy30_8.pdb         2.75
decoy30_12.pdb        2.62
decoy30_132.pdb       4.01
decoy30_223.pdb       7.35
