NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.28
decoy1_2.pdb          0.78
decoy1_1.pdb          0.46
decoy1_36.pdb         0.97
decoy1_23.pdb         1.40
decoy3_26.pdb         2.17
decoy3_33.pdb         2.26
decoy3_210.pdb        5.09
decoy3_232.pdb        5.17
decoy3_219.pdb        5.08
decoy3_234.pdb        5.20
decoy3_242.pdb        6.41
decoy3_257.pdb        6.39
decoy3_266.pdb        6.38
decoy3_246.pdb        6.44
decoy3_249.pdb        6.39
decoy3_252.pdb        6.30
decoy3_254.pdb        6.37
decoy3_262.pdb        6.39
decoy3_269.pdb        6.31
decoy3_239.pdb        6.38
decoy3_244.pdb        6.49
decoy3_235.pdb        6.46
decoy3_236.pdb        6.41
decoy3_238.pdb        6.41
decoy3_240.pdb        6.39
decoy3_241.pdb        6.38
decoy3_243.pdb        6.35
decoy3_245.pdb        6.32
decoy3_250.pdb        6.55
decoy3_263.pdb        6.37
decoy3_268.pdb        6.49
decoy4_1.pdb          1.75
decoy4_19.pdb         1.52
decoy4_29.pdb         1.60
decoy4_33.pdb         1.81
decoy4_37.pdb         1.78
decoy4_7.pdb          1.77
decoy4_17.pdb         1.88
decoy4_8.pdb          1.90
decoy4_16.pdb         1.96
decoy4_87.pdb         2.27
decoy4_48.pdb         2.06
decoy4_71.pdb         2.16
decoy4_105.pdb        2.20
decoy4_99.pdb         2.44
decoy4_56.pdb         2.10
decoy4_65.pdb         2.13
decoy4_67.pdb         2.27
decoy4_85.pdb         2.51
decoy4_100.pdb        2.46
decoy5_21.pdb         1.74
decoy5_96.pdb         3.11
decoy6_15.pdb         1.92
decoy6_24.pdb         1.91
decoy6_27.pdb         1.62
decoy6_26.pdb         1.82
decoy6_7.pdb          1.78
decoy6_18.pdb         1.99
decoy6_19.pdb         1.77
decoy6_139.pdb        3.33
decoy6_157.pdb        3.10
decoy6_134.pdb        3.10
decoy6_145.pdb        3.01
decoy6_163.pdb        3.28
decoy7_168.pdb        3.06
decoy7_169.pdb        3.14
decoy7_179.pdb        3.08
decoy7_140.pdb        3.00
decoy7_197.pdb        2.98
decoy8_110.pdb        3.21
decoy8_120.pdb        3.18
decoy9_93.pdb         7.00
decoy9_99.pdb         7.88
decoy9_121.pdb        7.82
decoy9_148.pdb        7.90
decoy9_145.pdb        7.95
decoy9_116.pdb        7.05
decoy9_151.pdb        7.93
decoy9_106.pdb        7.94
decoy9_108.pdb        8.02
decoy9_109.pdb        7.95
decoy9_208.pdb        8.71
decoy9_179.pdb        8.65
decoy9_194.pdb        8.53
decoy9_210.pdb        8.66
decoy9_225.pdb        8.43
decoy9_170.pdb        8.55
decoy9_172.pdb        8.41
decoy9_187.pdb        8.84
decoy9_195.pdb        8.54
decoy9_214.pdb        8.61
decoy9_164.pdb        8.77
decoy9_165.pdb        8.37
decoy9_169.pdb        8.07
decoy9_173.pdb        8.68
decoy9_178.pdb        8.09
decoy9_188.pdb        8.40
decoy9_189.pdb        8.42
decoy9_190.pdb        8.38
decoy9_197.pdb        8.68
decoy10_47.pdb        1.72
decoy10_3.pdb         1.76
decoy10_187.pdb       3.95
decoy10_221.pdb       3.96
decoy10_258.pdb       4.06
decoy10_311.pdb       5.07
decoy10_313.pdb       5.16
decoy11_7.pdb         1.64
decoy12_117.pdb       3.45
decoy13_44.pdb        2.33
decoy13_19.pdb        2.53
decoy13_18.pdb        2.47
decoy13_58.pdb        2.34
decoy13_24.pdb        2.41
decoy13_25.pdb        2.44
decoy13_39.pdb        2.43
decoy13_30.pdb        2.43
decoy15_8.pdb         1.73
decoy15_1.pdb         1.67
decoy15_26.pdb        2.53
decoy17_4.pdb         1.84
decoy17_14.pdb        2.48
decoy17_21.pdb        2.55
decoy17_47.pdb        2.53
decoy17_68.pdb        2.46
decoy18_13.pdb        1.75
decoy18_25.pdb        2.09
decoy18_48.pdb        2.26
decoy18_29.pdb        2.08
decoy18_64.pdb        2.19
decoy19_4.pdb         1.79
decoy19_5.pdb         1.97
decoy19_13.pdb        1.77
decoy19_26.pdb        1.88
decoy19_27.pdb        1.79
decoy19_28.pdb        1.85
decoy19_12.pdb        1.73
decoy19_58.pdb        2.05
decoy19_56.pdb        2.39
decoy19_61.pdb        2.28
decoy19_80.pdb        2.37
decoy19_89.pdb        2.37
decoy19_118.pdb       3.06
decoy19_132.pdb       3.05
decoy19_119.pdb       3.01
decoy21_3.pdb         1.80
decoy21_28.pdb        1.95
decoy21_183.pdb       3.25
decoy21_184.pdb       3.29
decoy21_204.pdb       4.16
decoy24_199.pdb       4.98
decoy24_217.pdb       5.18
decoy24_233.pdb       5.30
decoy24_243.pdb       5.07
decoy24_262.pdb       5.36
decoy25_107.pdb       3.06
decoy25_76.pdb        3.28
decoy25_116.pdb       3.12
decoy25_190.pdb       4.20
decoy25_191.pdb       4.31
decoy25_142.pdb       4.42
decoy25_150.pdb       4.24
decoy25_154.pdb       4.33
decoy25_175.pdb       4.27
decoy25_160.pdb       4.34
decoy25_174.pdb       4.28
decoy28_65.pdb       11.41
decoy28_76.pdb       11.53
decoy28_54.pdb       11.24
decoy28_66.pdb       11.46
decoy29_66.pdb        3.12
decoy30_30.pdb        3.83
decoy30_28.pdb        3.80
decoy30_29.pdb        3.78
decoy30_39.pdb        3.84
decoy30_50.pdb        3.80
decoy30_24.pdb        3.88
decoy30_25.pdb        3.77
decoy30_48.pdb        3.81
decoy30_66.pdb        3.87
decoy30_69.pdb        3.81
decoy30_128.pdb       3.96
decoy30_116.pdb       4.04
decoy30_87.pdb        4.25
decoy30_109.pdb       4.26
decoy30_169.pdb       5.17
decoy30_158.pdb       5.41
decoy30_167.pdb       5.27
decoy30_170.pdb       5.59
decoy30_175.pdb       5.39
decoy30_157.pdb       5.14
decoy30_159.pdb       5.20
decoy30_160.pdb       4.99
decoy30_168.pdb       5.21
decoy30_173.pdb       4.93
decoy30_174.pdb       5.38
decoy30_152.pdb       5.04
decoy30_153.pdb       5.18
decoy30_161.pdb       5.38
decoy30_162.pdb       5.43
decoy30_163.pdb       5.26
decoy30_164.pdb       5.07
decoy30_171.pdb       5.03
decoy32_22.pdb        2.85
decoy32_87.pdb        2.91
decoy32_190.pdb       3.87
decoy34_18.pdb        6.19
decoy34_21.pdb        6.21
decoy34_27.pdb        6.33
decoy34_34.pdb        9.89
decoy34_37.pdb        9.13
decoy34_45.pdb        9.46
decoy34_54.pdb        9.95
decoy34_97.pdb       10.58
decoy34_107.pdb      11.98
decoy34_116.pdb      11.19
decoy34_128.pdb      11.50
decoy34_129.pdb      11.34
decoy34_125.pdb      11.39
decoy34_105.pdb      11.99
decoy34_106.pdb      11.12
decoy34_111.pdb      11.94
decoy38_8.pdb         2.84
decoy38_108.pdb       2.92
decoy38_153.pdb       3.99
decoy38_164.pdb       4.00
decoy38_168.pdb       4.08
decoy38_160.pdb       3.96
decoy38_170.pdb       3.99
decoy38_147.pdb       3.94
decoy38_163.pdb       3.98
decoy39_145.pdb       5.53
decoy39_172.pdb       5.48
decoy39_186.pdb       5.45
decoy39_155.pdb       5.28
decoy39_171.pdb       5.50
decoy39_187.pdb       5.07
decoy39_212.pdb       8.51
decoy39_215.pdb       8.63
decoy39_213.pdb       8.51
decoy39_214.pdb       8.49
decoy39_216.pdb       8.62
