NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.53
decoy1_3.pdb          0.95
decoy1_5.pdb          0.79
decoy1_4.pdb          0.94
decoy1_6.pdb          1.02
decoy1_7.pdb          0.98
decoy1_2.pdb          0.79
decoy1_1.pdb          0.95
decoy1_60.pdb         2.01
decoy1_61.pdb         2.08
decoy1_31.pdb         1.72
decoy1_43.pdb         1.82
decoy1_46.pdb         1.79
decoy1_47.pdb         1.87
decoy1_9.pdb          1.77
decoy1_10.pdb         1.84
decoy1_12.pdb         1.99
decoy1_13.pdb         1.77
decoy1_26.pdb         1.87
decoy1_42.pdb         1.82
decoy1_45.pdb         2.02
decoy1_62.pdb         1.81
decoy1_70.pdb         2.03
decoy1_25.pdb         1.34
decoy1_8.pdb          1.83
decoy1_17.pdb         1.32
decoy1_24.pdb         1.68
decoy1_28.pdb         1.67
decoy1_34.pdb         1.08
decoy1_115.pdb        2.20
decoy1_117.pdb        2.22
decoy1_130.pdb        2.07
decoy2_4.pdb          2.05
decoy2_1.pdb          2.01
decoy3_4.pdb          1.98
decoy3_3.pdb          1.93
decoy3_78.pdb         3.91
decoy3_71.pdb         3.77
decoy3_72.pdb         3.99
decoy3_73.pdb         3.86
decoy3_120.pdb        3.78
decoy3_146.pdb        4.08
decoy3_168.pdb        4.57
decoy3_140.pdb        4.07
decoy3_141.pdb        3.89
decoy3_142.pdb        4.01
decoy3_161.pdb        4.01
decoy3_230.pdb        5.06
decoy3_216.pdb        5.41
decoy3_231.pdb        4.97
decoy3_235.pdb        5.12
decoy3_236.pdb        5.16
decoy4_114.pdb        3.81
decoy4_104.pdb        3.84
decoy4_183.pdb        5.12
decoy4_306.pdb        6.36
decoy4_265.pdb        6.12
decoy4_276.pdb        6.07
decoy4_301.pdb        6.37
decoy4_269.pdb        6.09
decoy4_295.pdb        6.40
decoy4_263.pdb        6.01
decoy5_12.pdb         1.99
decoy5_1.pdb          1.96
decoy5_3.pdb          2.05
decoy5_2.pdb          1.93
decoy5_7.pdb          2.01
decoy5_15.pdb         2.03
decoy5_16.pdb         1.96
decoy5_19.pdb         2.02
decoy5_20.pdb         2.01
decoy5_5.pdb          1.97
decoy5_30.pdb         2.22
decoy5_45.pdb         2.35
decoy5_58.pdb         2.27
decoy6_1.pdb          2.57
decoy6_2.pdb          2.49
decoy8_51.pdb         2.67
decoy8_49.pdb         2.77
decoy8_27.pdb         2.27
decoy9_118.pdb        4.51
decoy11_230.pdb      11.32
decoy11_197.pdb      11.91
decoy11_213.pdb      11.70
decoy11_229.pdb      11.56
decoy14_36.pdb        2.38
decoy14_212.pdb       5.35
decoy14_207.pdb       5.33
decoy15_38.pdb        2.29
decoy15_31.pdb        2.34
decoy15_40.pdb        2.37
decoy15_39.pdb        2.31
decoy15_28.pdb        2.52
decoy15_37.pdb        2.66
decoy15_33.pdb        2.38
decoy15_46.pdb        2.40
decoy16_3.pdb         2.95
decoy16_38.pdb        2.81
decoy16_27.pdb        3.01
decoy16_33.pdb        2.98
decoy16_48.pdb        2.80
decoy16_60.pdb        2.82
decoy16_5.pdb         2.98
decoy16_9.pdb         2.93
decoy16_22.pdb        2.90
decoy16_47.pdb        2.93
decoy16_52.pdb        2.77
decoy16_63.pdb        3.46
decoy16_93.pdb        3.49
decoy16_125.pdb       3.51
decoy16_97.pdb        3.21
decoy16_115.pdb       3.02
decoy16_117.pdb       3.96
decoy16_80.pdb        3.52
decoy16_81.pdb        3.41
decoy16_91.pdb        3.44
decoy16_92.pdb        3.39
decoy16_101.pdb       3.02
decoy16_103.pdb       3.95
decoy17_31.pdb        2.71
decoy17_80.pdb        3.46
decoy17_113.pdb       3.44
decoy18_10.pdb        2.74
decoy18_3.pdb         2.37
decoy18_120.pdb       3.24
decoy19_34.pdb        2.85
decoy19_47.pdb        2.56
decoy19_105.pdb       3.57
decoy19_82.pdb        3.56
decoy19_125.pdb       3.56
decoy20_135.pdb       9.40
decoy21_202.pdb       7.95
decoy21_178.pdb       7.94
decoy21_179.pdb       7.86
decoy21_185.pdb       7.88
decoy21_191.pdb       7.70
decoy21_222.pdb       7.78
decoy21_166.pdb       7.21
decoy21_173.pdb       7.82
decoy21_205.pdb       7.93
decoy21_162.pdb       7.25
decoy21_225.pdb       7.93
decoy21_240.pdb       8.01
decoy21_289.pdb      11.33
decoy22_71.pdb        7.76
decoy22_143.pdb       9.19
decoy25_9.pdb         3.49
decoy25_10.pdb        3.30
decoy25_36.pdb        3.42
decoy25_28.pdb        3.30
decoy25_19.pdb        3.44
decoy25_13.pdb        3.35
decoy25_8.pdb         3.34
decoy25_22.pdb        3.34
decoy25_16.pdb        3.31
decoy25_51.pdb        3.46
decoy25_53.pdb        3.76
decoy25_93.pdb        4.17
decoy25_96.pdb        4.20
decoy25_120.pdb       4.25
decoy25_71.pdb        4.16
decoy25_87.pdb        4.16
decoy25_69.pdb        4.24
decoy29_87.pdb        7.67
decoy29_124.pdb       8.83
decoy30_89.pdb        4.12
decoy30_80.pdb        4.14
decoy30_102.pdb       4.06
decoy30_112.pdb       4.04
decoy30_79.pdb        4.12
decoy30_94.pdb        4.11
decoy30_68.pdb        4.12
decoy30_74.pdb        4.11
decoy30_83.pdb        4.10
decoy30_84.pdb        4.09
decoy30_96.pdb        4.17
decoy30_132.pdb       4.08
decoy30_73.pdb        4.13
decoy30_75.pdb        4.04
decoy30_95.pdb        4.10
decoy30_114.pdb       4.08
decoy33_128.pdb       7.00
decoy35_59.pdb        4.73
decoy35_97.pdb        4.62
decoy35_102.pdb       4.62
decoy35_112.pdb       4.71
decoy35_61.pdb        4.72
decoy35_241.pdb       7.13
decoy35_246.pdb       7.16
decoy35_281.pdb       9.96
decoy35_282.pdb      10.02
decoy35_284.pdb       9.86
decoy38_119.pdb      11.96
decoy39_11.pdb        4.24
decoy39_99.pdb        5.20
decoy39_108.pdb       5.17
decoy39_75.pdb        5.06
decoy39_97.pdb        5.12
decoy39_114.pdb       5.46
decoy39_70.pdb        5.34
decoy39_84.pdb        5.07
decoy39_104.pdb       5.08
decoy39_69.pdb        5.38
decoy39_77.pdb        5.09
decoy39_106.pdb       5.20
decoy39_107.pdb       5.14
decoy39_122.pdb       5.09
decoy39_67.pdb        5.29
decoy39_68.pdb        5.30
decoy39_121.pdb       5.29
decoy39_93.pdb        5.05
decoy39_95.pdb        5.02
decoy39_100.pdb       5.07
decoy39_102.pdb       5.12
decoy39_101.pdb       5.02
decoy39_120.pdb       5.42
decoy39_127.pdb       5.30
decoy39_83.pdb        5.33
decoy39_138.pdb       6.14
decoy39_143.pdb       6.05
decoy39_140.pdb       6.48
decoy39_134.pdb       6.57
decoy39_141.pdb       6.43
decoy39_137.pdb       6.53
decoy39_133.pdb       6.46
decoy40_115.pdb       5.24
decoy40_117.pdb       5.24
decoy40_118.pdb       5.19
decoy41_216.pdb      11.95
decoy41_218.pdb      11.98
decoy41_220.pdb      11.90
decoy42_65.pdb        8.25
decoy42_10.pdb        8.40
decoy42_11.pdb        8.80
decoy42_12.pdb        8.68
decoy42_14.pdb        8.25
decoy42_57.pdb        8.49
decoy42_87.pdb        9.22
decoy42_88.pdb        9.54
decoy42_98.pdb        9.51
decoy42_90.pdb        9.69
decoy43_123.pdb       8.23
decoy44_68.pdb        6.83
decoy44_70.pdb        6.67
decoy44_85.pdb        6.82
decoy44_33.pdb        6.64
decoy44_40.pdb        6.58
decoy44_48.pdb        6.64
decoy44_60.pdb        6.63
decoy44_81.pdb        6.60
decoy44_93.pdb        6.36
decoy44_39.pdb        7.14
decoy44_61.pdb        6.71
decoy44_36.pdb        6.55
decoy44_42.pdb        6.54
decoy44_44.pdb        6.74
decoy44_53.pdb        6.66
decoy44_54.pdb        6.81
decoy44_62.pdb        6.59
decoy44_66.pdb        6.48
decoy44_111.pdb       7.42
decoy44_147.pdb       7.28
decoy44_109.pdb       7.43
decoy45_66.pdb        7.35
decoy45_50.pdb        7.65
decoy45_60.pdb        7.81
decoy45_83.pdb        7.57
decoy45_82.pdb        7.96
decoy45_92.pdb        7.93
decoy45_55.pdb        7.78
decoy45_120.pdb       8.49
decoy45_117.pdb       8.47
decoy45_123.pdb       8.03
decoy45_157.pdb       7.97
decoy45_164.pdb       7.94
decoy46_24.pdb        8.33
decoy46_77.pdb       10.48
decoy47_36.pdb        9.70
decoy47_118.pdb      11.42
decoy48_192.pdb       6.85
decoy49_148.pdb       9.40
decoy49_95.pdb        9.42
decoy49_84.pdb        9.16
decoy49_107.pdb       9.44
decoy49_104.pdb       9.43
decoy49_108.pdb       9.51
decoy49_117.pdb       9.48
decoy49_92.pdb        9.49
decoy49_182.pdb      10.76
decoy49_244.pdb      11.50
decoy49_228.pdb      11.08
decoy49_233.pdb      11.38
decoy49_245.pdb      10.96
decoy49_227.pdb      11.01
decoy50_71.pdb        7.42
decoy50_182.pdb       8.40
decoy50_186.pdb       8.26
decoy51_151.pdb       6.27
decoy52_188.pdb       9.98
decoy52_184.pdb      10.04
decoy52_208.pdb      10.71
decoy55_87.pdb        8.39
decoy55_88.pdb        8.49
decoy55_89.pdb        8.62
decoy55_101.pdb       8.41
decoy55_103.pdb       8.36
decoy55_222.pdb      11.01
decoy55_269.pdb      11.13
decoy55_270.pdb      11.10
decoy55_294.pdb      11.73
decoy56_77.pdb        7.99
decoy56_123.pdb       8.08
decoy56_124.pdb       8.01
decoy56_128.pdb       7.93
decoy56_106.pdb       8.08
decoy56_110.pdb       8.03
decoy56_121.pdb       7.99
decoy56_167.pdb       9.58
decoy56_168.pdb       9.55
decoy56_169.pdb       9.61
decoy57_202.pdb      11.80
decoy58_185.pdb      10.76
decoy59_73.pdb        8.20
decoy59_188.pdb      11.95
decoy60_81.pdb        7.47
decoy60_113.pdb       8.94
decoy60_230.pdb      11.33
decoy60_235.pdb      11.96
decoy60_224.pdb      12.00
decoy60_233.pdb      11.98
decoy60_236.pdb      11.96
decoy60_238.pdb      11.80
decoy60_241.pdb      11.95
decoy61_93.pdb        7.71
decoy61_110.pdb       7.83
decoy61_128.pdb       7.76
decoy61_88.pdb        7.76
decoy61_94.pdb        7.36
decoy61_95.pdb        7.89
decoy61_84.pdb        8.00
decoy61_178.pdb       9.20
decoy61_199.pdb      10.90
decoy62_117.pdb      10.43
decoy62_118.pdb      10.49
decoy62_137.pdb      10.43
decoy62_126.pdb      10.35
decoy62_120.pdb      10.56
decoy62_122.pdb      10.32
decoy62_127.pdb      10.51
decoy62_131.pdb      10.39
decoy62_161.pdb      10.21
decoy63_38.pdb        9.82
decoy63_45.pdb        9.58
decoy63_47.pdb        9.82
decoy63_48.pdb        9.71
decoy63_53.pdb        9.48
decoy63_41.pdb        9.86
decoy63_111.pdb      10.55
decoy63_101.pdb      10.17
decoy63_102.pdb      10.19
decoy63_97.pdb       10.32
decoy63_104.pdb      10.12
decoy63_66.pdb       10.18
decoy63_81.pdb       10.49
decoy63_113.pdb      10.32
decoy63_114.pdb      10.50
decoy63_74.pdb        9.97
decoy63_78.pdb       10.07
decoy63_95.pdb       10.26
decoy63_108.pdb      10.19
decoy63_119.pdb      11.66
decoy63_117.pdb      11.69
decoy63_122.pdb      11.42
decoy63_158.pdb      11.66
decoy63_120.pdb      11.46
decoy63_121.pdb      11.56
decoy63_126.pdb      11.48
decoy64_178.pdb      10.71
decoy64_193.pdb      11.70
decoy64_221.pdb      11.51
decoy65_56.pdb        6.72
decoy65_101.pdb       6.76
decoy65_114.pdb       7.91
decoy65_171.pdb       7.94
decoy65_178.pdb       8.04
decoy65_202.pdb       8.00
decoy65_194.pdb       8.19
decoy65_215.pdb       8.17
decoy65_223.pdb       9.17
decoy66_179.pdb       9.98
decoy66_187.pdb       9.37
decoy66_180.pdb       9.96
decoy66_183.pdb       9.94
decoy66_222.pdb      10.34
decoy66_228.pdb      10.21
decoy66_235.pdb      10.19
decoy66_224.pdb      10.42
decoy67_58.pdb        9.81
decoy67_22.pdb       10.02
decoy67_53.pdb        9.58
