NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.28
decoy1_5.pdb          0.91
decoy1_6.pdb          0.90
decoy1_2.pdb          0.96
decoy1_3.pdb          0.91
decoy1_4.pdb          0.94
decoy1_7.pdb          0.90
decoy1_8.pdb          0.71
decoy1_9.pdb          0.89
decoy1_10.pdb         0.88
decoy1_11.pdb         0.77
decoy1_12.pdb         0.84
decoy1_13.pdb         0.89
decoy1_14.pdb         0.85
decoy1_15.pdb         0.99
decoy1_16.pdb         0.83
decoy1_17.pdb         0.89
decoy1_18.pdb         0.83
decoy1_20.pdb         0.91
decoy1_21.pdb         0.90
decoy1_1.pdb          0.89
decoy1_19.pdb         0.95
decoy1_54.pdb         1.78
decoy1_22.pdb         1.86
decoy1_24.pdb         1.73
decoy1_67.pdb         1.57
decoy1_76.pdb         1.70
decoy1_25.pdb         1.53
decoy1_26.pdb         1.71
decoy1_30.pdb         1.76
decoy1_31.pdb         1.26
decoy1_32.pdb         1.78
decoy1_36.pdb         1.94
decoy1_37.pdb         1.00
decoy1_38.pdb         1.26
decoy1_40.pdb         1.65
decoy1_41.pdb         1.80
decoy1_42.pdb         1.67
decoy1_44.pdb         1.77
decoy1_47.pdb         1.77
decoy1_48.pdb         1.28
decoy1_50.pdb         1.64
decoy1_53.pdb         1.70
decoy1_57.pdb         1.78
decoy1_58.pdb         1.75
decoy1_60.pdb         1.31
decoy1_75.pdb         1.59
decoy1_80.pdb         1.89
decoy1_82.pdb         1.81
decoy1_83.pdb         1.87
decoy1_84.pdb         1.17
decoy1_86.pdb         1.30
decoy1_23.pdb         1.59
decoy1_28.pdb         0.99
decoy1_123.pdb        2.31
decoy1_149.pdb        2.12
decoy1_115.pdb        2.66
decoy1_116.pdb        2.80
decoy1_161.pdb        3.74
decoy1_229.pdb        4.07
decoy2_1.pdb          3.58
decoy2_206.pdb        9.01
decoy5_26.pdb         3.94
decoy6_4.pdb          4.21
decoy7_12.pdb         3.92
decoy7_76.pdb         4.02
decoy7_109.pdb        5.11
decoy7_123.pdb        6.95
decoy7_154.pdb        6.73
decoy7_221.pdb        7.64
decoy7_259.pdb        8.16
decoy10_56.pdb        2.45
decoy10_17.pdb        2.08
decoy10_31.pdb        2.38
decoy10_32.pdb        2.36
decoy10_129.pdb       3.50
decoy10_128.pdb       3.43
decoy10_134.pdb       3.99
decoy10_242.pdb       5.71
decoy10_279.pdb       6.18
decoy10_369.pdb       7.70
decoy10_384.pdb       8.04
decoy11_19.pdb        3.77
decoy11_43.pdb        3.84
decoy11_73.pdb        4.67
decoy11_134.pdb       5.32
decoy11_205.pdb       7.00
decoy12_49.pdb        3.87
decoy12_70.pdb        4.13
decoy12_134.pdb       5.01
decoy12_231.pdb       6.28
decoy12_259.pdb       7.47
decoy12_268.pdb       8.69
decoy13_2.pdb         2.83
decoy13_17.pdb        3.45
decoy13_104.pdb       4.87
decoy14_27.pdb        2.87
decoy14_48.pdb        2.94
decoy14_58.pdb        2.96
decoy14_61.pdb        2.89
decoy14_79.pdb        3.25
decoy14_150.pdb       4.04
decoy14_218.pdb       5.21
decoy14_384.pdb       9.28
decoy15_9.pdb         2.91
decoy15_32.pdb        3.05
decoy15_40.pdb        4.23
decoy15_61.pdb        6.58
decoy15_89.pdb        7.28
decoy15_142.pdb       8.31
decoy15_163.pdb       9.15
decoy16_26.pdb        3.73
decoy16_1.pdb         4.01
decoy16_112.pdb       4.57
decoy16_152.pdb       5.65
decoy16_225.pdb       6.73
decoy16_230.pdb       7.79
decoy16_317.pdb       8.16
decoy17_50.pdb        2.47
decoy17_4.pdb         2.76
decoy17_10.pdb        2.72
decoy17_45.pdb        2.54
decoy17_118.pdb       3.14
decoy17_138.pdb       4.50
decoy17_218.pdb       5.83
decoy17_240.pdb       6.11
decoy17_350.pdb       7.50
decoy18_1.pdb         1.95
decoy18_4.pdb         2.97
decoy18_15.pdb        2.98
decoy18_94.pdb        4.25
decoy18_161.pdb       5.45
decoy18_166.pdb       6.64
decoy18_173.pdb       7.84
decoy18_192.pdb       8.05
decoy19_11.pdb        5.76
decoy19_40.pdb        6.89
decoy19_81.pdb        7.26
decoy19_147.pdb       8.97
decoy19_213.pdb       9.05
decoy20_2.pdb         4.00
decoy20_23.pdb        4.19
decoy20_97.pdb        5.25
decoy20_144.pdb       6.35
decoy20_174.pdb       8.45
decoy21_42.pdb        2.97
decoy21_44.pdb        2.64
decoy21_26.pdb        2.81
decoy21_62.pdb        3.27
decoy21_64.pdb        3.05
decoy21_184.pdb       4.69
decoy21_244.pdb       5.77
decoy21_245.pdb       5.92
decoy21_260.pdb       6.08
decoy21_270.pdb       7.89
decoy21_381.pdb       8.36
decoy22_16.pdb        2.33
decoy22_27.pdb        2.27
decoy22_32.pdb        2.32
decoy22_21.pdb        2.35
decoy22_91.pdb        3.18
decoy22_134.pdb       4.44
decoy22_334.pdb       9.19
decoy22_337.pdb      10.00
decoy23_2.pdb         2.87
decoy23_30.pdb        3.81
decoy23_132.pdb       4.26
decoy24_23.pdb        2.48
decoy24_41.pdb        2.83
decoy24_95.pdb        3.44
decoy24_119.pdb       4.90
decoy24_180.pdb       9.67
decoy25_7.pdb         4.70
decoy25_57.pdb        5.78
decoy25_280.pdb       9.74
decoy26_24.pdb        4.61
decoy26_77.pdb        5.64
decoy26_142.pdb       6.26
decoy26_213.pdb       7.38
decoy26_289.pdb       7.98
decoy27_27.pdb        3.92
decoy27_61.pdb        3.79
decoy27_71.pdb        4.45
decoy27_139.pdb       5.78
decoy27_228.pdb       6.94
decoy27_297.pdb       7.09
decoy27_343.pdb       8.07
decoy28_133.pdb       9.63
decoy28_170.pdb      10.21
decoy29_47.pdb        4.82
decoy29_126.pdb       5.52
decoy29_153.pdb       6.85
decoy29_241.pdb       7.16
decoy29_251.pdb       8.10
decoy30_1.pdb         4.76
decoy30_12.pdb        5.58
decoy31_1.pdb         4.85
decoy31_31.pdb        5.89
decoy31_53.pdb        6.43
decoy31_131.pdb       7.97
decoy31_179.pdb       8.06
decoy32_6.pdb         2.85
decoy32_16.pdb        2.92
decoy32_14.pdb        2.84
decoy32_24.pdb        2.79
decoy32_7.pdb         2.93
decoy32_71.pdb        3.40
decoy32_88.pdb        3.50
decoy32_76.pdb        3.35
decoy32_78.pdb        3.22
decoy32_192.pdb       4.02
decoy32_191.pdb       4.87
decoy32_213.pdb       4.92
decoy32_232.pdb       6.83
decoy32_226.pdb       6.97
decoy32_290.pdb       7.99
decoy32_293.pdb       8.04
decoy32_244.pdb       7.20
decoy32_322.pdb       8.63
decoy32_305.pdb       8.98
decoy32_365.pdb       9.00
decoy32_374.pdb       8.99
decoy33_4.pdb         3.94
decoy33_19.pdb        3.86
decoy33_74.pdb        4.43
decoy33_133.pdb       5.00
decoy34_146.pdb      10.42
decoy34_174.pdb      11.38
decoy34_175.pdb      11.29
decoy35_10.pdb        6.93
decoy35_60.pdb        7.44
decoy35_136.pdb       8.70
decoy35_175.pdb       9.14
decoy35_237.pdb      10.78
decoy36_38.pdb        3.43
decoy37_1.pdb         3.92
decoy38_7.pdb         3.87
decoy38_303.pdb      10.78
decoy38_304.pdb      10.84
decoy38_361.pdb      11.41
decoy38_357.pdb      11.47
decoy38_360.pdb      11.40
decoy38_342.pdb      11.11
