NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.17
decoy1_25.pdb         0.95
decoy1_2.pdb          1.00
decoy1_6.pdb          0.96
decoy1_36.pdb         0.99
decoy1_62.pdb         0.94
decoy1_35.pdb         0.95
decoy1_37.pdb         0.96
decoy1_50.pdb         0.88
decoy1_56.pdb         0.91
decoy1_9.pdb          0.80
decoy1_20.pdb         0.92
decoy1_24.pdb         0.89
decoy1_29.pdb         0.91
decoy1_30.pdb         0.90
decoy1_38.pdb         0.76
decoy1_42.pdb         0.89
decoy1_45.pdb         0.85
decoy1_55.pdb         0.97
decoy1_59.pdb         0.88
decoy1_63.pdb         1.01
decoy1_8.pdb          0.65
decoy1_15.pdb         0.61
decoy1_19.pdb         0.96
decoy1_21.pdb         0.95
decoy1_32.pdb         0.90
decoy1_41.pdb         0.72
decoy1_48.pdb         0.86
decoy1_49.pdb         0.90
decoy1_28.pdb         0.81
decoy1_26.pdb         0.63
decoy1_1.pdb          0.94
decoy1_3.pdb          0.87
decoy1_4.pdb          0.92
decoy1_131.pdb        1.10
decoy1_115.pdb        1.04
decoy1_116.pdb        1.01
decoy1_122.pdb        1.25
decoy1_123.pdb        1.30
decoy1_70.pdb         1.49
decoy1_89.pdb         1.15
decoy1_103.pdb        1.46
decoy1_114.pdb        1.10
decoy1_127.pdb        1.64
decoy1_129.pdb        1.15
decoy1_67.pdb         1.40
decoy1_72.pdb         1.04
decoy1_76.pdb         1.08
decoy1_80.pdb         1.05
decoy1_82.pdb         1.14
decoy1_83.pdb         1.08
decoy1_87.pdb         1.17
decoy1_107.pdb        1.06
decoy1_108.pdb        1.15
decoy1_110.pdb        1.12
decoy1_118.pdb        1.14
decoy1_85.pdb         1.27
decoy1_90.pdb         1.10
decoy1_91.pdb         0.95
decoy1_93.pdb         1.25
decoy1_105.pdb        1.09
decoy1_68.pdb         1.08
decoy1_69.pdb         1.07
decoy1_71.pdb         1.08
decoy1_74.pdb         1.05
decoy1_75.pdb         1.07
decoy1_144.pdb        2.15
decoy1_152.pdb        2.04
decoy1_157.pdb        2.12
decoy1_145.pdb        2.06
decoy1_148.pdb        2.12
decoy1_133.pdb        2.18
decoy1_141.pdb        2.21
decoy1_149.pdb        2.25
decoy1_136.pdb        2.16
decoy1_138.pdb        2.18
decoy1_139.pdb        2.12
decoy1_147.pdb        2.04
decoy1_150.pdb        1.98
decoy1_151.pdb        1.98
decoy1_153.pdb        1.94
decoy1_156.pdb        2.10
decoy1_137.pdb        2.01
decoy1_143.pdb        2.01
decoy1_146.pdb        1.98
decoy1_154.pdb        1.97
decoy1_155.pdb        1.98
decoy1_134.pdb        2.10
decoy1_135.pdb        2.04
decoy1_140.pdb        2.10
decoy1_142.pdb        2.03
decoy2_31.pdb         4.58
decoy2_35.pdb         4.59
decoy2_30.pdb         4.55
decoy2_36.pdb         4.50
decoy2_41.pdb         4.55
decoy2_46.pdb         4.45
decoy2_47.pdb         4.59
decoy2_50.pdb         4.56
decoy2_55.pdb         4.66
decoy2_32.pdb         4.56
decoy2_37.pdb         4.52
decoy2_56.pdb         4.60
decoy3_36.pdb         6.93
decoy3_38.pdb         6.87
decoy3_39.pdb         6.91
decoy3_42.pdb         6.99
decoy3_67.pdb         7.14
decoy3_156.pdb        8.93
decoy3_182.pdb        8.90
decoy3_184.pdb        8.74
decoy3_176.pdb        8.78
decoy3_183.pdb        8.77
decoy4_157.pdb        5.00
decoy4_136.pdb        5.00
decoy4_149.pdb        5.02
decoy5_48.pdb         5.61
decoy5_28.pdb         5.62
decoy5_69.pdb         5.90
decoy5_15.pdb         5.64
decoy5_32.pdb         5.63
decoy5_197.pdb        7.90
decoy5_205.pdb        8.20
decoy5_204.pdb        8.32
decoy5_206.pdb        8.32
decoy5_223.pdb        8.15
decoy5_219.pdb        8.17
decoy5_245.pdb        8.19
decoy5_274.pdb        9.73
decoy5_281.pdb        9.91
decoy5_272.pdb        9.89
decoy5_388.pdb       11.70
decoy5_389.pdb       11.27
decoy5_402.pdb       11.00
decoy5_410.pdb       11.64
decoy5_391.pdb       11.62
decoy5_399.pdb       10.98
decoy5_400.pdb       11.65
decoy5_405.pdb       11.56
decoy5_409.pdb       11.36
decoy7_135.pdb        7.95
decoy7_139.pdb        7.95
decoy7_140.pdb        7.80
decoy7_161.pdb        7.87
decoy8_18.pdb         8.23
decoy9_245.pdb        9.75
decoy9_254.pdb        9.72
decoy10_101.pdb       4.32
decoy10_110.pdb       4.44
decoy11_32.pdb        5.02
decoy11_190.pdb       6.60
decoy11_242.pdb       7.17
decoy11_231.pdb       7.04
decoy11_233.pdb       7.02
decoy11_317.pdb       8.78
decoy11_290.pdb       8.38
decoy11_305.pdb       8.48
decoy11_307.pdb       8.46
decoy11_288.pdb       8.54
decoy13_121.pdb       6.44
decoy14_13.pdb        2.60
decoy14_6.pdb         2.71
decoy14_31.pdb        2.65
decoy14_37.pdb        2.74
decoy14_40.pdb        2.99
decoy14_42.pdb        2.67
decoy14_57.pdb        2.66
decoy14_11.pdb        2.69
decoy14_106.pdb       3.08
decoy14_114.pdb       3.72
decoy14_79.pdb        3.69
decoy14_86.pdb        2.98
decoy14_129.pdb       3.13
decoy14_87.pdb        3.05
decoy14_94.pdb        3.67
decoy14_116.pdb       3.17
decoy14_118.pdb       3.08
decoy14_145.pdb       4.73
decoy14_153.pdb       4.68
decoy14_160.pdb       4.71
decoy18_9.pdb         5.80
decoy18_14.pdb        6.06
decoy18_17.pdb        5.81
decoy18_64.pdb        6.92
decoy18_58.pdb        6.38
decoy18_125.pdb       7.96
decoy18_168.pdb       8.00
decoy18_179.pdb       8.46
decoy20_46.pdb        4.86
decoy20_5.pdb         4.97
decoy20_58.pdb        4.91
decoy20_57.pdb        5.00
decoy22_17.pdb        7.84
decoy23_51.pdb        7.47
decoy23_37.pdb        7.44
decoy23_28.pdb        7.26
decoy23_33.pdb        7.48
decoy23_36.pdb        7.15
decoy23_38.pdb        7.62
decoy23_45.pdb        7.51
decoy23_39.pdb        7.75
decoy23_42.pdb        7.41
decoy23_46.pdb        7.34
decoy23_59.pdb        7.66
decoy23_35.pdb        7.46
decoy23_69.pdb        9.04
decoy23_129.pdb       8.93
decoy23_145.pdb       9.26
decoy23_160.pdb       9.20
decoy23_175.pdb       9.16
decoy23_178.pdb       9.64
decoy23_179.pdb       9.27
decoy23_180.pdb       9.06
