NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.28
decoy1_2.pdb          0.86
decoy1_3.pdb          0.81
decoy1_1.pdb          0.86
decoy1_6.pdb          0.87
decoy1_7.pdb          0.66
decoy1_10.pdb         0.94
decoy1_5.pdb          0.90
decoy1_9.pdb          0.87
decoy1_11.pdb         0.82
decoy1_12.pdb         0.86
decoy1_13.pdb         1.06
decoy1_14.pdb         0.93
decoy1_15.pdb         0.92
decoy1_17.pdb         0.96
decoy1_4.pdb          0.95
decoy1_8.pdb          0.88
decoy1_16.pdb         0.98
decoy1_78.pdb         1.19
decoy1_20.pdb         1.23
decoy1_33.pdb         1.17
decoy1_46.pdb         1.28
decoy1_62.pdb         1.09
decoy1_64.pdb         1.24
decoy1_68.pdb         1.20
decoy1_37.pdb         1.30
decoy1_40.pdb         1.38
decoy1_41.pdb         1.28
decoy1_61.pdb         1.34
decoy1_72.pdb         1.41
decoy1_24.pdb         1.16
decoy1_25.pdb         1.65
decoy1_26.pdb         1.20
decoy1_42.pdb         1.35
decoy1_44.pdb         1.58
decoy1_45.pdb         1.68
decoy1_47.pdb         1.16
decoy1_50.pdb         1.15
decoy1_54.pdb         1.12
decoy1_56.pdb         1.57
decoy1_58.pdb         1.10
decoy1_66.pdb         1.20
decoy1_73.pdb         1.52
decoy1_82.pdb         1.25
decoy1_83.pdb         1.04
decoy1_30.pdb         1.24
decoy1_86.pdb         2.00
decoy1_87.pdb         2.09
decoy1_85.pdb         2.23
decoy1_88.pdb         2.20
decoy2_7.pdb          1.57
decoy2_1.pdb          1.80
decoy2_22.pdb         1.75
decoy2_50.pdb         1.59
decoy2_62.pdb         1.80
decoy2_64.pdb         1.90
decoy2_86.pdb         1.94
decoy2_68.pdb         2.04
decoy2_107.pdb        2.36
decoy2_112.pdb        2.21
decoy2_82.pdb         2.11
decoy2_83.pdb         2.18
decoy2_99.pdb         2.08
decoy2_100.pdb        1.95
decoy2_122.pdb        2.09
decoy2_129.pdb        2.20
decoy2_113.pdb        2.24
decoy2_130.pdb        1.91
decoy2_131.pdb        1.87
decoy2_132.pdb        2.22
decoy2_67.pdb         2.17
decoy2_69.pdb         2.18
decoy2_71.pdb         2.06
decoy2_74.pdb         2.13
decoy2_75.pdb         1.97
decoy2_76.pdb         2.09
decoy2_79.pdb         1.97
decoy2_91.pdb         2.26
decoy2_94.pdb         2.08
decoy2_96.pdb         1.98
decoy2_101.pdb        2.15
decoy2_104.pdb        2.34
decoy2_106.pdb        2.18
decoy2_115.pdb        2.08
decoy2_117.pdb        2.15
decoy2_123.pdb        1.92
decoy2_80.pdb         2.20
decoy2_198.pdb        3.67
decoy2_146.pdb        3.54
decoy2_147.pdb        3.70
decoy2_151.pdb        3.60
decoy2_161.pdb        3.59
decoy2_187.pdb        3.60
decoy2_196.pdb        3.54
decoy2_253.pdb        4.32
decoy2_199.pdb        4.61
decoy2_202.pdb        4.73
decoy2_204.pdb        4.71
decoy5_2.pdb          7.72
decoy5_7.pdb          8.10
decoy5_8.pdb          9.77
decoy5_11.pdb        10.30
decoy5_16.pdb        10.13
decoy5_15.pdb        10.11
decoy5_18.pdb        10.98
decoy5_17.pdb        10.80
decoy5_22.pdb        10.12
decoy5_10.pdb        10.73
decoy5_14.pdb        10.71
decoy5_23.pdb        10.96
decoy5_24.pdb        10.86
decoy5_29.pdb        11.23
decoy5_35.pdb        11.05
decoy5_44.pdb        11.42
decoy5_36.pdb        11.56
decoy5_34.pdb        11.46
decoy5_37.pdb        11.59
decoy5_39.pdb        11.62
decoy5_42.pdb        11.45
decoy5_30.pdb        11.38
decoy5_41.pdb        11.91
decoy5_53.pdb        11.09
decoy5_32.pdb        11.85
decoy5_47.pdb        11.53
decoy5_55.pdb        11.44
decoy5_33.pdb        11.53
decoy5_38.pdb        11.76
decoy7_111.pdb        5.13
decoy7_162.pdb        6.23
decoy7_284.pdb       11.24
decoy9_159.pdb        4.02
decoy9_127.pdb        4.54
decoy9_103.pdb        4.42
decoy9_111.pdb        4.55
decoy10_147.pdb       7.57
decoy10_175.pdb       8.24
decoy10_178.pdb       8.41
decoy10_180.pdb       8.36
decoy10_181.pdb       8.48
decoy10_184.pdb       8.13
decoy10_174.pdb       8.68
decoy10_183.pdb       8.61
decoy10_185.pdb       8.12
decoy10_190.pdb       8.39
decoy10_172.pdb       7.99
decoy10_182.pdb       8.31
decoy10_193.pdb       8.24
decoy10_220.pdb       9.06
decoy10_240.pdb       9.56
decoy10_244.pdb       9.21
decoy10_218.pdb       9.03
decoy11_79.pdb        4.26
decoy11_134.pdb       5.67
decoy11_230.pdb       6.61
decoy11_283.pdb       7.00
decoy11_308.pdb       8.21
decoy11_295.pdb       8.09
decoy11_301.pdb       8.06
decoy11_296.pdb       8.10
decoy11_297.pdb       8.25
decoy11_320.pdb       9.19
decoy11_343.pdb      10.18
decoy11_345.pdb      10.52
decoy11_348.pdb      10.49
decoy12_32.pdb        5.00
decoy12_18.pdb        4.62
decoy12_20.pdb        4.35
decoy12_33.pdb        4.95
decoy12_79.pdb        5.75
decoy12_50.pdb        5.71
decoy12_56.pdb        5.59
decoy12_60.pdb        5.41
decoy12_70.pdb        5.72
decoy12_81.pdb        5.70
decoy12_108.pdb       5.58
decoy12_65.pdb        5.05
decoy12_76.pdb        5.08
decoy12_98.pdb        5.37
decoy12_107.pdb       5.38
decoy12_120.pdb       6.33
decoy12_139.pdb       6.22
decoy12_121.pdb       6.06
decoy12_123.pdb       6.31
decoy12_126.pdb       6.38
decoy12_138.pdb       6.29
decoy12_140.pdb       6.15
decoy12_141.pdb       6.12
decoy12_152.pdb       5.96
decoy12_158.pdb       6.07
decoy12_117.pdb       6.36
decoy12_130.pdb       6.09
decoy12_168.pdb       7.59
decoy12_169.pdb       7.27
decoy13_85.pdb        4.99
decoy14_140.pdb       5.98
decoy15_42.pdb        7.08
decoy15_73.pdb        8.46
decoy15_81.pdb        8.42
decoy15_83.pdb        8.98
decoy15_106.pdb       9.02
decoy15_109.pdb       9.06
decoy15_91.pdb        9.32
decoy15_95.pdb        9.14
decoy15_96.pdb        9.91
decoy15_101.pdb       9.15
decoy15_89.pdb        9.98
decoy15_112.pdb       9.17
decoy15_87.pdb        9.10
decoy15_105.pdb       9.43
decoy15_157.pdb      10.46
decoy15_166.pdb       9.98
decoy15_183.pdb      11.21
decoy15_175.pdb      11.77
decoy16_3.pdb         4.74
decoy16_48.pdb        4.18
decoy16_188.pdb       9.38
decoy16_194.pdb      10.37
decoy16_198.pdb      10.17
decoy16_199.pdb      10.44
decoy19_27.pdb        3.72
decoy19_116.pdb       4.02
decoy19_90.pdb        4.73
decoy19_101.pdb       4.71
decoy19_110.pdb       3.99
decoy19_135.pdb       5.43
decoy19_139.pdb       5.53
decoy19_159.pdb       5.46
decoy19_181.pdb       5.57
decoy19_240.pdb       8.79
decoy19_242.pdb       8.78
decoy19_254.pdb      10.09
decoy19_257.pdb       9.85
decoy19_261.pdb       9.60
decoy19_279.pdb      10.05
decoy19_286.pdb      11.53
decoy19_284.pdb      11.52
decoy21_83.pdb        4.80
decoy21_183.pdb       6.58
decoy23_83.pdb        4.20
decoy23_116.pdb       4.13
decoy23_127.pdb       5.00
decoy23_133.pdb       4.98
decoy23_119.pdb       5.76
