NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.37
decoy1_1.pdb          0.86
decoy1_2.pdb          0.83
decoy1_17.pdb         1.92
decoy1_18.pdb         1.81
decoy1_23.pdb         1.81
decoy1_26.pdb         1.96
decoy1_8.pdb          1.23
decoy1_9.pdb          1.27
decoy1_19.pdb         1.82
decoy1_47.pdb         2.24
decoy1_52.pdb         1.52
decoy1_62.pdb         1.11
decoy1_16.pdb         1.96
decoy1_38.pdb         2.29
decoy1_42.pdb         1.96
decoy1_25.pdb         1.81
decoy1_33.pdb         1.70
decoy1_39.pdb         1.71
decoy1_55.pdb         1.53
decoy1_57.pdb         1.69
decoy1_11.pdb         1.09
decoy1_21.pdb         1.43
decoy1_28.pdb         1.43
decoy1_29.pdb         1.50
decoy1_34.pdb         1.59
decoy1_37.pdb         1.34
decoy1_51.pdb         1.43
decoy1_60.pdb         1.59
decoy1_66.pdb         2.01
decoy1_44.pdb         1.73
decoy1_50.pdb         1.79
decoy1_53.pdb         1.93
decoy1_59.pdb         1.60
decoy1_3.pdb          1.71
decoy1_4.pdb          1.97
decoy1_6.pdb          1.66
decoy1_7.pdb          1.76
decoy1_107.pdb        2.08
decoy1_73.pdb         2.19
decoy1_74.pdb         2.19
decoy1_94.pdb         2.13
decoy1_114.pdb        2.20
decoy1_122.pdb        2.20
decoy1_72.pdb         2.19
decoy1_105.pdb        2.13
decoy1_118.pdb        2.13
decoy1_132.pdb        2.11
decoy1_76.pdb         2.06
decoy1_84.pdb         1.94
decoy1_85.pdb         2.41
decoy1_90.pdb         2.09
decoy1_92.pdb         2.20
decoy1_93.pdb         2.15
decoy1_95.pdb         2.34
decoy1_98.pdb         2.37
decoy1_116.pdb        3.02
decoy1_117.pdb        2.04
decoy1_69.pdb         2.94
decoy1_71.pdb         2.90
decoy1_75.pdb         2.88
decoy1_77.pdb         3.03
decoy1_79.pdb         3.01
decoy1_87.pdb         2.85
decoy1_106.pdb        2.37
decoy1_109.pdb        2.57
decoy1_110.pdb        2.61
decoy1_111.pdb        2.55
decoy1_112.pdb        2.50
decoy1_129.pdb        2.56
decoy1_131.pdb        2.48
decoy1_81.pdb         2.52
decoy1_142.pdb        3.06
decoy1_139.pdb        3.10
decoy1_135.pdb        3.07
decoy1_136.pdb        3.09
decoy1_137.pdb        3.08
decoy1_138.pdb        3.05
decoy1_140.pdb        3.03
decoy1_141.pdb        3.02
decoy1_143.pdb        3.13
decoy1_144.pdb        3.04
decoy1_145.pdb        3.05
decoy2_53.pdb         2.45
decoy2_62.pdb         2.89
decoy2_162.pdb        3.67
decoy2_126.pdb        3.78
decoy2_159.pdb        3.69
decoy2_136.pdb        3.60
decoy2_164.pdb        3.71
decoy2_110.pdb        3.69
decoy2_127.pdb        3.63
decoy2_149.pdb        3.73
decoy2_216.pdb        4.10
decoy2_220.pdb        4.54
decoy2_187.pdb        4.54
decoy2_192.pdb        4.56
decoy2_221.pdb        4.46
decoy3_143.pdb        6.63
decoy3_179.pdb        6.89
decoy4_14.pdb         7.43
decoy4_26.pdb         7.38
decoy4_7.pdb          7.42
decoy4_22.pdb         7.42
decoy4_125.pdb        9.63
decoy4_131.pdb        9.70
decoy4_117.pdb        9.67
decoy4_145.pdb        9.52
decoy4_108.pdb        9.80
decoy5_201.pdb       10.29
decoy5_203.pdb       10.33
decoy6_105.pdb       10.98
decoy6_117.pdb       10.94
decoy6_175.pdb       11.85
decoy6_188.pdb       11.75
decoy6_167.pdb       11.91
decoy6_178.pdb       11.71
decoy8_106.pdb        5.94
decoy9_109.pdb        7.38
decoy9_258.pdb        9.15
decoy10_243.pdb      10.49
decoy10_246.pdb      10.27
decoy10_247.pdb      10.44
decoy10_253.pdb      10.16
decoy11_54.pdb       10.21
decoy11_67.pdb       10.59
decoy11_37.pdb       10.83
decoy11_59.pdb       10.31
decoy11_53.pdb       10.32
decoy12_238.pdb      11.66
decoy12_242.pdb      11.78
decoy13_193.pdb      10.54
decoy14_28.pdb        3.75
decoy14_4.pdb         3.71
decoy14_8.pdb         3.70
decoy14_33.pdb        3.80
decoy14_58.pdb        3.69
decoy14_17.pdb        3.65
decoy14_11.pdb        3.98
decoy14_12.pdb        3.59
decoy14_20.pdb        3.76
decoy14_27.pdb        3.76
decoy14_41.pdb        3.94
decoy14_18.pdb        3.66
decoy14_36.pdb        3.90
decoy14_46.pdb        3.70
decoy14_57.pdb        3.64
decoy14_61.pdb        3.67
decoy14_3.pdb         3.62
decoy14_73.pdb        4.00
decoy14_81.pdb        4.31
decoy14_118.pdb       4.12
decoy14_94.pdb        3.96
decoy14_72.pdb        3.94
decoy14_83.pdb        4.13
decoy14_178.pdb       5.01
decoy15_30.pdb        6.39
decoy15_20.pdb        6.56
decoy15_45.pdb        6.25
decoy15_52.pdb        6.63
decoy15_56.pdb        6.74
decoy15_99.pdb        7.77
decoy15_111.pdb       7.42
decoy15_115.pdb       7.47
decoy15_96.pdb        7.17
decoy15_112.pdb       7.44
decoy15_93.pdb        7.19
decoy15_169.pdb       8.66
decoy15_158.pdb       8.52
decoy15_179.pdb       8.14
decoy15_203.pdb       8.67
decoy15_238.pdb       9.50
decoy15_248.pdb       9.30
decoy15_218.pdb       9.77
decoy15_222.pdb       9.72
decoy15_224.pdb       9.86
decoy15_255.pdb      10.00
decoy15_227.pdb       9.72
decoy15_233.pdb       9.80
decoy15_239.pdb      10.00
decoy15_269.pdb      10.04
decoy15_276.pdb      10.55
decoy15_267.pdb      10.78
decoy15_282.pdb      10.07
decoy15_283.pdb      12.04
decoy15_284.pdb      11.95
decoy16_59.pdb        5.66
decoy16_29.pdb        5.65
decoy16_97.pdb        6.31
decoy16_212.pdb       7.31
decoy17_51.pdb        4.83
decoy17_61.pdb        4.62
decoy17_100.pdb       4.58
decoy17_106.pdb       4.59
decoy17_59.pdb        4.87
decoy17_92.pdb        4.62
decoy17_96.pdb        4.46
decoy17_136.pdb       4.97
decoy17_163.pdb       5.08
decoy17_164.pdb       5.42
decoy17_123.pdb       5.48
decoy17_149.pdb       4.93
decoy17_171.pdb       5.59
decoy17_176.pdb       6.17
decoy17_184.pdb       6.24
decoy18_221.pdb      11.38
decoy20_32.pdb        6.37
decoy20_76.pdb        7.21
decoy20_55.pdb        7.72
decoy20_134.pdb       8.64
decoy20_147.pdb       8.96
decoy20_105.pdb       8.64
decoy20_108.pdb       8.99
decoy20_129.pdb       8.94
decoy20_142.pdb       8.72
decoy20_110.pdb       8.63
decoy20_117.pdb       8.99
decoy20_150.pdb       8.69
decoy20_163.pdb       9.04
decoy20_171.pdb       9.12
decoy20_173.pdb       9.17
decoy20_193.pdb       8.99
decoy20_170.pdb       9.09
decoy20_213.pdb       8.88
decoy20_167.pdb       9.02
decoy20_201.pdb       9.08
decoy20_176.pdb       9.11
decoy20_214.pdb      10.31
decoy20_240.pdb      10.38
decoy20_242.pdb      10.46
decoy21_35.pdb        7.73
decoy21_18.pdb        7.63
decoy21_17.pdb        7.79
decoy21_52.pdb        7.78
decoy21_61.pdb        7.85
decoy21_90.pdb        8.48
decoy21_83.pdb        8.50
decoy21_71.pdb        8.54
decoy21_97.pdb        8.70
decoy21_131.pdb       8.52
decoy21_86.pdb        8.81
decoy21_75.pdb        8.72
decoy21_95.pdb        8.53
decoy21_112.pdb       8.31
decoy21_162.pdb      10.93
decoy21_169.pdb      10.82
decoy21_175.pdb      10.94
decoy22_9.pdb         4.89
decoy22_24.pdb        4.75
decoy22_12.pdb        4.18
decoy22_18.pdb        4.61
decoy22_10.pdb        4.38
decoy22_16.pdb        4.86
decoy22_34.pdb        4.66
decoy22_48.pdb        4.15
decoy22_3.pdb         4.67
decoy22_6.pdb         4.74
decoy22_7.pdb         4.70
decoy22_13.pdb        4.19
decoy22_35.pdb        4.99
decoy22_49.pdb        4.22
decoy22_55.pdb        4.17
decoy22_11.pdb        4.66
decoy22_19.pdb        4.72
decoy22_31.pdb        4.92
decoy22_126.pdb       5.57
decoy22_197.pdb       6.92
decoy23_68.pdb        5.52
decoy23_99.pdb        5.41
decoy23_72.pdb        5.50
decoy23_111.pdb       5.42
decoy23_70.pdb        5.50
decoy23_77.pdb        5.54
decoy23_89.pdb        5.42
decoy23_96.pdb        5.55
decoy23_69.pdb        5.52
decoy23_73.pdb        5.48
decoy23_75.pdb        5.48
decoy23_102.pdb       5.58
decoy23_109.pdb       5.35
decoy23_124.pdb       5.41
decoy23_130.pdb       5.22
decoy23_117.pdb       5.37
decoy23_82.pdb        5.39
decoy23_83.pdb        5.45
decoy23_84.pdb        5.46
decoy23_90.pdb        5.56
decoy23_98.pdb        5.50
decoy23_114.pdb       5.26
decoy23_131.pdb       5.72
decoy23_160.pdb       6.18
decoy23_175.pdb       6.14
decoy23_133.pdb       6.17
decoy23_171.pdb       6.17
decoy23_194.pdb       6.17
decoy23_152.pdb       6.08
decoy23_166.pdb       6.18
decoy23_176.pdb       6.13
decoy23_142.pdb       6.13
decoy23_196.pdb       5.97
decoy23_209.pdb       7.25
decoy23_228.pdb       7.25
decoy23_214.pdb       7.15
decoy24_83.pdb       10.78
decoy24_139.pdb      11.52
decoy27_39.pdb        5.98
decoy27_259.pdb      10.29
decoy27_312.pdb      11.84
decoy28_158.pdb       9.65
decoy28_163.pdb       9.41
decoy28_152.pdb       9.58
decoy28_170.pdb      11.04
decoy28_173.pdb      11.04
decoy29_334.pdb      10.96
decoy30_3.pdb         6.79
decoy30_27.pdb        6.63
decoy30_50.pdb        6.56
decoy30_119.pdb       7.62
decoy30_83.pdb        7.85
decoy30_64.pdb        7.67
decoy30_72.pdb        7.62
decoy30_87.pdb        7.70
decoy30_91.pdb        7.99
decoy30_117.pdb       7.63
decoy30_120.pdb       7.83
decoy30_181.pdb       8.27
decoy30_123.pdb       8.40
decoy30_122.pdb       8.48
decoy30_129.pdb       8.51
decoy30_159.pdb       8.48
decoy30_155.pdb       8.84
decoy30_125.pdb       8.46
decoy30_145.pdb       8.51
decoy30_158.pdb       8.76
decoy30_179.pdb       8.78
decoy30_180.pdb       8.24
decoy30_207.pdb       9.12
decoy30_269.pdb      11.82
decoy32_165.pdb       9.37
decoy32_168.pdb       9.18
decoy32_226.pdb       9.16
decoy33_12.pdb        7.31
decoy33_49.pdb        7.50
decoy33_9.pdb         7.29
decoy33_179.pdb       9.48
decoy33_180.pdb       9.45
decoy34_266.pdb      11.39
decoy34_250.pdb      11.44
decoy34_257.pdb      11.60
decoy34_287.pdb      11.58
decoy34_251.pdb      11.54
decoy34_252.pdb      11.55
decoy34_258.pdb      11.46
decoy34_247.pdb      11.45
decoy34_234.pdb      11.54
decoy34_253.pdb      11.59
decoy34_290.pdb      11.56
decoy34_235.pdb      11.63
decoy34_255.pdb      11.65
decoy34_256.pdb      11.61
decoy34_263.pdb      11.59
decoy38_25.pdb        8.94
decoy38_48.pdb        8.93
