NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.52
decoy1_10.pdb         0.96
decoy1_15.pdb         0.98
decoy1_33.pdb         1.14
decoy1_1.pdb          1.07
decoy1_2.pdb          0.96
decoy1_3.pdb          1.03
decoy1_4.pdb          0.92
decoy1_6.pdb          0.98
decoy1_11.pdb         1.13
decoy1_12.pdb         0.96
decoy1_20.pdb         1.04
decoy1_5.pdb          1.02
decoy1_17.pdb         1.05
decoy1_18.pdb         1.07
decoy1_21.pdb         1.07
decoy1_28.pdb         0.99
decoy1_30.pdb         0.72
decoy1_37.pdb         1.00
decoy1_42.pdb         1.16
decoy1_43.pdb         0.96
decoy1_49.pdb         1.02
decoy1_50.pdb         1.14
decoy1_55.pdb         1.29
decoy1_56.pdb         1.13
decoy1_57.pdb         1.01
decoy1_59.pdb         0.77
decoy1_65.pdb         1.14
decoy1_7.pdb          1.07
decoy1_8.pdb          0.93
decoy1_9.pdb          1.11
decoy1_13.pdb         1.02
decoy1_97.pdb         1.13
decoy1_68.pdb         1.25
decoy1_72.pdb         1.08
decoy1_80.pdb         1.31
decoy1_116.pdb        1.13
decoy1_67.pdb         1.04
decoy1_76.pdb         1.22
decoy1_79.pdb         1.06
decoy1_81.pdb         1.12
decoy1_85.pdb         1.36
decoy1_115.pdb        1.11
decoy2_1.pdb          0.98
decoy2_2.pdb          0.97
decoy2_36.pdb         1.94
decoy2_16.pdb         1.86
decoy2_6.pdb          1.93
decoy2_9.pdb          1.84
decoy2_10.pdb         1.78
decoy2_12.pdb         1.98
decoy2_19.pdb         2.13
decoy2_8.pdb          1.72
decoy2_14.pdb         1.96
decoy2_15.pdb         1.88
decoy2_23.pdb         1.71
decoy2_30.pdb         1.97
decoy2_37.pdb         1.81
decoy2_41.pdb         1.96
decoy2_75.pdb         2.51
decoy2_99.pdb         2.48
decoy2_103.pdb        2.54
decoy2_141.pdb        4.22
decoy2_148.pdb        7.03
decoy2_150.pdb        9.79
decoy2_149.pdb        9.73
decoy3_1.pdb          1.96
decoy3_50.pdb         1.47
decoy4_37.pdb         1.81
decoy4_197.pdb        8.08
decoy5_2.pdb          1.88
decoy5_16.pdb         1.54
decoy5_26.pdb         1.62
decoy5_55.pdb         1.80
decoy5_223.pdb        6.77
decoy6_22.pdb        11.41
decoy6_36.pdb        11.57
decoy7_224.pdb        5.98
decoy7_237.pdb        6.14
decoy7_243.pdb        6.10
decoy8_207.pdb        6.12
decoy8_224.pdb        7.09
decoy8_242.pdb        7.29
decoy8_251.pdb        7.39
decoy9_129.pdb        7.48
decoy9_159.pdb        7.65
decoy9_185.pdb        7.05
decoy9_206.pdb        8.03
decoy9_207.pdb        8.06
decoy9_212.pdb        8.70
decoy10_2.pdb         8.24
decoy10_4.pdb         8.09
decoy10_7.pdb         9.39
decoy10_10.pdb        9.85
decoy10_28.pdb       10.35
decoy10_22.pdb       10.26
decoy10_24.pdb       10.53
decoy10_46.pdb       11.31
decoy10_49.pdb       11.47
decoy10_64.pdb       11.10
decoy10_47.pdb       11.19
decoy10_53.pdb       11.71
decoy10_57.pdb       11.13
decoy10_59.pdb       11.56
decoy11_15.pdb        2.91
decoy12_41.pdb        2.45
decoy12_14.pdb        2.50
decoy12_49.pdb        2.73
decoy15_75.pdb        3.78
decoy15_116.pdb       3.32
decoy15_74.pdb        3.85
decoy15_96.pdb        3.89
decoy15_110.pdb       3.30
decoy15_133.pdb       3.96
decoy15_137.pdb       3.91
decoy15_139.pdb       3.93
decoy15_140.pdb       3.92
decoy15_157.pdb       5.64
decoy15_158.pdb       5.60
decoy16_16.pdb        2.82
decoy16_58.pdb        2.88
decoy16_3.pdb         2.92
decoy16_6.pdb         2.97
decoy16_8.pdb         2.95
decoy16_11.pdb        2.98
decoy16_13.pdb        3.08
decoy16_20.pdb        2.89
decoy16_36.pdb        2.93
decoy16_39.pdb        2.97
decoy16_41.pdb        2.96
decoy16_42.pdb        3.00
decoy16_5.pdb         2.94
decoy16_22.pdb        3.02
decoy18_13.pdb        2.93
decoy18_32.pdb        3.00
decoy18_11.pdb        2.81
decoy18_15.pdb        3.01
decoy18_20.pdb        2.88
decoy18_3.pdb         2.90
decoy18_74.pdb        3.43
decoy18_65.pdb        3.12
decoy18_40.pdb        2.95
decoy18_77.pdb        3.06
decoy18_79.pdb        3.05
decoy18_81.pdb        3.16
decoy18_102.pdb       4.40
decoy18_103.pdb       4.25
decoy19_136.pdb       5.58
decoy19_154.pdb       8.95
decoy19_156.pdb       9.10
decoy20_1.pdb         8.37
decoy20_2.pdb         8.89
decoy20_3.pdb         9.34
decoy20_4.pdb         9.27
decoy20_5.pdb         8.97
decoy20_6.pdb         9.50
decoy20_9.pdb         9.67
decoy20_8.pdb         9.07
decoy20_14.pdb       10.13
decoy20_21.pdb       10.32
decoy20_26.pdb        9.93
decoy20_31.pdb       10.12
decoy20_22.pdb       10.60
decoy20_13.pdb       10.72
decoy20_18.pdb       10.89
decoy20_19.pdb       10.33
decoy20_15.pdb       10.48
decoy20_25.pdb       10.50
decoy20_38.pdb       11.02
decoy20_39.pdb       11.75
decoy20_37.pdb       10.99
decoy20_40.pdb       11.99
decoy20_41.pdb       11.84
decoy21_8.pdb         3.44
decoy21_34.pdb        3.38
decoy21_152.pdb       6.96
decoy21_153.pdb       8.41
decoy21_154.pdb       8.97
decoy21_157.pdb       9.60
decoy21_156.pdb       9.04
decoy21_158.pdb       9.15
decoy21_159.pdb      10.21
decoy21_160.pdb      10.59
decoy21_161.pdb      11.55
decoy22_86.pdb        4.67
decoy23_82.pdb        4.03
decoy24_56.pdb        3.46
decoy24_81.pdb        3.91
decoy24_70.pdb        4.15
decoy24_78.pdb        3.67
decoy24_135.pdb       4.80
decoy24_142.pdb       4.87
decoy24_147.pdb       5.22
decoy24_161.pdb       6.28
decoy24_165.pdb       6.29
decoy24_170.pdb       6.53
decoy24_176.pdb       6.98
decoy24_178.pdb       9.75
decoy25_151.pdb       5.60
decoy26_13.pdb        3.58
decoy26_104.pdb       4.24
decoy26_71.pdb        4.25
decoy26_81.pdb        4.02
decoy26_136.pdb       5.72
decoy26_147.pdb       5.98
decoy27_2.pdb         3.58
decoy27_58.pdb        3.66
decoy27_4.pdb         3.25
decoy27_32.pdb        3.48
decoy27_36.pdb        3.88
decoy27_48.pdb        3.51
decoy27_11.pdb        3.54
decoy27_12.pdb        3.35
decoy27_13.pdb        3.61
decoy27_18.pdb        3.45
decoy27_23.pdb        3.54
decoy27_25.pdb        3.37
decoy27_29.pdb        3.56
