NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.24
decoy1_19.pdb         0.95
decoy1_23.pdb         0.94
decoy1_26.pdb         0.84
decoy1_28.pdb         0.86
decoy1_29.pdb         0.70
decoy1_40.pdb         0.71
decoy1_41.pdb         0.84
decoy1_42.pdb         0.86
decoy1_45.pdb         0.70
decoy1_47.pdb         0.77
decoy1_27.pdb         0.66
decoy1_30.pdb         0.90
decoy1_31.pdb         0.89
decoy1_33.pdb         0.91
decoy1_36.pdb         0.94
decoy1_37.pdb         0.96
decoy1_38.pdb         0.92
decoy1_39.pdb         0.97
decoy1_43.pdb         0.92
decoy1_44.pdb         0.91
decoy1_13.pdb         0.89
decoy1_20.pdb         0.97
decoy1_34.pdb         0.86
decoy1_51.pdb         0.97
decoy1_22.pdb         0.89
decoy1_46.pdb         0.77
decoy1_48.pdb         0.77
decoy1_50.pdb         0.77
decoy1_32.pdb         0.36
decoy1_6.pdb          0.62
decoy1_9.pdb          0.58
decoy1_11.pdb         0.99
decoy1_17.pdb         0.63
decoy1_66.pdb         1.02
decoy1_68.pdb         1.02
decoy1_82.pdb         1.06
decoy1_90.pdb         1.06
decoy1_110.pdb        1.03
decoy2_3.pdb          3.28
decoy2_14.pdb         3.29
decoy2_250.pdb        7.59
decoy2_252.pdb        7.61
decoy2_297.pdb        7.99
decoy2_303.pdb       11.38
decoy2_304.pdb       11.32
decoy2_301.pdb       11.27
decoy3_36.pdb         9.94
decoy3_4.pdb          9.36
decoy3_5.pdb          9.38
decoy3_25.pdb         9.99
decoy3_29.pdb        10.01
decoy3_35.pdb         9.59
decoy3_39.pdb         9.68
decoy3_42.pdb         9.74
decoy3_45.pdb         9.99
decoy3_46.pdb         9.92
decoy3_61.pdb        11.00
decoy3_79.pdb        10.92
decoy3_84.pdb        10.04
decoy3_96.pdb        10.08
decoy3_115.pdb       11.00
decoy3_116.pdb       11.00
decoy3_118.pdb       11.02
decoy3_120.pdb       10.99
decoy3_123.pdb       11.00
decoy4_1.pdb          1.88
decoy4_21.pdb         1.59
decoy4_36.pdb         1.63
decoy4_17.pdb         1.79
decoy4_45.pdb         1.74
decoy4_49.pdb         1.85
decoy4_7.pdb          1.76
decoy4_10.pdb         1.81
decoy4_12.pdb         1.79
decoy4_13.pdb         1.75
decoy4_19.pdb         1.64
