NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.17
decoy1_2.pdb          0.73
decoy1_10.pdb         0.91
decoy1_28.pdb         1.08
decoy1_35.pdb         0.90
decoy1_50.pdb         0.74
decoy1_53.pdb         0.55
decoy1_54.pdb         0.94
decoy1_55.pdb         0.50
decoy1_8.pdb          1.05
decoy1_23.pdb         0.64
decoy1_32.pdb         0.43
decoy1_45.pdb         1.04
decoy1_47.pdb         0.42
decoy1_48.pdb         0.69
decoy1_56.pdb         0.46
decoy1_60.pdb         1.00
decoy1_4.pdb          0.86
decoy1_9.pdb          0.81
decoy1_19.pdb         0.88
decoy1_22.pdb         0.64
decoy1_24.pdb         0.83
decoy1_31.pdb         0.53
decoy1_37.pdb         0.94
decoy1_41.pdb         0.92
decoy1_46.pdb         0.43
decoy1_61.pdb         0.79
decoy1_1.pdb          0.92
decoy1_13.pdb         0.94
decoy1_17.pdb         0.61
decoy1_20.pdb         0.60
decoy1_100.pdb        0.96
decoy1_101.pdb        0.96
decoy1_109.pdb        0.98
decoy1_81.pdb         1.11
decoy2_2.pdb          0.85
decoy2_11.pdb         0.87
decoy2_20.pdb         0.81
decoy2_77.pdb         1.41
decoy4_62.pdb         1.10
decoy4_21.pdb         1.64
decoy4_65.pdb         1.69
decoy4_66.pdb         1.67
decoy4_14.pdb         1.86
decoy4_15.pdb         1.98
decoy4_26.pdb         1.82
decoy4_28.pdb         1.96
decoy4_88.pdb         2.95
decoy4_126.pdb        2.94
decoy4_113.pdb        2.88
decoy4_275.pdb       11.48
decoy4_276.pdb       11.49
decoy4_279.pdb       11.60
decoy4_281.pdb       11.48
decoy4_278.pdb       11.58
decoy5_8.pdb          1.67
decoy5_79.pdb         2.87
decoy5_68.pdb         2.97
decoy5_72.pdb         2.81
decoy5_76.pdb         2.94
decoy6_60.pdb         1.75
decoy7_11.pdb         1.71
decoy7_64.pdb         1.70
decoy7_46.pdb         1.54
decoy7_60.pdb         1.50
decoy7_9.pdb          1.66
decoy7_14.pdb         1.67
decoy7_25.pdb         1.30
decoy7_42.pdb         1.71
decoy7_55.pdb         1.74
decoy7_62.pdb         1.64
decoy7_81.pdb         2.31
decoy8_44.pdb         1.72
decoy8_45.pdb         1.69
decoy10_65.pdb        2.51
decoy11_195.pdb       7.95
decoy11_200.pdb       7.83
decoy11_193.pdb       7.91
decoy11_202.pdb       7.94
decoy11_217.pdb       8.09
decoy11_212.pdb       7.91
decoy11_213.pdb       8.06
decoy11_211.pdb       8.15
decoy11_215.pdb       8.10
decoy12_213.pdb      11.47
decoy12_211.pdb      11.41
decoy12_220.pdb      11.18
decoy13_45.pdb        1.82
decoy13_20.pdb        1.78
decoy13_31.pdb        1.77
decoy13_39.pdb        1.69
decoy13_55.pdb        1.60
decoy14_221.pdb      10.96
decoy14_227.pdb      11.58
decoy15_24.pdb        2.66
decoy15_217.pdb       7.46
decoy15_228.pdb       9.72
decoy16_8.pdb         1.89
decoy16_30.pdb        3.23
decoy16_62.pdb        2.39
decoy16_47.pdb        2.19
decoy16_105.pdb       3.67
decoy16_119.pdb       3.59
decoy19_31.pdb        2.69
decoy19_24.pdb        2.67
decoy19_49.pdb        2.73
decoy19_26.pdb        2.65
decoy19_32.pdb        2.68
decoy19_55.pdb        2.67
decoy19_4.pdb         2.83
decoy19_36.pdb        2.64
decoy19_51.pdb        2.75
decoy19_65.pdb        2.36
decoy19_3.pdb         2.91
decoy19_5.pdb         2.98
decoy19_29.pdb        2.70
decoy19_40.pdb        2.47
decoy19_50.pdb        2.65
decoy19_52.pdb        2.89
decoy19_205.pdb       5.88
decoy19_206.pdb       5.91
decoy19_207.pdb       5.89
decoy19_208.pdb       5.96
decoy19_248.pdb       6.30
decoy19_250.pdb       6.28
decoy19_252.pdb       5.98
decoy19_253.pdb       6.03
decoy19_255.pdb       6.22
decoy19_258.pdb       6.14
decoy19_262.pdb       6.22
decoy19_263.pdb       6.13
decoy19_265.pdb       8.68
decoy20_8.pdb         2.71
decoy20_6.pdb         2.75
decoy20_7.pdb         2.68
decoy20_157.pdb      11.12
decoy22_162.pdb       5.54
decoy24_98.pdb        3.52
decoy24_81.pdb        3.54
decoy24_211.pdb       8.12
decoy25_217.pdb       7.17
decoy25_214.pdb       7.31
decoy26_143.pdb       8.32
decoy26_146.pdb       8.42
decoy26_150.pdb       8.30
decoy26_142.pdb       8.33
decoy26_145.pdb       8.21
decoy27_2.pdb         2.99
decoy27_29.pdb        3.59
decoy27_235.pdb      10.99
decoy27_239.pdb      11.95
decoy28_321.pdb       7.09
decoy28_333.pdb       7.30
decoy29_145.pdb       9.87
decoy29_144.pdb       9.85
decoy29_160.pdb       9.83
decoy29_162.pdb       9.64
decoy29_164.pdb       9.87
decoy29_142.pdb       9.79
decoy29_169.pdb       9.74
decoy29_152.pdb      10.16
decoy29_154.pdb       9.61
decoy29_158.pdb       9.79
decoy29_165.pdb       9.53
decoy29_167.pdb       9.69
decoy29_163.pdb       9.84
decoy29_143.pdb       9.93
decoy30_176.pdb       4.12
decoy37_183.pdb       8.91
decoy37_184.pdb       8.82
decoy37_185.pdb       9.75
decoy37_186.pdb       9.61
decoy37_189.pdb       9.74
decoy37_192.pdb       8.99
decoy37_193.pdb       9.65
decoy37_201.pdb      11.24
decoy37_202.pdb      11.21
decoy38_204.pdb       7.93
decoy38_230.pdb      10.31
decoy38_229.pdb      10.34
decoy38_231.pdb      10.41
decoy39_9.pdb         3.98
decoy40_109.pdb       5.28
decoy40_118.pdb       5.06
decoy40_112.pdb       5.74
decoy40_170.pdb       6.58
decoy40_187.pdb       6.44
decoy40_221.pdb       6.58
decoy40_181.pdb       6.44
decoy40_200.pdb       6.46
decoy40_216.pdb       6.66
decoy40_219.pdb       6.55
decoy40_186.pdb       6.73
decoy40_191.pdb       6.68
decoy40_196.pdb       6.67
decoy40_197.pdb       6.65
decoy40_198.pdb       6.58
decoy40_202.pdb       6.65
decoy40_207.pdb       6.66
decoy40_180.pdb       6.63
decoy40_185.pdb       6.61
decoy40_195.pdb       6.64
decoy40_203.pdb       6.67
decoy40_210.pdb       6.69
decoy40_211.pdb       6.54
decoy40_212.pdb       6.64
decoy40_217.pdb       6.71
decoy40_218.pdb       6.68
decoy40_223.pdb       8.67
decoy41_242.pdb      10.78
decoy41_255.pdb      10.94
decoy41_265.pdb      10.86
decoy42_242.pdb       9.75
