NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.62
decoy1_8.pdb          0.83
decoy1_1.pdb          0.98
decoy1_3.pdb          0.97
decoy1_5.pdb          0.99
decoy1_2.pdb          1.06
decoy1_4.pdb          1.19
decoy1_6.pdb          1.02
decoy1_7.pdb          0.95
decoy1_9.pdb          0.98
decoy1_11.pdb         0.73
decoy1_10.pdb         0.96
decoy1_36.pdb         1.31
decoy1_29.pdb         1.01
decoy1_40.pdb         1.36
decoy1_68.pdb         1.58
decoy1_46.pdb         1.57
decoy3_52.pdb         1.87
decoy3_18.pdb         1.26
decoy3_149.pdb        3.91
decoy3_201.pdb        3.97
decoy3_246.pdb        5.35
decoy3_249.pdb        5.52
decoy3_248.pdb        5.50
decoy3_245.pdb        5.40
decoy3_247.pdb        5.28
decoy4_235.pdb        4.89
decoy4_210.pdb        4.91
decoy4_298.pdb        5.33
decoy4_276.pdb        5.44
decoy4_266.pdb        5.15
decoy4_309.pdb        7.30
decoy6_2.pdb          1.91
decoy6_13.pdb         1.79
decoy6_37.pdb         1.68
decoy6_44.pdb         1.63
decoy6_52.pdb         1.44
decoy6_28.pdb         1.46
decoy6_1.pdb          1.76
decoy6_8.pdb          1.59
decoy6_21.pdb         1.61
decoy6_38.pdb         1.75
decoy6_45.pdb         1.56
decoy6_3.pdb          1.72
decoy6_9.pdb          1.54
decoy6_36.pdb         1.98
decoy6_47.pdb         1.78
decoy6_71.pdb         2.59
decoy6_55.pdb         2.69
decoy6_95.pdb         3.00
decoy6_174.pdb        3.26
decoy6_210.pdb        4.10
decoy6_216.pdb        4.06
decoy6_197.pdb        4.02
decoy6_257.pdb        6.80
decoy6_254.pdb        6.75
decoy6_256.pdb        6.83
decoy6_265.pdb        6.96
decoy7_100.pdb        2.82
decoy7_77.pdb         2.86
decoy7_125.pdb        2.83
decoy7_69.pdb         2.88
decoy7_122.pdb        2.76
decoy8_3.pdb          1.53
decoy8_21.pdb         1.92
decoy8_18.pdb         1.41
decoy8_26.pdb         2.02
decoy8_40.pdb         1.83
decoy8_11.pdb         1.98
decoy8_23.pdb         1.89
decoy8_27.pdb         1.85
decoy8_31.pdb         1.85
decoy8_16.pdb         2.04
decoy8_28.pdb         1.48
decoy8_43.pdb         1.62
decoy8_47.pdb         2.80
decoy8_66.pdb         2.85
decoy8_56.pdb         2.82
decoy8_71.pdb         2.79
decoy8_58.pdb         2.79
decoy8_64.pdb         2.85
decoy8_68.pdb         2.88
decoy8_82.pdb         2.87
decoy8_88.pdb         2.85
decoy8_108.pdb        2.89
decoy8_76.pdb         1.96
decoy8_81.pdb         2.84
decoy8_90.pdb         2.94
decoy8_92.pdb         2.93
decoy8_75.pdb         2.87
decoy8_77.pdb         2.38
decoy8_83.pdb         2.84
decoy8_102.pdb        2.73
decoy8_137.pdb        2.96
decoy8_178.pdb        6.89
decoy8_182.pdb        7.00
decoy9_6.pdb          2.67
decoy9_76.pdb         3.56
decoy10_78.pdb        3.91
decoy10_80.pdb        3.89
decoy10_103.pdb       3.84
decoy10_160.pdb       4.08
decoy10_149.pdb       4.12
decoy10_178.pdb       5.01
decoy10_174.pdb       5.12
decoy10_172.pdb       5.10
decoy11_57.pdb        2.91
decoy11_36.pdb        2.80
decoy11_56.pdb        2.84
decoy11_111.pdb       3.19
decoy11_102.pdb       3.33
decoy11_101.pdb       3.26
decoy11_201.pdb       5.26
decoy11_262.pdb       6.42
decoy12_33.pdb        2.58
decoy12_52.pdb        2.65
decoy12_151.pdb       4.58
decoy12_168.pdb       5.15
decoy12_175.pdb       5.36
decoy12_178.pdb       6.29
decoy13_102.pdb       3.62
decoy14_39.pdb        2.89
decoy14_128.pdb       2.95
decoy14_145.pdb       4.05
decoy14_208.pdb       7.38
decoy16_25.pdb        2.66
decoy16_216.pdb       5.29
decoy16_201.pdb       5.04
decoy16_209.pdb       5.14
decoy16_215.pdb       5.20
decoy16_223.pdb       5.19
decoy16_237.pdb       6.11
decoy16_238.pdb       6.24
decoy16_233.pdb       6.14
decoy17_22.pdb       10.99
decoy17_18.pdb       10.98
decoy18_181.pdb       7.66
decoy19_11.pdb        3.91
decoy19_9.pdb         3.76
decoy19_173.pdb       7.02
decoy19_172.pdb       6.99
decoy22_49.pdb        2.97
decoy22_100.pdb       3.00
decoy22_86.pdb        3.19
decoy22_89.pdb        3.17
decoy22_197.pdb       4.41
decoy22_176.pdb       4.30
decoy22_159.pdb       4.52
decoy22_156.pdb       4.17
decoy22_184.pdb       4.37
decoy22_141.pdb       4.97
decoy22_164.pdb       4.58
decoy22_138.pdb       5.05
decoy22_213.pdb       5.00
decoy22_199.pdb       5.01
decoy22_201.pdb       5.01
decoy22_226.pdb       5.18
decoy23_23.pdb        9.70
decoy23_12.pdb        9.94
decoy23_50.pdb       11.56
decoy23_51.pdb       11.72
decoy25_50.pdb        3.88
decoy26_5.pdb         3.62
decoy26_13.pdb        3.82
decoy27_141.pdb       5.39
decoy27_159.pdb       5.39
decoy30_87.pdb        5.92
decoy30_59.pdb        5.48
decoy30_100.pdb       6.26
decoy30_98.pdb        6.37
decoy30_106.pdb       6.44
decoy30_109.pdb       6.41
decoy30_123.pdb       6.36
decoy30_92.pdb        6.48
decoy30_105.pdb       6.47
decoy30_124.pdb       6.32
decoy30_90.pdb        6.44
decoy30_93.pdb        6.27
decoy30_99.pdb        6.28
decoy30_102.pdb       6.33
decoy30_110.pdb       6.46
decoy30_117.pdb       6.46
decoy30_125.pdb       5.95
decoy30_129.pdb       6.27
decoy30_133.pdb       6.45
decoy30_159.pdb       7.40
decoy30_173.pdb       7.48
decoy30_171.pdb       7.39
decoy31_2.pdb         3.66
decoy31_144.pdb       5.38
decoy32_52.pdb        3.26
decoy32_44.pdb        3.26
decoy32_13.pdb        3.84
decoy32_18.pdb        3.89
decoy32_31.pdb        3.66
decoy32_47.pdb        3.08
decoy32_54.pdb        3.20
decoy32_34.pdb        3.51
decoy32_94.pdb        6.29
decoy32_93.pdb        6.44
decoy33_47.pdb        3.64
decoy33_61.pdb        3.58
decoy33_34.pdb        3.54
decoy33_1.pdb         4.03
decoy33_55.pdb        3.59
decoy33_72.pdb        4.40
decoy33_73.pdb        4.39
decoy33_69.pdb        4.29
decoy33_107.pdb       4.06
decoy34_1.pdb         3.98
decoy34_61.pdb        4.53
decoy34_18.pdb        4.55
decoy34_27.pdb        4.60
decoy34_9.pdb         4.56
decoy34_59.pdb        4.80
decoy34_3.pdb         4.83
decoy34_32.pdb        4.79
decoy34_7.pdb         4.35
decoy34_14.pdb        4.55
decoy34_21.pdb        4.49
decoy34_23.pdb        4.50
decoy34_57.pdb        4.84
decoy34_69.pdb        5.04
decoy34_70.pdb        5.34
decoy34_103.pdb       5.02
decoy35_133.pdb       6.66
decoy35_116.pdb       6.64
decoy38_23.pdb        7.54
decoy38_32.pdb        7.49
decoy38_48.pdb        8.91
decoy38_49.pdb        8.86
decoy38_73.pdb        8.38
decoy38_103.pdb       9.84
decoy38_87.pdb        9.47
decoy38_132.pdb      11.86
decoy38_136.pdb      11.42
decoy38_133.pdb      11.50
decoy39_121.pdb       7.16
decoy39_154.pdb       8.88
decoy39_200.pdb       8.62
decoy39_209.pdb       8.52
decoy39_214.pdb       9.01
decoy40_12.pdb        4.43
decoy41_75.pdb       10.55
decoy41_82.pdb       11.08
decoy42_65.pdb        5.45
decoy42_69.pdb        5.44
decoy42_76.pdb        6.49
decoy42_83.pdb        6.48
decoy42_78.pdb        6.63
decoy42_160.pdb       7.00
decoy42_168.pdb       7.16
decoy42_198.pdb       8.25
decoy42_197.pdb       8.36
decoy43_4.pdb         9.52
decoy43_1.pdb         9.43
decoy43_3.pdb         9.48
decoy44_8.pdb         8.67
decoy44_21.pdb        8.64
decoy44_48.pdb        9.38
decoy44_90.pdb        9.63
decoy44_56.pdb        9.63
decoy44_102.pdb      10.93
decoy44_118.pdb      11.58
decoy44_119.pdb      11.26
decoy46_2.pdb         8.86
decoy46_13.pdb       11.44
decoy47_51.pdb        9.26
decoy47_28.pdb       10.01
decoy47_35.pdb        9.23
decoy47_45.pdb        9.23
decoy47_58.pdb        9.18
decoy47_32.pdb        9.20
decoy47_82.pdb       10.12
decoy47_73.pdb       10.30
decoy47_86.pdb       10.11
decoy47_65.pdb       10.14
decoy47_67.pdb       10.08
decoy48_7.pdb        10.94
decoy48_40.pdb       11.02
decoy48_49.pdb       11.01
decoy48_60.pdb       11.00
decoy50_149.pdb       8.47
decoy50_141.pdb       8.82
decoy51_72.pdb        5.13
decoy51_69.pdb        5.14
decoy52_34.pdb        3.85
decoy53_6.pdb         7.67
decoy53_20.pdb        8.19
decoy53_35.pdb        8.73
decoy53_59.pdb        8.65
decoy53_60.pdb        8.64
decoy53_66.pdb        8.48
decoy53_88.pdb        8.95
decoy53_131.pdb      10.94
decoy53_130.pdb      10.92
decoy53_133.pdb      10.22
decoy53_134.pdb      10.22
decoy54_4.pdb        11.05
decoy54_3.pdb        10.81
decoy54_27.pdb       10.82
decoy54_28.pdb       10.99
decoy54_40.pdb       11.68
decoy55_81.pdb        8.12
decoy55_129.pdb       9.34
decoy55_137.pdb      11.24
decoy55_134.pdb      11.12
decoy56_4.pdb         9.45
decoy56_1.pdb         9.98
decoy56_17.pdb       10.96
decoy56_8.pdb        10.38
decoy56_7.pdb        10.06
decoy56_11.pdb       10.37
decoy56_23.pdb       11.76
decoy56_30.pdb       11.02
decoy56_31.pdb       12.05
decoy56_24.pdb       11.24
decoy57_114.pdb       7.70
decoy57_145.pdb       8.15
decoy57_160.pdb       9.06
decoy57_157.pdb       9.41
decoy58_5.pdb        10.68
decoy59_122.pdb       7.29
decoy59_71.pdb        8.05
decoy59_96.pdb        7.37
decoy59_108.pdb       7.23
decoy59_125.pdb       7.16
decoy59_123.pdb       7.34
decoy59_86.pdb        7.12
decoy59_135.pdb       8.27
decoy59_133.pdb       8.02
decoy59_136.pdb       8.23
decoy59_137.pdb       8.26
decoy60_2.pdb         7.95
decoy60_3.pdb        10.51
decoy60_5.pdb        10.79
decoy60_7.pdb        10.94
decoy60_6.pdb        10.95
decoy60_12.pdb       11.36
decoy60_13.pdb       11.81
decoy61_12.pdb        9.37
decoy61_14.pdb        9.35
decoy61_32.pdb       10.52
decoy61_39.pdb       10.69
decoy61_64.pdb       11.50
decoy61_42.pdb       11.31
decoy61_49.pdb       11.80
decoy61_44.pdb       11.70
decoy61_50.pdb       11.34
decoy61_48.pdb       11.35
decoy62_26.pdb        9.76
decoy62_29.pdb        9.64
decoy62_57.pdb       10.88
decoy62_59.pdb       10.55
decoy62_105.pdb      10.86
decoy63_11.pdb       11.37
decoy63_12.pdb       11.79
decoy64_138.pdb       8.94
decoy64_139.pdb       8.12
decoy64_174.pdb       9.18
decoy64_179.pdb      11.26
decoy64_180.pdb      11.02
decoy65_8.pdb        10.29
decoy65_11.pdb       11.31
decoy65_27.pdb       11.86
decoy68_37.pdb        8.48
decoy69_10.pdb        9.51
decoy69_44.pdb        9.98
decoy69_78.pdb       11.08
decoy70_22.pdb        6.50
decoy70_59.pdb        6.12
decoy70_62.pdb        6.51
decoy70_67.pdb        7.15
decoy70_73.pdb        7.07
decoy70_75.pdb        7.06
decoy70_76.pdb        7.02
decoy70_82.pdb        7.05
decoy70_105.pdb       7.85
decoy70_71.pdb        7.12
decoy70_79.pdb        7.17
decoy70_81.pdb        7.44
decoy70_74.pdb        7.04
decoy70_119.pdb       8.14
decoy70_113.pdb       8.28
decoy70_116.pdb       8.10
decoy70_112.pdb       8.43
decoy70_114.pdb       8.10
decoy70_115.pdb       8.15
decoy70_132.pdb       9.25
decoy70_134.pdb       9.39
decoy70_135.pdb       9.37
decoy70_123.pdb       9.66
decoy70_126.pdb       9.79
decoy71_82.pdb        8.20
decoy71_125.pdb      10.02
decoy71_139.pdb      10.02
decoy74_1.pdb        10.26
decoy74_2.pdb        10.22
decoy78_50.pdb        7.64
decoy78_76.pdb        8.09
