NAME                  RMSD
native.pdb            0.00
decoy0_1.pdb          0.20
decoy1_12.pdb         0.87
decoy1_17.pdb         0.56
decoy1_26.pdb         0.96
decoy1_35.pdb         0.94
decoy1_50.pdb         0.87
decoy1_52.pdb         0.95
decoy1_55.pdb         0.95
decoy1_61.pdb         0.47
decoy1_16.pdb         0.45
decoy1_31.pdb         0.58
decoy1_53.pdb         0.93
decoy1_40.pdb         0.94
decoy1_58.pdb         1.01
decoy1_65.pdb         0.76
decoy1_5.pdb          0.97
decoy1_14.pdb         0.93
decoy1_15.pdb         0.86
decoy1_36.pdb         0.63
decoy1_41.pdb         0.89
decoy1_45.pdb         0.91
decoy1_54.pdb         0.48
decoy1_57.pdb         0.90
decoy1_59.pdb         0.95
decoy1_60.pdb         0.95
decoy1_6.pdb          0.96
decoy1_10.pdb         1.01
decoy1_18.pdb         0.59
decoy1_19.pdb         0.69
decoy1_21.pdb         1.00
decoy1_27.pdb         1.00
decoy1_30.pdb         0.84
decoy1_32.pdb         0.79
decoy1_34.pdb         0.89
decoy1_83.pdb         1.20
decoy1_88.pdb         1.03
decoy1_115.pdb        0.93
decoy1_92.pdb         1.30
decoy1_106.pdb        1.02
decoy1_114.pdb        0.97
decoy1_123.pdb        0.99
decoy1_124.pdb        1.01
decoy1_90.pdb         1.17
decoy1_101.pdb        1.01
decoy1_108.pdb        1.08
decoy3_26.pdb         1.51
decoy3_57.pdb         1.54
decoy3_59.pdb         1.56
decoy3_13.pdb         1.58
decoy3_22.pdb         1.51
decoy3_34.pdb         1.49
decoy3_37.pdb         1.54
decoy3_38.pdb         1.51
decoy3_49.pdb         1.57
decoy3_50.pdb         1.52
decoy3_54.pdb         1.52
decoy3_55.pdb         1.55
decoy3_48.pdb         1.66
decoy3_53.pdb         1.43
decoy3_58.pdb         1.55
decoy3_104.pdb        2.86
decoy3_79.pdb         2.75
decoy3_97.pdb         2.90
decoy3_106.pdb        2.88
decoy3_112.pdb        2.77
decoy3_75.pdb         2.04
decoy3_92.pdb         2.40
decoy3_94.pdb         2.79
decoy3_173.pdb        2.93
decoy3_179.pdb        2.99
decoy3_171.pdb        2.90
decoy3_188.pdb        7.75
decoy3_201.pdb        8.37
decoy3_196.pdb        8.00
decoy3_199.pdb        8.09
decoy3_210.pdb        8.21
decoy4_32.pdb         1.59
decoy4_21.pdb         1.83
decoy4_94.pdb         2.72
decoy4_81.pdb         2.66
decoy4_82.pdb         2.67
decoy4_91.pdb         2.77
decoy4_115.pdb        2.01
decoy4_134.pdb        3.10
decoy4_144.pdb        3.03
decoy4_136.pdb        3.11
decoy4_137.pdb        3.15
decoy4_138.pdb        3.05
decoy4_145.pdb        3.07
decoy4_151.pdb        3.23
decoy4_152.pdb        3.15
decoy4_153.pdb        3.23
