DECOY                PDB          RMSD    SIZE       contacts0       contacts1       contacts2       contacts3       contacts4       contacts5       AB_ENERGY           ANGLE            BOND           DIHED             EEL           EELEC             EGB           ESURF              NB         VDWAALS
decoy1_55.pdb        IT1af7__     0.96     72    -106.0000000    -118.0000000    -123.0000000    -123.0000000    -123.0000000    -124.0000000     -14.8064610    8267.8702000      68.9741000     785.7745000    1534.7409000   -3954.0834000   -1221.8507000      47.5932000     332.6265000    -443.6793000
decoy1_27.pdb        IT1af7__     0.85     72    -112.0000000    -119.0000000    -123.0000000    -123.0000000    -123.0000000    -124.0000000     -17.2760093    8419.1650000      72.3500000     789.3153000    1493.2364000   -3973.9730000   -1155.9473000      49.0486000     310.9644000    -455.6851000
decoy29_12.pdb       IT1af7__     4.05     72    -105.0000000    -117.0000000    -125.0000000    -126.0000000    -128.0000000    -132.0000000      16.2371305    8269.6599000      72.5340000     784.5468000    1505.9733000   -3949.1570000   -1185.3597000      51.3716000     343.2597000    -360.5488000
decoy21_238.pdb      IT1af7__     7.28     72     -99.0000000    -114.0000000    -121.0000000    -122.0000000    -124.0000000    -126.0000000      20.7612776    8278.3660000     127.9785000     825.2911000    1501.0820000   -3674.3468000   -1463.5143000      53.3085000     331.8979000    -302.5180000
decoy24_106.pdb      IT1af7__     4.38     72    -102.0000000    -119.0000000    -129.0000000    -131.0000000    -133.0000000    -136.0000000      13.4786729    8274.8014000     104.0415000     778.0868000    1537.4504000   -3945.4770000   -1256.5675000      55.7774000     338.2589000    -326.1252000
decoy1_49.pdb        IT1af7__     0.67     72    -107.0000000    -114.0000000    -116.0000000    -117.0000000    -117.0000000    -117.0000000     -10.6080426    8285.2358000      76.2968000     835.2272000    1453.1589000   -3912.8878000   -1177.6623000      48.4794000     314.1051000    -464.9858000
decoy15_20.pdb       IT1af7__     6.50     72    -101.0000000    -116.0000000    -122.0000000    -124.0000000    -125.0000000    -128.0000000       5.8150042    8329.8798000      71.6414000     798.0138000    1510.5695000   -3693.0296000   -1488.5846000      54.4237000     327.8785000    -372.8252000
decoy16_267.pdb      IT1af7__     7.02     72     -97.0000000    -112.0000000    -119.0000000    -120.0000000    -121.0000000    -125.0000000       6.7410809    8272.7810000      98.4470000     871.4723000    1481.8826000   -3653.5830000   -1446.4846000      56.1646000     322.7302000    -348.4036000
decoy17_182.pdb      IT1af7__     9.09     72     -99.0000000    -111.0000000    -119.0000000    -120.0000000    -121.0000000    -126.0000000      23.1201510    8279.4266000     126.3751000     795.0794000    1520.2545000   -3947.7505000   -1189.8357000      53.2959000     342.1663000    -332.1485000
decoy30_109.pdb      IT1af7__     9.90     72     -95.0000000    -111.0000000    -118.0000000    -120.0000000    -123.0000000    -125.0000000      22.5884855    8277.7782000     108.2711000     809.6882000    1503.0938000   -3468.1674000   -1663.3299000      57.4201000     336.7205000    -352.9767000
decoy15_4.pdb        IT1af7__     6.69     72    -102.0000000    -116.0000000    -120.0000000    -123.0000000    -125.0000000    -128.0000000      12.2344147    8275.8701000      67.4908000     816.0519000    1467.7679000   -3364.3459000   -1690.9878000      53.0574000     319.8750000    -419.7926000
decoy6_310.pdb       IT1af7__    10.65     72    -105.0000000    -112.0000000    -116.0000000    -117.0000000    -118.0000000    -120.0000000       7.8216279    8270.2683000      89.7385000     832.3624000    1495.7205000   -3725.6013000   -1389.3059000      51.6493000     342.2742000    -332.0556000
decoy18_9.pdb        IT1af7__     3.64     72    -102.0000000    -118.0000000    -127.0000000    -128.0000000    -130.0000000    -133.0000000      28.0190139    8272.0312000      98.2153000     784.7286000    1517.0644000   -3844.1541000   -1308.9544000      55.0810000     337.7800000    -315.2311000
decoy15_35.pdb       IT1af7__     7.89     72    -103.0000000    -113.0000000    -117.0000000    -118.0000000    -119.0000000    -122.0000000      -1.3320124    8275.3585000      87.3536000     800.0358000    1527.4980000   -3700.3763000   -1421.8115000      56.2863000     315.8835000    -387.5111000
