NAME                  RMSD
1BDD.pdb              0.00
decoy0_1.pdb          0.30
decoy1_2.pdb          0.95
decoy1_3.pdb          0.86
decoy1_1.pdb          0.90
decoy1_13.pdb         1.41
decoy1_33.pdb         1.18
decoy1_41.pdb         1.47
decoy1_49.pdb         1.57
decoy1_50.pdb         1.52
decoy1_15.pdb         1.57
decoy1_16.pdb         1.53
decoy1_17.pdb         1.49
decoy1_20.pdb         1.36
decoy1_21.pdb         1.31
decoy1_22.pdb         1.96
decoy1_37.pdb         1.45
decoy1_39.pdb         1.52
decoy1_40.pdb         1.51
decoy1_45.pdb         1.46
decoy1_53.pdb         1.06
decoy1_47.pdb         1.45
decoy1_51.pdb         1.41
decoy1_52.pdb         1.88
decoy1_27.pdb         2.09
decoy1_42.pdb         1.62
decoy1_44.pdb         1.88
decoy1_46.pdb         1.86
decoy1_12.pdb         1.81
decoy1_26.pdb         2.09
decoy1_30.pdb         1.81
decoy2_9.pdb          8.61
decoy2_26.pdb         8.60
decoy2_54.pdb         9.40
decoy2_52.pdb         9.38
decoy2_62.pdb         9.16
decoy2_67.pdb         9.11
decoy2_69.pdb         9.39
decoy3_4.pdb          4.91
decoy3_87.pdb         6.20
decoy3_94.pdb         6.02
decoy3_98.pdb         6.23
decoy3_105.pdb        6.31
decoy3_133.pdb        7.86
decoy3_135.pdb        7.93
decoy3_137.pdb        7.73
decoy3_182.pdb        7.98
decoy3_188.pdb        8.03
decoy3_183.pdb        7.98
decoy3_205.pdb        8.97
decoy3_236.pdb        9.10
decoy4_6.pdb          3.44
decoy4_123.pdb        5.32
decoy4_111.pdb        5.45
decoy4_122.pdb        5.33
decoy4_143.pdb        6.52
decoy4_168.pdb        6.78
decoy4_284.pdb        8.20
decoy4_266.pdb        8.63
decoy4_242.pdb        8.74
decoy4_247.pdb        8.18
decoy4_270.pdb        8.89
decoy4_273.pdb        8.50
decoy4_283.pdb        8.89
decoy4_239.pdb        8.55
decoy4_243.pdb        8.39
decoy4_246.pdb        8.46
decoy4_249.pdb        8.62
decoy5_2.pdb          3.87
decoy5_139.pdb        6.45
decoy6_24.pdb         4.63
decoy6_105.pdb        6.48
decoy6_200.pdb        7.93
decoy6_219.pdb        8.31
decoy6_220.pdb        8.05
decoy6_201.pdb        7.95
decoy6_227.pdb        7.94
decoy6_302.pdb       10.68
decoy7_1.pdb          6.96
decoy7_131.pdb       10.44
decoy7_95.pdb        10.66
decoy7_99.pdb        10.29
decoy7_105.pdb       10.47
decoy7_127.pdb       10.28
decoy7_151.pdb       11.46
decoy7_144.pdb       11.32
decoy7_145.pdb       11.26
decoy7_154.pdb       11.15
decoy7_143.pdb       11.40
decoy8_3.pdb          3.95
decoy8_96.pdb         5.30
decoy9_7.pdb          4.41
decoy9_66.pdb         5.83
decoy9_76.pdb         6.69
decoy9_81.pdb         6.70
decoy9_128.pdb        7.05
decoy9_222.pdb        9.96
decoy9_277.pdb       10.52
decoy9_287.pdb       10.30
decoy9_289.pdb       10.51
decoy9_271.pdb       10.28
decoy9_280.pdb       10.62
decoy9_272.pdb       10.37
decoy9_302.pdb       10.99
decoy9_306.pdb       10.07
decoy9_270.pdb       10.33
decoy9_273.pdb       10.35
decoy9_276.pdb       10.53
decoy9_278.pdb       10.46
decoy9_296.pdb       10.56
decoy9_320.pdb       11.04
decoy9_321.pdb       10.99
decoy10_4.pdb         6.07
decoy10_124.pdb       9.92
decoy10_128.pdb       9.54
decoy10_138.pdb       9.68
decoy10_115.pdb      10.00
decoy10_144.pdb       9.44
decoy10_179.pdb      10.01
decoy10_206.pdb      10.98
decoy10_165.pdb      10.21
decoy10_166.pdb       9.96
