NAME                  RMSD
1CSK.pdb              0.00
decoy0_1.pdb          0.19
decoy1_3.pdb          0.66
decoy1_4.pdb          0.93
decoy1_1.pdb          0.98
decoy1_2.pdb          0.88
decoy2_4.pdb          1.54
decoy2_124.pdb        3.03
decoy3_39.pdb         1.82
decoy4_35.pdb         1.94
decoy5_24.pdb         1.80
decoy5_57.pdb         2.51
decoy6_1.pdb          1.33
decoy6_95.pdb         3.12
decoy6_111.pdb        3.12
decoy7_7.pdb          1.61
decoy8_2.pdb          1.75
decoy9_20.pdb         1.74
decoy9_59.pdb         2.13
decoy10_8.pdb         1.62
decoy10_65.pdb        2.44
decoy10_83.pdb        2.48
decoy10_51.pdb        2.64
decoy10_76.pdb        2.21
decoy10_100.pdb       2.54
decoy10_88.pdb        2.24
decoy10_84.pdb        2.28
decoy10_97.pdb        2.70
decoy10_109.pdb       3.04
decoy10_103.pdb       3.38
decoy10_111.pdb       3.44
decoy10_114.pdb       3.05
decoy11_5.pdb         1.30
decoy11_48.pdb        2.15
decoy12_2.pdb         1.88
decoy12_69.pdb        2.10
decoy12_150.pdb       4.49
decoy12_166.pdb       4.37
decoy12_173.pdb       4.46
decoy12_185.pdb       4.26
decoy12_194.pdb       4.16
decoy13_1.pdb         1.46
decoy14_2.pdb         1.80
decoy15_23.pdb        1.97
decoy16_8.pdb         1.75
decoy17_22.pdb        1.74
decoy18_3.pdb         1.82
decoy18_99.pdb        3.41
decoy18_117.pdb       3.54
decoy19_31.pdb        1.87
decoy20_3.pdb         1.87
decoy21_4.pdb         5.59
decoy22_12.pdb        1.82
decoy23_20.pdb        2.69
decoy24_5.pdb         1.91
decoy25_3.pdb         1.77
decoy26_2.pdb         1.98
decoy27_14.pdb        1.79
decoy28_2.pdb         1.90
decoy29_7.pdb         1.86
decoy30_1.pdb         9.34
decoy30_49.pdb       10.68
decoy30_61.pdb       10.40
decoy30_24.pdb       10.92
decoy30_30.pdb       10.96
decoy30_45.pdb       10.50
decoy30_50.pdb       10.65
decoy30_62.pdb       10.99
decoy30_96.pdb       11.24
decoy30_104.pdb      11.69
decoy30_66.pdb       11.44
decoy30_74.pdb       11.32
decoy30_94.pdb       11.23
decoy30_65.pdb       11.36
decoy30_80.pdb       11.70
decoy30_83.pdb       11.76
decoy30_90.pdb       11.69
decoy30_92.pdb       11.27
decoy30_110.pdb      11.55
decoy30_111.pdb      10.96
