NAME                  RMSD
1ERY.pdb              0.00
decoy0_1.pdb          0.13
decoy1_1.pdb          0.46
decoy1_8.pdb          0.63
decoy1_9.pdb          0.65
decoy1_13.pdb         0.71
decoy1_15.pdb         0.56
decoy1_16.pdb         0.76
decoy1_24.pdb         0.32
decoy1_32.pdb         0.76
decoy1_45.pdb         0.76
decoy1_47.pdb         0.50
decoy1_2.pdb          0.83
decoy1_3.pdb          0.85
decoy1_4.pdb          0.45
decoy1_6.pdb          0.25
decoy1_7.pdb          0.42
decoy1_10.pdb         0.46
decoy1_11.pdb         0.91
decoy1_12.pdb         0.96
decoy1_14.pdb         1.02
decoy1_17.pdb         0.96
decoy1_18.pdb         0.74
decoy1_19.pdb         0.77
decoy1_23.pdb         0.97
decoy1_26.pdb         0.40
decoy1_27.pdb         0.78
decoy1_28.pdb         0.44
decoy1_29.pdb         0.63
decoy1_31.pdb         0.63
decoy1_34.pdb         0.63
decoy1_58.pdb         0.93
decoy1_60.pdb         1.04
decoy1_63.pdb         1.07
decoy1_75.pdb         1.06
decoy1_78.pdb         1.05
decoy1_87.pdb         1.06
decoy1_89.pdb         1.08
decoy1_90.pdb         1.00
decoy1_92.pdb         1.01
decoy2_35.pdb         1.92
decoy2_45.pdb         1.67
decoy2_47.pdb         1.89
decoy2_86.pdb         2.85
decoy2_176.pdb        4.94
decoy2_204.pdb        5.00
decoy2_206.pdb        5.04
decoy2_230.pdb        5.00
decoy3_13.pdb         3.99
decoy3_115.pdb        6.13
decoy3_125.pdb        6.38
decoy3_141.pdb        6.26
decoy3_142.pdb        6.17
decoy3_148.pdb        6.11
decoy3_150.pdb        6.19
decoy3_156.pdb        6.23
decoy4_1.pdb          1.85
decoy5_41.pdb         1.91
decoy5_18.pdb         1.90
decoy5_26.pdb         1.73
decoy5_40.pdb         1.64
decoy5_83.pdb         2.16
decoy6_7.pdb          1.78
decoy7_25.pdb         3.88
decoy7_286.pdb        9.41
decoy7_293.pdb        9.33
decoy7_280.pdb        9.12
decoy7_294.pdb        9.40
decoy7_295.pdb        9.31
decoy7_300.pdb        9.15
decoy7_301.pdb        9.08
decoy7_310.pdb        9.22
decoy7_315.pdb        9.16
decoy7_316.pdb        9.19
decoy7_317.pdb        9.22
decoy7_325.pdb        9.01
decoy8_8.pdb          2.96
decoy9_34.pdb         3.33
decoy9_256.pdb        8.94
decoy10_31.pdb        1.81
decoy11_4.pdb         1.96
decoy11_180.pdb       4.60
decoy12_1.pdb         3.02
decoy12_89.pdb        4.95
decoy12_126.pdb       5.44
decoy13_28.pdb        3.01
decoy13_36.pdb        3.89
decoy13_100.pdb       4.24
decoy13_101.pdb       4.49
decoy13_88.pdb        4.43
decoy13_90.pdb        4.71
decoy13_85.pdb        4.04
decoy13_271.pdb       9.03
decoy14_16.pdb        1.82
decoy14_95.pdb        3.70
decoy14_98.pdb        3.78
decoy14_99.pdb        3.48
decoy14_104.pdb       3.71
decoy14_105.pdb       3.42
decoy14_111.pdb       3.79
decoy14_112.pdb       3.60
decoy14_170.pdb       4.62
decoy14_180.pdb       4.84
decoy15_5.pdb         1.95
decoy15_238.pdb       8.99
decoy15_291.pdb       9.05
decoy15_252.pdb       9.51
decoy15_282.pdb       9.28
decoy15_284.pdb       9.72
decoy15_287.pdb       9.05
decoy15_289.pdb       9.85
decoy15_273.pdb       9.74
decoy15_276.pdb       9.58
decoy15_279.pdb       9.59
decoy15_286.pdb       9.64
decoy15_292.pdb       9.18
decoy15_293.pdb       9.28
decoy16_1.pdb         3.92
decoy16_64.pdb        5.72
decoy16_67.pdb        5.70
decoy16_74.pdb        5.72
decoy16_75.pdb        5.70
decoy16_76.pdb        5.73
decoy16_87.pdb        5.80
decoy16_93.pdb        5.88
decoy16_99.pdb        5.09
decoy16_124.pdb       6.24
decoy16_144.pdb       6.16
decoy16_154.pdb       7.49
decoy16_155.pdb       7.55
decoy16_157.pdb       7.72
decoy16_162.pdb       7.55
decoy16_167.pdb       7.51
decoy16_174.pdb       7.34
decoy16_177.pdb       7.48
decoy16_190.pdb       7.58
decoy16_193.pdb       7.34
decoy16_194.pdb       7.41
decoy16_200.pdb       7.50
decoy16_208.pdb       8.04
decoy16_212.pdb       7.99
decoy16_213.pdb       8.02
decoy16_218.pdb       7.95
decoy16_221.pdb       8.01
decoy16_222.pdb       8.04
decoy16_223.pdb       8.04
decoy16_224.pdb       7.98
decoy16_228.pdb       8.02
decoy16_229.pdb       7.97
decoy16_203.pdb       8.00
decoy16_219.pdb       8.04
decoy16_220.pdb       8.26
decoy16_230.pdb       8.00
decoy16_231.pdb       8.05
decoy16_234.pdb       8.22
decoy17_1.pdb         2.82
decoy18_6.pdb         2.96
decoy19_6.pdb         1.71
decoy20_2.pdb         3.98
decoy20_67.pdb        4.98
decoy20_55.pdb        4.90
decoy20_63.pdb        4.98
decoy20_81.pdb        4.92
decoy20_83.pdb        4.85
decoy20_84.pdb        4.94
