NAME                  RMSD
1FME.pdb              0.00
decoy0_1.pdb          0.09
decoy1_17.pdb         0.95
decoy1_5.pdb          0.81
decoy1_6.pdb          0.76
decoy1_11.pdb         0.47
decoy1_12.pdb         0.53
decoy1_13.pdb         0.66
decoy1_14.pdb         0.92
decoy1_15.pdb         0.50
decoy1_16.pdb         0.51
decoy1_18.pdb         0.92
decoy1_20.pdb         0.94
decoy1_21.pdb         0.97
decoy1_1.pdb          0.63
decoy1_2.pdb          0.65
decoy1_3.pdb          0.74
decoy1_4.pdb          0.68
decoy1_7.pdb          0.79
decoy1_8.pdb          0.75
decoy1_9.pdb          0.87
decoy1_10.pdb         0.91
decoy1_19.pdb         0.73
decoy1_63.pdb         1.91
decoy1_66.pdb         1.86
decoy1_59.pdb         2.02
decoy1_26.pdb         1.86
decoy1_33.pdb         1.92
decoy1_34.pdb         1.91
decoy1_54.pdb         1.64
decoy1_55.pdb         1.55
decoy1_67.pdb         1.91
decoy2_57.pdb         3.76
decoy2_170.pdb        5.44
decoy3_52.pdb         3.41
decoy4_3.pdb          2.77
decoy5_73.pdb         3.98
decoy5_352.pdb       10.21
decoy5_355.pdb       10.01
decoy6_1.pdb          2.78
decoy6_334.pdb        9.01
decoy6_344.pdb        9.28
decoy6_332.pdb        9.16
decoy6_329.pdb        9.17
decoy6_335.pdb        9.88
decoy6_340.pdb        9.73
decoy6_347.pdb        9.06
decoy6_354.pdb       10.11
decoy6_356.pdb        9.99
decoy7_19.pdb         3.47
decoy7_205.pdb        7.74
decoy8_1.pdb          1.90
decoy8_371.pdb       10.80
decoy8_372.pdb       10.41
decoy8_373.pdb       10.35
decoy8_374.pdb       10.67
decoy8_375.pdb       10.55
decoy8_376.pdb       10.66
decoy8_383.pdb       10.60
decoy8_386.pdb       10.79
decoy9_41.pdb         3.61
decoy9_164.pdb        5.11
decoy9_219.pdb       10.76
decoy9_228.pdb       11.23
decoy10_18.pdb        4.93
decoy10_72.pdb        5.67
decoy10_291.pdb       9.02
decoy11_5.pdb         2.77
decoy11_170.pdb       5.40
decoy12_5.pdb         2.66
decoy13_55.pdb        3.79
decoy13_350.pdb      11.10
decoy13_344.pdb      11.25
decoy13_345.pdb      10.96
decoy13_348.pdb      10.94
decoy13_343.pdb      11.17
decoy13_346.pdb      11.12
decoy13_347.pdb      11.01
decoy14_80.pdb        4.98
decoy14_285.pdb       9.84
decoy15_108.pdb       4.88
decoy16_27.pdb        2.96
decoy16_201.pdb       6.77
decoy16_270.pdb       7.57
decoy17_20.pdb        2.83
decoy17_264.pdb       7.75
decoy17_275.pdb       7.24
decoy17_288.pdb       8.05
decoy18_35.pdb        2.62
decoy18_249.pdb       9.98
decoy19_51.pdb        3.51
decoy19_171.pdb       5.03
decoy20_1.pdb         1.81
decoy20_10.pdb        1.89
decoy20_6.pdb         1.81
decoy20_16.pdb        2.00
decoy20_21.pdb        1.95
decoy20_32.pdb        2.01
decoy20_34.pdb        1.98
decoy20_36.pdb        1.96
decoy20_2.pdb         1.93
decoy21_5.pdb         2.65
decoy21_151.pdb       5.71
decoy21_174.pdb       5.27
decoy21_267.pdb       7.04
decoy21_305.pdb       8.35
decoy21_307.pdb       8.73
decoy22_44.pdb        3.76
decoy22_153.pdb       5.53
decoy22_203.pdb       6.79
decoy23_70.pdb        3.57
decoy23_124.pdb       4.41
