NAME                  RMSD
1I6C.pdb              0.00
decoy0_1.pdb          0.23
decoy1_1.pdb          1.37
decoy1_2.pdb          1.41
decoy1_3.pdb          1.15
decoy1_4.pdb          1.39
decoy1_5.pdb          1.78
decoy1_6.pdb          1.60
decoy1_7.pdb          1.24
decoy1_8.pdb          1.95
decoy1_9.pdb          1.96
decoy1_10.pdb         1.40
decoy1_11.pdb         1.62
decoy1_20.pdb         2.85
decoy1_22.pdb         2.81
decoy1_19.pdb         2.40
decoy1_12.pdb         2.79
decoy1_13.pdb         1.99
decoy1_14.pdb         2.55
decoy1_15.pdb         2.93
decoy1_16.pdb         2.64
decoy1_17.pdb         2.18
decoy1_18.pdb         2.21
decoy1_21.pdb         2.54
decoy1_23.pdb         2.65
decoy1_24.pdb         2.82
decoy1_31.pdb         3.02
decoy1_30.pdb         3.39
decoy2_14.pdb         5.84
decoy2_35.pdb         6.84
decoy4_1.pdb          4.96
decoy4_8.pdb          5.90
decoy4_27.pdb         6.28
decoy4_44.pdb         6.66
decoy4_92.pdb         7.89
decoy4_156.pdb        8.11
decoy5_2.pdb          2.88
decoy5_1.pdb          2.66
decoy5_3.pdb          2.90
decoy5_7.pdb          3.48
decoy5_21.pdb         4.23
decoy5_23.pdb         5.74
decoy5_100.pdb        6.42
decoy5_120.pdb        6.98
decoy6_22.pdb         7.02
decoy6_46.pdb         7.67
decoy6_85.pdb         7.97
decoy6_144.pdb        8.98
decoy7_3.pdb          4.98
decoy7_8.pdb          5.77
decoy7_22.pdb         6.97
decoy7_21.pdb         6.26
decoy7_30.pdb         7.08
decoy7_38.pdb         8.08
decoy8_118.pdb       10.23
decoy9_1.pdb          3.68
decoy9_6.pdb          4.36
decoy9_22.pdb         5.60
decoy10_10.pdb        3.69
decoy10_13.pdb        3.96
decoy10_1.pdb         4.04
decoy10_40.pdb        3.91
decoy10_23.pdb        4.66
decoy10_24.pdb        4.20
decoy10_87.pdb        5.93
decoy10_76.pdb        5.82
decoy10_141.pdb       6.58
decoy10_262.pdb       9.14
decoy11_1.pdb         3.84
decoy11_21.pdb        4.52
decoy11_11.pdb        4.54
decoy11_50.pdb        5.31
decoy11_173.pdb      10.44
decoy12_86.pdb       10.21
decoy13_10.pdb        6.86
decoy13_41.pdb        7.96
decoy13_51.pdb        7.96
decoy13_96.pdb        8.09
decoy13_122.pdb       8.09
decoy13_143.pdb       9.04
decoy14_2.pdb         4.92
decoy14_7.pdb         5.72
decoy15_1.pdb         2.56
decoy15_2.pdb         3.90
decoy15_14.pdb        4.83
decoy15_29.pdb        5.34
decoy15_31.pdb        7.01
decoy15_75.pdb        7.91
decoy15_130.pdb       8.27
decoy16_1.pdb         2.39
decoy16_2.pdb         2.42
decoy16_3.pdb         2.43
decoy16_6.pdb         3.80
decoy16_8.pdb         3.13
decoy16_18.pdb        3.86
decoy16_4.pdb         3.76
decoy16_28.pdb        4.89
decoy17_5.pdb         5.90
decoy17_14.pdb        6.14
decoy17_25.pdb        7.76
decoy17_72.pdb        8.35
decoy17_140.pdb       9.77
decoy17_92.pdb        9.99
decoy17_160.pdb      10.24
decoy18_1.pdb         8.02
decoy18_72.pdb        8.44
decoy18_98.pdb        9.35
decoy18_160.pdb      10.43
decoy18_136.pdb      10.38
decoy18_148.pdb      10.29
decoy18_116.pdb      10.45
decoy19_6.pdb         4.84
decoy19_19.pdb        5.53
decoy21_1.pdb         3.75
decoy21_11.pdb        4.59
decoy21_24.pdb        5.89
decoy21_30.pdb        6.98
decoy21_51.pdb        7.92
decoy21_92.pdb        8.50
decoy21_141.pdb       9.16
decoy22_1.pdb         2.96
decoy22_12.pdb        3.75
decoy22_31.pdb        4.49
decoy22_34.pdb        4.76
decoy22_73.pdb        5.78
decoy22_68.pdb        5.17
decoy23_1.pdb         4.58
decoy23_7.pdb         5.36
decoy23_69.pdb        6.28
decoy23_34.pdb        6.84
decoy23_104.pdb       7.61
decoy23_163.pdb       8.33
decoy23_200.pdb       9.58
decoy24_2.pdb         2.43
decoy24_3.pdb         2.56
decoy24_5.pdb         2.15
decoy24_1.pdb         2.42
decoy24_4.pdb         2.75
decoy24_31.pdb        3.38
decoy24_11.pdb        3.63
decoy24_14.pdb        3.96
decoy24_23.pdb        3.77
decoy24_25.pdb        3.77
decoy24_63.pdb        4.36
decoy24_74.pdb        4.31
decoy24_82.pdb        4.82
decoy24_38.pdb        4.30
decoy24_78.pdb        4.74
decoy24_96.pdb        5.22
decoy24_135.pdb       5.15
decoy24_86.pdb        5.36
decoy24_138.pdb       6.11
decoy24_155.pdb       8.49
decoy25_36.pdb        3.26
decoy25_14.pdb        3.56
decoy25_17.pdb        3.49
decoy25_5.pdb         3.30
decoy25_8.pdb         3.29
decoy25_10.pdb        3.97
decoy25_11.pdb        3.81
decoy25_16.pdb        3.29
decoy25_21.pdb        3.92
decoy25_40.pdb        4.73
decoy26_5.pdb         6.81
decoy26_110.pdb       9.88
decoy26_133.pdb       9.99
decoy27_1.pdb         5.45
decoy27_137.pdb       9.99
decoy29_4.pdb         5.82
decoy29_124.pdb       9.98
decoy29_133.pdb      10.32
decoy32_3.pdb         6.87
decoy32_57.pdb        7.62
decoy32_78.pdb        8.88
decoy32_118.pdb       8.98
decoy32_162.pdb      10.19
decoy33_1.pdb         3.71
decoy33_30.pdb        4.97
decoy33_67.pdb        5.09
decoy33_78.pdb        5.10
decoy33_136.pdb       6.02
decoy33_101.pdb       7.06
decoy33_106.pdb       6.81
decoy33_147.pdb       7.18
decoy33_197.pdb       8.11
decoy33_216.pdb       9.65
decoy34_3.pdb         8.07
decoy34_14.pdb        8.89
decoy34_70.pdb        9.61
decoy34_74.pdb        9.19
decoy34_129.pdb      10.70
decoy34_128.pdb      10.25
decoy34_144.pdb      10.61
decoy36_162.pdb      11.30
decoy36_163.pdb      11.00
decoy37_5.pdb         7.82
decoy37_43.pdb        8.26
decoy37_73.pdb        9.82
decoy37_112.pdb      10.09
