NAME                  RMSD
1PSV.pdb              0.00
decoy0_1.pdb          0.13
decoy1_7.pdb          0.88
decoy1_8.pdb          0.92
decoy1_10.pdb         0.99
decoy1_11.pdb         0.90
decoy1_12.pdb         0.92
decoy1_5.pdb          0.83
decoy1_6.pdb          0.86
decoy1_13.pdb         0.98
decoy1_1.pdb          0.50
decoy1_2.pdb          0.91
decoy1_3.pdb          0.56
decoy1_4.pdb          0.63
decoy1_9.pdb          0.81
decoy1_50.pdb         1.84
decoy1_29.pdb         1.48
decoy1_33.pdb         1.45
decoy1_63.pdb         1.86
decoy2_2.pdb          2.88
decoy2_238.pdb        7.08
decoy3_3.pdb          2.65
decoy4_42.pdb         1.58
decoy4_43.pdb         1.61
decoy4_118.pdb        3.44
decoy5_24.pdb         1.98
decoy6_7.pdb          2.02
decoy7_19.pdb         2.72
decoy7_145.pdb        5.90
decoy7_159.pdb        5.81
decoy7_191.pdb        6.75
decoy7_192.pdb        6.63
decoy7_194.pdb        6.48
decoy7_196.pdb        6.67
decoy7_206.pdb        6.44
decoy7_207.pdb        6.41
decoy7_211.pdb        6.61
decoy7_234.pdb        6.50
decoy7_243.pdb        7.12
decoy7_340.pdb        9.12
decoy7_342.pdb        9.03
decoy7_350.pdb        9.18
decoy7_339.pdb        9.02
decoy7_344.pdb        9.11
decoy7_345.pdb        9.04
decoy7_346.pdb        9.29
decoy7_347.pdb        9.34
decoy7_348.pdb        9.02
decoy7_349.pdb        9.01
decoy7_351.pdb        9.18
decoy7_353.pdb        9.36
decoy7_341.pdb        9.30
decoy7_343.pdb        9.19
decoy7_352.pdb        9.12
decoy8_1.pdb          2.91
decoy8_119.pdb        5.83
decoy9_4.pdb          3.99
decoy9_97.pdb         4.50
decoy10_2.pdb         2.76
decoy10_241.pdb       8.68
decoy10_248.pdb       8.63
decoy10_260.pdb       8.42
decoy10_278.pdb       9.43
decoy10_279.pdb       9.33
decoy10_280.pdb       9.52
decoy10_281.pdb       9.27
decoy11_3.pdb         1.85
decoy11_112.pdb       3.19
decoy12_48.pdb        1.90
decoy13_2.pdb         3.91
decoy14_9.pdb         1.90
decoy15_7.pdb         1.66
decoy15_10.pdb        1.67
decoy15_15.pdb        1.58
decoy15_116.pdb       3.86
decoy16_45.pdb        2.02
decoy16_29.pdb        1.90
decoy16_33.pdb        1.90
decoy16_26.pdb        1.97
decoy16_34.pdb        1.94
decoy16_108.pdb       3.56
decoy17_5.pdb         2.97
decoy17_63.pdb        4.90
decoy17_65.pdb        4.79
decoy17_69.pdb        4.88
decoy17_75.pdb        4.86
decoy17_82.pdb        4.91
decoy17_145.pdb       5.04
decoy17_216.pdb       8.85
decoy17_225.pdb       8.81
decoy17_217.pdb       8.83
decoy18_15.pdb        1.71
decoy19_4.pdb         1.85
decoy20_14.pdb        3.91
decoy20_302.pdb      10.05
decoy21_41.pdb        2.52
decoy22_28.pdb        2.91
decoy22_41.pdb        3.67
decoy22_43.pdb        3.71
decoy22_251.pdb       7.02
decoy22_246.pdb       7.25
decoy22_344.pdb       9.35
decoy22_347.pdb       8.98
decoy22_342.pdb       9.31
decoy22_343.pdb       9.13
decoy22_345.pdb       9.10
decoy23_4.pdb         2.02
decoy23_6.pdb         1.93
decoy23_5.pdb         1.94
decoy23_9.pdb         1.97
decoy24_2.pdb         1.85
decoy24_269.pdb       8.04
decoy24_282.pdb       8.06
decoy24_287.pdb       8.28
decoy24_307.pdb       8.18
decoy24_259.pdb       8.04
decoy24_299.pdb       8.16
decoy24_308.pdb       8.23
decoy24_309.pdb       9.02
decoy24_310.pdb       9.03
decoy24_311.pdb       9.00
decoy24_312.pdb       9.06
decoy24_314.pdb       8.95
decoy25_1.pdb         1.84
decoy25_85.pdb        3.35
decoy26_1.pdb         1.94
decoy27_8.pdb         1.92
decoy27_10.pdb        1.92
decoy28_4.pdb         2.05
decoy28_70.pdb        3.10
decoy28_133.pdb       4.17
decoy29_50.pdb        3.00
decoy29_256.pdb       7.33
decoy29_259.pdb       7.09
decoy30_15.pdb        4.01
decoy30_53.pdb        4.78
decoy30_30.pdb        4.58
decoy30_42.pdb        4.63
decoy30_43.pdb        4.62
decoy30_29.pdb        4.52
decoy30_31.pdb        4.52
decoy30_34.pdb        4.59
decoy30_36.pdb        4.54
decoy30_39.pdb        4.53
decoy30_62.pdb        4.91
decoy30_27.pdb        4.93
decoy30_33.pdb        4.52
decoy30_38.pdb        4.69
decoy30_41.pdb        4.66
decoy30_49.pdb        4.77
decoy30_54.pdb        4.64
decoy30_265.pdb       9.04
decoy31_18.pdb        2.66
decoy31_153.pdb       5.86
decoy31_202.pdb       6.38
decoy31_210.pdb       6.36
decoy31_209.pdb       6.28
decoy32_31.pdb        2.81
decoy32_64.pdb        3.08
decoy33_2.pdb         3.78
decoy33_209.pdb       7.24
decoy33_212.pdb       7.21
decoy33_214.pdb       7.38
decoy33_216.pdb       7.08
decoy33_250.pdb       7.37
decoy33_205.pdb       7.52
decoy33_208.pdb       7.55
decoy33_213.pdb       7.89
decoy33_251.pdb       8.02
decoy34_1.pdb         2.96
decoy34_192.pdb       6.46
decoy34_305.pdb       9.04
decoy35_25.pdb        4.45
decoy36_1.pdb         1.84
decoy37_30.pdb        2.70
decoy37_289.pdb       7.02
decoy38_19.pdb        3.03
decoy38_150.pdb       4.73
decoy39_1.pdb         2.92
decoy39_92.pdb        3.11
decoy40_14.pdb        2.76
decoy40_142.pdb       4.47
decoy41_2.pdb         4.85
decoy41_7.pdb         4.94
decoy41_11.pdb        5.90
decoy41_38.pdb        6.04
decoy41_40.pdb        5.76
decoy41_49.pdb        5.99
decoy41_69.pdb        6.32
decoy41_72.pdb        6.10
decoy41_79.pdb        6.13
decoy41_81.pdb        6.26
decoy41_80.pdb        6.28
decoy41_109.pdb       7.16
decoy41_174.pdb       8.09
decoy41_181.pdb       8.45
decoy41_165.pdb       8.22
decoy41_167.pdb       8.53
decoy41_172.pdb       8.15
decoy41_182.pdb       8.23
decoy41_189.pdb       8.58
decoy41_190.pdb       8.04
decoy41_201.pdb       8.34
decoy42_26.pdb        2.94
decoy43_30.pdb        2.52
decoy43_95.pdb        3.75
decoy44_26.pdb        2.69
decoy45_38.pdb        3.48
decoy46_3.pdb         4.00
decoy46_4.pdb         3.98
decoy46_6.pdb         4.01
decoy46_59.pdb        4.61
decoy46_67.pdb        4.63
decoy46_80.pdb        5.89
decoy46_92.pdb        5.70
decoy46_82.pdb        5.99
decoy46_93.pdb        5.42
decoy46_87.pdb        5.81
decoy46_89.pdb        5.67
decoy46_91.pdb        5.75
decoy46_96.pdb        6.00
decoy46_136.pdb       6.23
decoy46_130.pdb       6.30
decoy46_131.pdb       6.16
decoy46_141.pdb       6.77
decoy46_147.pdb       6.32
decoy46_150.pdb       6.42
decoy46_132.pdb       6.36
decoy46_133.pdb       6.43
decoy46_139.pdb       6.31
decoy46_203.pdb       7.08
decoy46_229.pdb       8.04
decoy46_230.pdb       8.13
decoy47_49.pdb        2.17
decoy47_152.pdb       5.77
decoy47_163.pdb       5.64
decoy47_290.pdb       8.30
decoy48_25.pdb        4.02
decoy48_136.pdb       5.84
decoy49_1.pdb         3.86
decoy49_66.pdb        5.83
decoy49_69.pdb        5.83
decoy49_72.pdb        5.70
decoy49_109.pdb       6.34
decoy49_111.pdb       6.47
decoy49_112.pdb       6.81
decoy49_116.pdb       6.69
decoy49_139.pdb       6.33
decoy49_156.pdb       7.00
decoy49_160.pdb       7.54
decoy49_173.pdb       7.46
decoy49_180.pdb       7.15
decoy49_206.pdb       8.15
decoy49_207.pdb       8.10
decoy49_208.pdb       8.08
decoy50_6.pdb         4.00
decoy50_188.pdb       7.06
decoy51_3.pdb         4.97
decoy51_155.pdb       8.14
decoy52_1.pdb         3.05
decoy53_2.pdb         2.56
decoy54_9.pdb         2.71
decoy54_267.pdb       7.24
decoy55_1.pdb         4.81
decoy55_11.pdb        5.27
decoy55_3.pdb         5.25
decoy55_14.pdb        5.47
decoy55_10.pdb        5.68
decoy55_16.pdb        5.23
decoy55_33.pdb        5.76
decoy55_109.pdb       7.09
decoy55_111.pdb       7.12
decoy55_112.pdb       7.11
decoy55_137.pdb       7.23
decoy55_102.pdb       7.44
decoy55_116.pdb       7.07
decoy55_119.pdb       7.05
decoy55_146.pdb       7.09
decoy56_26.pdb        3.55
decoy57_48.pdb        3.00
decoy58_1.pdb         2.98
decoy58_168.pdb       5.64
decoy58_175.pdb       5.45
decoy58_180.pdb       5.72
decoy59_1.pdb         4.02
decoy60_2.pdb         2.76
decoy61_9.pdb         3.43
decoy62_4.pdb         4.04
decoy63_8.pdb         2.82
decoy64_1.pdb         3.82
decoy65_41.pdb        3.23
decoy65_267.pdb       8.12
decoy65_264.pdb       8.13
decoy66_11.pdb        2.99
decoy67_7.pdb         3.00
decoy68_6.pdb         2.85
decoy69_6.pdb         2.88
decoy70_15.pdb        3.96
decoy71_9.pdb         3.78
decoy72_12.pdb        3.32
decoy73_40.pdb        2.86
