NAME                  RMSD
1RES.pdb              0.00
decoy0_1.pdb          0.13
decoy1_2.pdb          0.81
decoy1_1.pdb          0.90
decoy1_22.pdb         1.78
decoy1_24.pdb         1.79
decoy1_25.pdb         1.74
decoy1_6.pdb          1.74
decoy1_14.pdb         1.04
decoy1_17.pdb         1.25
decoy1_18.pdb         1.16
decoy1_30.pdb         1.75
decoy1_3.pdb          1.99
decoy1_4.pdb          1.88
decoy1_12.pdb         1.53
decoy1_19.pdb         1.56
decoy1_20.pdb         1.40
decoy1_32.pdb         1.71
decoy1_13.pdb         1.28
decoy1_21.pdb         1.86
decoy1_8.pdb          1.99
decoy1_31.pdb         1.07
decoy1_9.pdb          1.24
decoy1_15.pdb         1.24
decoy1_16.pdb         1.12
decoy2_353.pdb       11.05
decoy3_1.pdb          3.04
decoy3_71.pdb         2.98
decoy3_114.pdb        4.31
decoy3_149.pdb        5.40
decoy3_174.pdb        6.16
decoy3_261.pdb        7.20
decoy3_279.pdb        8.96
decoy3_289.pdb        8.95
decoy3_329.pdb        9.02
decoy3_374.pdb       10.73
decoy3_375.pdb       10.31
decoy3_435.pdb       11.32
decoy3_446.pdb       11.05
decoy3_430.pdb       11.48
decoy3_441.pdb       11.06
decoy3_462.pdb       11.01
decoy4_24.pdb         2.59
decoy4_26.pdb         2.48
decoy5_219.pdb        8.22
decoy5_259.pdb        9.67
decoy5_306.pdb       10.29
decoy5_363.pdb       11.24
decoy5_371.pdb       11.53
decoy6_1.pdb          1.89
decoy6_22.pdb         2.40
decoy6_234.pdb        8.82
decoy6_256.pdb        9.13
decoy6_270.pdb       10.11
decoy7_14.pdb         3.56
decoy7_58.pdb         4.11
decoy7_126.pdb        5.63
decoy7_153.pdb        6.07
decoy7_211.pdb        7.64
decoy7_240.pdb        9.89
decoy7_244.pdb       10.00
decoy8_1.pdb          1.98
decoy9_312.pdb       11.69
decoy9_306.pdb       11.73
decoy9_307.pdb       11.73
decoy9_308.pdb       11.76
decoy9_316.pdb       11.67
decoy9_350.pdb       11.73
decoy10_1.pdb         2.86
decoy10_12.pdb        3.55
decoy10_63.pdb        4.68
decoy10_120.pdb       5.28
decoy10_164.pdb       6.53
decoy10_244.pdb       7.89
decoy10_267.pdb       8.12
decoy11_7.pdb         2.68
decoy11_35.pdb        3.89
decoy11_272.pdb       8.13
decoy12_1.pdb         2.98
decoy12_242.pdb      10.29
decoy13_10.pdb        2.63
decoy13_33.pdb        3.43
decoy13_119.pdb       4.33
decoy13_120.pdb       5.13
decoy13_198.pdb       6.76
decoy13_222.pdb       7.46
decoy14_7.pdb         2.79
decoy15_3.pdb         2.98
decoy15_38.pdb        3.60
decoy15_85.pdb        4.93
decoy15_138.pdb       5.63
decoy15_223.pdb       6.48
decoy15_234.pdb       7.77
decoy15_280.pdb       8.31
decoy16_1.pdb         1.96
decoy16_2.pdb         1.92
decoy16_10.pdb        2.84
decoy16_76.pdb        3.87
decoy16_118.pdb       4.47
decoy16_146.pdb       5.12
decoy16_187.pdb       6.99
decoy16_192.pdb       7.15
decoy17_1.pdb         1.92
decoy17_3.pdb         3.00
decoy17_46.pdb        3.45
decoy17_138.pdb       4.67
decoy17_177.pdb       5.06
decoy17_193.pdb       6.15
decoy18_1.pdb         3.95
decoy19_10.pdb        2.90
decoy19_45.pdb        3.12
decoy19_79.pdb        5.05
decoy19_139.pdb       5.16
decoy19_178.pdb       6.24
decoy19_190.pdb       9.62
decoy19_204.pdb      10.64
decoy21_2.pdb         2.91
decoy21_24.pdb        3.94
decoy21_65.pdb        3.98
decoy21_123.pdb       5.05
decoy21_156.pdb       6.84
decoy21_206.pdb       7.07
decoy22_1.pdb         2.95
decoy23_1.pdb         2.85
decoy23_40.pdb        3.91
decoy23_99.pdb        4.58
decoy23_108.pdb       5.01
decoy23_183.pdb       6.80
decoy23_214.pdb       7.04
decoy24_164.pdb      10.20
decoy24_192.pdb      11.26
decoy25_11.pdb        2.61
decoy26_197.pdb       8.69
decoy26_244.pdb       9.12
decoy28_6.pdb         2.89
decoy29_3.pdb         2.96
decoy29_28.pdb        3.60
decoy29_75.pdb        3.91
decoy29_130.pdb       5.17
decoy29_178.pdb       6.07
decoy29_226.pdb       7.15
decoy29_247.pdb       9.42
decoy29_282.pdb      10.09
decoy30_1.pdb         2.96
decoy30_8.pdb         2.93
decoy30_68.pdb        3.45
decoy30_69.pdb        3.22
decoy30_145.pdb       4.97
decoy30_141.pdb       4.24
decoy30_189.pdb       5.06
decoy30_159.pdb       5.04
decoy30_229.pdb       6.20
decoy30_232.pdb       6.21
decoy30_251.pdb       7.08
decoy31_16.pdb        2.74
decoy31_58.pdb        3.82
decoy31_41.pdb        3.52
decoy31_131.pdb       4.02
decoy31_88.pdb        4.53
decoy31_173.pdb       5.39
decoy31_148.pdb       5.57
decoy31_158.pdb       5.28
decoy31_183.pdb       5.97
decoy31_188.pdb       7.66
decoy31_193.pdb       9.66
decoy32_7.pdb         2.88
decoy34_1.pdb         2.93
decoy35_7.pdb         2.93
decoy35_33.pdb        4.04
decoy35_97.pdb        5.00
decoy35_159.pdb       5.66
decoy35_169.pdb       6.86
decoy35_212.pdb       7.07
decoy37_219.pdb      10.09
decoy39_1.pdb         2.90
decoy40_2.pdb         2.90
decoy40_52.pdb        3.95
decoy40_71.pdb        4.80
decoy40_121.pdb       5.07
decoy40_164.pdb       5.98
decoy40_174.pdb       7.86
decoy40_220.pdb       8.06
decoy42_222.pdb      10.05
decoy43_1.pdb         3.98
decoy43_8.pdb         4.22
decoy43_80.pdb        5.88
decoy43_105.pdb       6.97
decoy43_154.pdb       7.12
decoy43_182.pdb       8.84
decoy43_187.pdb       9.04
decoy44_297.pdb      10.61
decoy45_252.pdb       8.79
decoy45_322.pdb      10.17
decoy46_243.pdb      10.32
decoy46_287.pdb      11.06
decoy47_21.pdb        3.87
decoy47_69.pdb        4.89
decoy47_94.pdb        5.17
decoy47_170.pdb       6.07
decoy47_179.pdb       6.96
decoy47_189.pdb       9.22
decoy47_203.pdb       9.13
decoy49_211.pdb       9.57
decoy50_32.pdb        4.86
decoy50_99.pdb        5.70
decoy50_118.pdb       6.21
decoy50_169.pdb       7.57
decoy50_241.pdb       8.53
decoy50_263.pdb       9.90
decoy50_301.pdb      10.08
decoy51_209.pdb       9.01
decoy51_252.pdb       9.11
decoy51_305.pdb      10.29
decoy52_1.pdb         3.95
decoy52_8.pdb         4.64
decoy52_86.pdb        5.26
decoy52_121.pdb       6.17
decoy52_185.pdb       7.67
decoy52_219.pdb       8.02
decoy52_224.pdb       9.65
decoy52_228.pdb       9.65
decoy52_272.pdb      10.08
decoy53_36.pdb        3.91
decoy53_52.pdb        4.58
decoy53_146.pdb       5.88
decoy53_160.pdb       6.88
decoy53_204.pdb       7.13
decoy54_45.pdb        4.83
decoy54_54.pdb        5.53
decoy54_145.pdb       6.99
decoy54_192.pdb       7.38
decoy54_207.pdb       8.73
decoy54_264.pdb       9.03
decoy54_306.pdb      10.88
decoy54_323.pdb      10.88
decoy54_349.pdb      11.04
decoy54_351.pdb      11.11
decoy54_356.pdb      11.11
decoy56_1.pdb         4.02
decoy56_16.pdb        4.66
decoy56_90.pdb        5.83
decoy56_114.pdb       6.07
decoy56_185.pdb       7.66
decoy56_207.pdb       8.04
decoy56_255.pdb       9.03
decoy58_3.pdb         5.03
decoy58_34.pdb        5.92
decoy58_86.pdb        6.05
decoy58_120.pdb       7.65
decoy58_158.pdb       8.50
decoy58_215.pdb       9.81
decoy58_244.pdb      10.07
decoy59_7.pdb         4.50
decoy59_99.pdb        5.32
decoy59_142.pdb       6.29
decoy59_165.pdb       7.35
decoy59_167.pdb       7.10
decoy59_248.pdb       8.56
decoy59_203.pdb       8.98
decoy59_258.pdb       9.75
decoy59_272.pdb       9.77
decoy60_318.pdb      11.12
decoy61_212.pdb       8.61
decoy61_262.pdb       9.34
decoy62_161.pdb       8.08
decoy62_209.pdb       9.10
decoy62_237.pdb      10.83
decoy64_138.pdb       7.98
decoy64_162.pdb       9.23
decoy64_210.pdb      10.24
decoy64_274.pdb      11.18
decoy64_297.pdb      11.00
decoy64_285.pdb      11.23
decoy64_255.pdb      11.03
decoy64_260.pdb      11.05
decoy64_279.pdb      11.08
decoy66_2.pdb         3.98
decoy66_217.pdb      10.00
decoy66_244.pdb      10.11
decoy67_135.pdb       7.29
decoy67_149.pdb       8.99
decoy67_214.pdb       9.20
decoy67_250.pdb      10.10
decoy67_296.pdb      11.00
decoy68_1.pdb         3.97
decoy68_27.pdb        4.86
decoy68_92.pdb        5.03
decoy68_109.pdb       5.95
decoy68_118.pdb       6.37
