NAME                  RMSD
1RIJ.pdb              0.00
decoy0_1.pdb          0.18
decoy1_2.pdb          0.71
decoy1_6.pdb          0.86
decoy1_11.pdb         0.43
decoy1_12.pdb         0.44
decoy1_14.pdb         0.43
decoy1_17.pdb         0.80
decoy1_19.pdb         0.73
decoy1_1.pdb          0.67
decoy1_3.pdb          0.66
decoy1_4.pdb          0.95
decoy1_5.pdb          0.70
decoy1_7.pdb          1.00
decoy1_8.pdb          0.87
decoy1_9.pdb          0.40
decoy1_10.pdb         0.36
decoy1_13.pdb         0.44
decoy1_15.pdb         0.36
decoy1_16.pdb         0.98
decoy1_18.pdb         0.37
decoy2_10.pdb         2.99
decoy3_13.pdb         2.65
decoy3_61.pdb         3.57
decoy3_67.pdb         3.87
decoy3_72.pdb         3.75
decoy3_106.pdb        4.38
decoy3_124.pdb        4.45
decoy3_221.pdb        7.10
decoy3_222.pdb        7.03
decoy3_223.pdb        7.02
decoy3_224.pdb        7.09
decoy4_3.pdb          1.97
decoy4_63.pdb         3.49
decoy4_85.pdb         3.83
decoy4_89.pdb         3.53
decoy4_90.pdb         3.49
decoy4_108.pdb        4.67
decoy4_110.pdb        3.98
decoy4_118.pdb        4.70
decoy4_119.pdb        4.75
decoy4_124.pdb        4.28
decoy4_139.pdb        4.38
decoy4_145.pdb        4.19
decoy4_151.pdb        4.30
decoy4_154.pdb        4.19
decoy5_23.pdb         1.91
decoy5_161.pdb        4.52
decoy5_176.pdb        4.24
decoy6_3.pdb          1.85
decoy6_60.pdb         3.85
decoy6_62.pdb         3.83
decoy6_77.pdb         3.80
decoy6_79.pdb         3.59
decoy6_86.pdb         3.75
decoy6_103.pdb        3.68
decoy6_104.pdb        3.59
decoy6_112.pdb        4.04
decoy6_122.pdb        4.07
decoy6_157.pdb        5.43
decoy6_182.pdb        6.08
decoy6_190.pdb        7.67
decoy6_191.pdb        7.59
decoy6_188.pdb        7.00
decoy6_189.pdb        7.94
decoy7_3.pdb          1.76
decoy7_90.pdb         3.84
decoy7_63.pdb         3.68
decoy7_98.pdb         3.94
decoy7_126.pdb        4.19
decoy7_129.pdb        4.09
decoy7_135.pdb        4.24
decoy7_136.pdb        4.39
decoy7_144.pdb        4.40
decoy7_145.pdb        4.14
decoy7_153.pdb        4.10
decoy7_154.pdb        4.22
decoy8_8.pdb          2.36
decoy9_14.pdb         1.87
decoy9_228.pdb        6.90
decoy9_248.pdb        7.22
decoy9_250.pdb        7.17
