NAME                  RMSD
1WY3.pdb              0.00
decoy0_1.pdb          1.10
decoy1_1.pdb          0.98
decoy1_2.pdb          1.00
decoy1_5.pdb          0.91
decoy1_6.pdb          0.64
decoy1_8.pdb          0.89
decoy1_3.pdb          0.56
decoy1_4.pdb          0.59
decoy1_7.pdb          1.01
decoy1_11.pdb         1.65
decoy1_13.pdb         1.46
decoy1_16.pdb         1.50
decoy1_20.pdb         1.67
decoy1_23.pdb         1.50
decoy1_30.pdb         1.55
decoy1_34.pdb         1.43
decoy1_36.pdb         1.49
decoy1_42.pdb         1.40
decoy1_9.pdb          1.53
decoy1_17.pdb         1.42
decoy1_21.pdb         1.64
decoy1_28.pdb         1.69
decoy1_31.pdb         1.48
decoy1_62.pdb         2.82
decoy2_26.pdb         1.73
decoy2_27.pdb         1.59
decoy2_14.pdb         1.70
decoy2_23.pdb         1.71
decoy2_74.pdb         2.60
decoy2_75.pdb         2.49
decoy2_85.pdb         2.51
decoy2_86.pdb         2.52
decoy2_88.pdb         2.54
decoy2_66.pdb         2.53
decoy3_9.pdb          1.92
decoy4_7.pdb          1.94
decoy4_10.pdb         1.80
decoy4_22.pdb         1.65
decoy4_24.pdb         1.68
decoy4_45.pdb         1.57
decoy4_46.pdb         1.54
decoy4_77.pdb         2.74
decoy4_52.pdb         2.63
decoy4_76.pdb         2.88
decoy4_78.pdb         2.74
decoy4_89.pdb         2.88
decoy5_5.pdb          1.97
decoy6_1.pdb          3.68
decoy6_210.pdb        7.00
decoy6_277.pdb        9.02
decoy6_279.pdb       10.34
decoy7_24.pdb         1.93
decoy8_21.pdb         1.81
decoy9_3.pdb          3.04
decoy10_13.pdb        1.85
decoy11_2.pdb         2.83
decoy12_2.pdb         3.06
decoy12_274.pdb       8.15
decoy12_286.pdb       8.48
decoy12_271.pdb       8.26
decoy12_279.pdb       8.22
decoy13_1.pdb         3.90
decoy13_56.pdb        5.43
decoy13_179.pdb       7.26
decoy13_190.pdb       7.28
decoy13_199.pdb       7.26
decoy13_205.pdb       8.51
decoy13_203.pdb       8.58
decoy13_204.pdb       8.70
decoy13_202.pdb       8.55
decoy13_211.pdb       8.47
decoy13_218.pdb       8.23
decoy13_207.pdb       8.64
decoy13_210.pdb       8.96
decoy13_214.pdb       8.89
decoy13_215.pdb       8.46
decoy13_231.pdb       8.07
decoy13_245.pdb       8.12
decoy13_208.pdb       8.99
decoy13_225.pdb       8.87
decoy13_230.pdb       8.07
decoy13_234.pdb       8.11
decoy13_238.pdb       8.18
decoy13_243.pdb       8.24
decoy13_244.pdb       8.32
decoy13_248.pdb       8.21
decoy13_249.pdb       8.24
decoy13_279.pdb       9.04
decoy13_255.pdb       9.20
decoy13_252.pdb       9.19
decoy13_258.pdb       9.11
decoy13_263.pdb       9.13
decoy13_275.pdb       9.10
decoy13_253.pdb       9.18
decoy13_277.pdb       9.00
decoy13_272.pdb       9.14
decoy13_274.pdb       8.98
decoy13_271.pdb       9.14
decoy13_264.pdb       9.18
decoy13_283.pdb       9.03
decoy13_284.pdb       9.02
decoy13_285.pdb       9.27
decoy13_286.pdb       9.21
decoy13_288.pdb       9.05
decoy13_289.pdb       9.13
decoy13_292.pdb       9.02
decoy13_293.pdb       9.24
decoy13_254.pdb       9.32
decoy13_267.pdb       9.10
decoy13_276.pdb       9.41
decoy13_280.pdb       9.32
decoy13_281.pdb       9.39
decoy13_260.pdb       9.06
decoy13_270.pdb       9.39
decoy13_278.pdb       9.03
decoy13_259.pdb       9.12
decoy13_268.pdb       9.14
decoy14_1.pdb         4.01
decoy14_205.pdb       8.05
decoy14_223.pdb       8.04
decoy14_224.pdb       7.99
decoy14_210.pdb       8.04
decoy14_222.pdb       7.99
decoy14_225.pdb       8.14
decoy15_3.pdb         4.08
decoy16_27.pdb        1.84
decoy17_3.pdb         2.96
decoy18_2.pdb         3.02
decoy19_6.pdb         3.83
decoy20_2.pdb         4.05
decoy20_113.pdb       6.50
decoy20_114.pdb       6.54
decoy20_117.pdb       6.55
decoy20_118.pdb       6.53
decoy20_112.pdb       6.62
decoy21_6.pdb         2.80
decoy21_197.pdb       6.37
decoy21_211.pdb       6.29
