NAME                  RMSD
2HEP.pdb              0.00
decoy0_1.pdb          0.21
decoy1_25.pdb         0.92
decoy1_1.pdb          0.77
decoy1_5.pdb          0.80
decoy1_8.pdb          1.10
decoy1_10.pdb         1.03
decoy1_11.pdb         0.78
decoy1_12.pdb         0.75
decoy1_14.pdb         0.85
decoy1_15.pdb         0.85
decoy1_17.pdb         0.85
decoy1_20.pdb         0.74
decoy1_21.pdb         0.79
decoy1_22.pdb         0.94
decoy1_23.pdb         0.92
decoy1_24.pdb         1.04
decoy1_26.pdb         0.92
decoy1_2.pdb          0.79
decoy1_13.pdb         0.91
decoy1_18.pdb         0.83
decoy1_19.pdb         0.89
decoy1_4.pdb          0.78
decoy1_6.pdb          0.99
decoy1_3.pdb          0.94
decoy1_9.pdb          0.32
decoy1_7.pdb          0.83
decoy2_20.pdb         2.87
decoy3_40.pdb         1.83
decoy4_17.pdb         1.82
decoy5_67.pdb         2.22
decoy6_54.pdb         2.56
decoy7_56.pdb         2.51
decoy8_127.pdb        3.08
decoy9_1.pdb          1.65
decoy10_32.pdb        1.85
decoy11_1.pdb         1.98
decoy12_17.pdb        1.92
decoy13_9.pdb         1.89
decoy14_5.pdb         1.91
decoy15_1.pdb         1.99
decoy16_12.pdb        1.94
decoy17_5.pdb         1.93
decoy18_1.pdb         1.82
decoy19_2.pdb         2.99
decoy19_88.pdb        5.02
decoy19_198.pdb       6.35
decoy19_168.pdb       6.86
decoy19_169.pdb       6.59
decoy19_175.pdb       6.43
decoy19_178.pdb       6.63
decoy19_176.pdb       6.37
decoy19_180.pdb       5.98
decoy19_181.pdb       6.41
decoy19_192.pdb       6.47
decoy19_210.pdb       6.46
decoy19_211.pdb       6.49
decoy19_239.pdb       7.86
decoy19_224.pdb       7.67
decoy19_229.pdb       7.75
decoy19_234.pdb       7.80
decoy19_215.pdb       7.74
decoy19_218.pdb       7.77
decoy19_220.pdb       7.73
decoy19_221.pdb       7.79
decoy19_235.pdb       7.71
decoy19_244.pdb       7.76
decoy19_222.pdb       7.70
decoy19_266.pdb       8.21
decoy19_293.pdb       8.01
decoy19_268.pdb       8.40
decoy19_284.pdb       8.08
decoy19_288.pdb       8.05
decoy19_345.pdb      10.43
decoy19_351.pdb      10.60
decoy19_354.pdb      10.54
decoy19_355.pdb      10.38
decoy19_356.pdb      10.73
decoy19_349.pdb      10.60
decoy19_352.pdb      10.55
decoy19_362.pdb      10.64
decoy19_357.pdb      10.38
decoy19_358.pdb      10.79
decoy19_372.pdb      10.65
decoy19_389.pdb      10.66
decoy19_341.pdb      10.52
decoy19_344.pdb      10.17
decoy19_346.pdb      10.72
decoy19_350.pdb      10.63
decoy19_353.pdb      10.88
decoy19_392.pdb      11.10
decoy19_393.pdb      11.06
decoy19_404.pdb      11.40
decoy19_409.pdb      11.37
decoy19_398.pdb      11.05
