NAME                  RMSD
2WXC.pdb              0.00
decoy0_1.pdb          0.16
decoy1_1.pdb          0.98
decoy1_15.pdb         1.69
decoy1_33.pdb         1.28
decoy1_39.pdb         1.30
decoy1_2.pdb          1.09
decoy1_3.pdb          1.39
decoy1_25.pdb         1.02
decoy1_12.pdb         1.60
decoy1_14.pdb         1.59
decoy1_17.pdb         1.62
decoy1_21.pdb         1.31
decoy1_28.pdb         1.28
decoy1_36.pdb         1.63
decoy1_46.pdb         1.47
decoy1_50.pdb         1.44
decoy1_40.pdb         1.73
decoy1_42.pdb         1.75
decoy1_44.pdb         1.83
decoy1_45.pdb         1.77
decoy1_48.pdb         1.74
decoy1_4.pdb          1.92
decoy1_11.pdb         1.21
decoy1_13.pdb         1.24
decoy1_19.pdb         1.96
decoy1_20.pdb         1.27
decoy1_22.pdb         1.45
decoy1_23.pdb         1.73
decoy1_66.pdb         2.54
decoy1_56.pdb         2.56
decoy1_62.pdb         2.42
decoy1_67.pdb         2.54
decoy1_68.pdb         2.48
decoy2_1.pdb          2.88
decoy2_55.pdb         3.27
decoy2_12.pdb         3.89
decoy2_81.pdb         4.89
decoy2_61.pdb         4.60
decoy2_109.pdb        5.96
decoy2_111.pdb        5.83
decoy2_165.pdb        6.81
decoy2_168.pdb        6.29
decoy2_214.pdb        7.12
decoy2_240.pdb        7.58
decoy2_293.pdb        8.07
decoy2_303.pdb        9.98
decoy4_16.pdb         2.95
decoy4_23.pdb         2.92
decoy4_34.pdb         2.86
decoy4_33.pdb         2.77
decoy5_9.pdb          2.84
decoy5_19.pdb         2.87
decoy5_62.pdb         3.99
decoy5_139.pdb        4.29
decoy5_186.pdb        5.17
decoy5_201.pdb        6.55
decoy5_249.pdb        7.83
decoy5_290.pdb        8.32
decoy5_337.pdb        9.79
decoy6_25.pdb         2.59
decoy6_16.pdb         2.90
decoy6_13.pdb         2.85
decoy6_26.pdb         2.69
decoy7_23.pdb         2.74
decoy7_2.pdb          2.90
decoy7_15.pdb         2.81
decoy7_4.pdb          2.87
decoy7_18.pdb         2.82
decoy7_55.pdb         3.45
decoy7_365.pdb       10.66
decoy8_2.pdb          4.89
decoy8_10.pdb         5.13
decoy8_60.pdb         6.95
decoy8_110.pdb        7.46
decoy8_188.pdb        8.09
decoy8_197.pdb        8.03
decoy8_215.pdb        9.22
decoy8_207.pdb        9.35
decoy8_264.pdb       10.20
decoy8_265.pdb       10.22
decoy8_290.pdb       10.22
decoy8_305.pdb       11.05
decoy9_10.pdb         2.73
decoy9_21.pdb         2.99
decoy10_1.pdb         4.90
decoy10_17.pdb        5.83
decoy10_101.pdb       6.68
decoy10_102.pdb       7.07
decoy10_153.pdb       8.55
decoy10_169.pdb       9.41
decoy11_1.pdb         2.92
decoy12_34.pdb        3.78
decoy12_63.pdb        4.96
decoy12_121.pdb       5.94
decoy12_156.pdb       6.76
decoy12_224.pdb       7.04
decoy12_252.pdb       8.43
decoy12_267.pdb       9.26
decoy13_3.pdb         2.85
decoy13_364.pdb      10.54
decoy13_392.pdb      11.03
decoy14_6.pdb         2.44
decoy16_2.pdb         3.99
decoy16_87.pdb        4.42
decoy16_117.pdb       5.21
decoy16_146.pdb       6.39
decoy16_199.pdb       7.91
decoy16_253.pdb       8.56
decoy16_296.pdb       9.27
decoy16_346.pdb      10.28
decoy18_1.pdb         2.87
decoy20_16.pdb        3.94
decoy20_54.pdb        4.71
decoy20_113.pdb       5.78
decoy20_178.pdb       6.32
decoy20_202.pdb       7.94
decoy20_252.pdb       8.10
decoy20_282.pdb       9.02
decoy21_1.pdb         3.93
decoy21_286.pdb       9.74
decoy21_325.pdb       9.99
decoy23_18.pdb        3.59
decoy23_263.pdb       9.09
decoy24_11.pdb        3.94
decoy24_43.pdb        5.00
decoy24_98.pdb        6.00
decoy24_139.pdb       6.09
decoy24_192.pdb       7.77
decoy24_211.pdb       8.12
decoy26_309.pdb      10.07
decoy27_17.pdb        4.00
decoy27_63.pdb        4.88
decoy27_123.pdb       5.52
decoy27_152.pdb       6.04
decoy27_202.pdb       6.94
decoy27_234.pdb       8.65
decoy27_235.pdb       9.60
decoy29_4.pdb         3.76
decoy29_40.pdb        4.96
decoy29_87.pdb        5.63
decoy29_149.pdb       6.84
decoy29_222.pdb       7.16
decoy29_233.pdb       8.19
decoy29_283.pdb       9.34
decoy29_291.pdb      10.14
decoy30_28.pdb        4.00
decoy30_6.pdb         3.94
decoy30_96.pdb        4.94
decoy30_73.pdb        4.77
decoy30_131.pdb       5.16
decoy30_151.pdb       6.29
decoy30_213.pdb       7.66
decoy30_249.pdb       8.37
decoy30_296.pdb       8.89
decoy33_1.pdb         3.85
decoy33_36.pdb        4.85
decoy33_61.pdb        5.58
decoy33_114.pdb       6.08
decoy33_157.pdb       7.95
decoy33_188.pdb       8.18
decoy34_4.pdb         3.89
decoy34_58.pdb        5.01
decoy34_75.pdb        5.61
decoy34_127.pdb       6.15
decoy34_178.pdb       7.31
decoy34_228.pdb       8.43
decoy34_276.pdb       9.28
decoy36_5.pdb         4.01
decoy36_238.pdb       9.18
decoy37_1.pdb         3.61
decoy37_20.pdb        4.67
decoy37_96.pdb        5.74
decoy37_107.pdb       6.88
decoy37_174.pdb       7.37
decoy37_208.pdb       8.23
decoy37_232.pdb       9.04
decoy38_2.pdb         3.96
decoy38_50.pdb        4.21
decoy38_114.pdb       5.89
decoy38_150.pdb       6.45
decoy38_196.pdb       7.06
decoy38_240.pdb       8.76
decoy38_307.pdb       9.19
decoy38_324.pdb      10.54
decoy39_9.pdb         3.97
decoy39_38.pdb        4.86
decoy39_103.pdb       5.94
decoy39_156.pdb       6.41
decoy39_200.pdb       7.84
decoy39_235.pdb       8.02
decoy39_239.pdb       9.10
decoy40_10.pdb        3.90
decoy40_59.pdb        4.63
decoy40_67.pdb        5.95
decoy40_119.pdb       6.22
decoy40_176.pdb       7.17
decoy40_219.pdb       8.68
decoy40_268.pdb       9.00
decoy40_326.pdb      10.64
decoy40_336.pdb      11.05
decoy41_319.pdb      10.80
decoy41_345.pdb      11.18
decoy41_327.pdb      11.64
decoy41_334.pdb      11.11
decoy42_1.pdb         3.92
decoy42_32.pdb        4.81
decoy42_70.pdb        5.67
decoy42_151.pdb       6.50
decoy42_198.pdb       7.50
decoy42_210.pdb       8.22
decoy42_259.pdb       9.57
decoy42_289.pdb       9.98
decoy43_1.pdb         4.58
decoy43_14.pdb        5.36
decoy43_10.pdb        5.28
decoy43_17.pdb        5.23
decoy43_52.pdb        6.81
decoy43_57.pdb        6.61
decoy43_120.pdb       7.58
decoy43_122.pdb       7.26
decoy43_151.pdb       7.31
decoy43_163.pdb       8.34
decoy43_156.pdb       8.47
decoy43_214.pdb       9.76
decoy43_232.pdb       9.61
decoy43_252.pdb      10.95
decoy43_255.pdb      10.62
decoy43_258.pdb      10.77
decoy43_304.pdb      11.53
decoy43_314.pdb      11.67
decoy43_321.pdb      11.54
decoy43_340.pdb      11.54
decoy43_312.pdb      11.36
decoy43_319.pdb      11.64
decoy43_313.pdb      11.13
decoy43_318.pdb      11.46
decoy46_9.pdb         3.93
decoy46_26.pdb        4.92
decoy46_100.pdb       5.09
decoy46_116.pdb       6.04
decoy46_164.pdb       7.68
decoy46_183.pdb       8.01
decoy47_11.pdb        3.89
decoy48_214.pdb       9.46
decoy48_251.pdb      10.76
decoy48_281.pdb      11.15
decoy48_286.pdb      11.21
decoy48_292.pdb      11.24
decoy49_2.pdb         5.05
decoy49_80.pdb        5.60
decoy49_123.pdb       7.04
decoy49_169.pdb       7.07
decoy49_208.pdb       8.50
decoy49_256.pdb       9.94
decoy49_311.pdb      10.11
decoy49_315.pdb      10.21
decoy50_1.pdb         3.96
decoy50_39.pdb        4.55
decoy50_56.pdb        5.61
decoy50_111.pdb       6.15
decoy50_176.pdb       6.98
decoy50_204.pdb       7.96
decoy50_208.pdb      10.59
decoy51_11.pdb        3.91
decoy51_25.pdb        4.37
decoy51_77.pdb        5.30
decoy51_134.pdb       6.62
decoy51_175.pdb       7.02
decoy51_182.pdb       8.42
decoy51_215.pdb       9.39
decoy51_237.pdb      10.00
decoy52_190.pdb      10.63
decoy53_308.pdb      11.16
decoy53_310.pdb      11.39
decoy53_314.pdb      10.98
decoy53_302.pdb      11.09
decoy54_231.pdb      10.43
decoy54_235.pdb      10.18
decoy56_296.pdb      11.13
decoy56_318.pdb      11.06
decoy56_291.pdb      11.07
decoy56_294.pdb      11.27
decoy56_297.pdb      11.06
decoy57_26.pdb        4.04
decoy59_3.pdb         4.97
decoy59_66.pdb        5.24
decoy59_107.pdb       6.70
decoy59_168.pdb       7.01
decoy59_209.pdb       8.21
decoy59_256.pdb       9.22
decoy59_316.pdb      10.40
decoy59_310.pdb      10.53
decoy60_1.pdb         4.77
decoy60_66.pdb        5.91
decoy60_102.pdb       6.71
decoy60_148.pdb       7.29
decoy60_212.pdb       8.25
decoy60_258.pdb       9.02
decoy60_296.pdb      10.27
decoy60_305.pdb      11.16
